Count,Customer ID,Customer Name,Customer Type,Service Voltage,Phase
64,2020010366,"INDITA, ESTRELLO",RES3,240,1
65,2020010368,"PRADA, PRUDENCIA",RES1,240,1
66,2020010375,"GAW, CORA",RES4,240,1
67,2020010380,"ILAD, NAZARIO",RES4,240,1
68,2020010385,"NICDAO, EVANGELINE G.",RES1,240,1
69,2020010390,"LLOREN, VICENTE",RES4,240,1
70,2020010395,"DIGMAN, EFREN B.",RES2,240,1
71,2020010400,"RA?IN, EUFROCINO",RES3,240,1
72,2020010405,"FLORES, CRISELDA R.",RES1,240,1
73,2020010410,"SALVACION, MARCELINA",RES3,240,1
74,2020010415,"PERIÑA, ELIZABETH P.",RES1,240,1
75,2020010420,"TABADA, ANGELA R.",RES4,240,1
76,2020010425,"PASACAO, LIZA B.",RES1,240,1
77,2020010430,"DE GUZMAN, LUCIANO",RES4,240,1
78,2020010435,"BORRICO, MERCIDITA C.",RES1,240,1
79,2020010440,"CAMPOSANO, TESSIE",RES3,240,1
80,2020010447,"HIDALGO, PAULITO",RES2,240,1
81,2020010450,"FLORENDO, LUZ",RES1,240,1
82,2020010455,"ARMSTRONG, ROLANDO",RES4,240,1
83,2020010460,"RA?IN, JOSE",RES1,240,1
84,2020010465,"GRABADOR, CESARIO A.",RES2,240,1
85,2020010470,"NEGADO, ROMEO",RES4,240,1
86,2020010473,"CAMPOSANO, CRISTINA",RES4,240,1
87,2020010480,"NEGADO, ELEUTROFO",RES4,240,1
88,2020010485,"HORCA, BEN",RES3,240,1
89,2020010490,"PETALLANA, INEGO",RES1,240,1
90,2020010495,"DELA CERNA, RYAN S.",RES1,240,1
91,2020010500,"CASELA, ARTEMIO",RES1,240,1
92,2020010505,"BACTOL, MARIA ESTRELLA P.",RES1,240,1
93,2020010510,"BRAZIL, RAMON",RES4,240,1
94,2020010515,"ALVAREZ, MARECIL C.",RES3,240,1
95,2020010525,"LAGERA, ADELINA",RES1,240,1
96,2020010526,"ECHAVARRIA, GUILBERT",RES1,240,1
97,2020010532,"BRAZIL, ERNIE",RES1,240,1
98,2020010535,"VIOJAN, ALMA",RES4,240,1
99,2020010536,"ABARCA, BIENVINIDA",RES4,240,1
100,2020010537,"ECHAVARRIA, HONORIO",RES1,240,1
101,2020010538,"HORCA, EMELITA",RES1,240,1
102,2020010540,"ECHEVARRIA, GREGORIO",RES1,240,1
103,2020010541,"PETALLANA, PETRONILA",RES1,240,1
104,2020010545,"PETALLANA, VICTOR",RES4,240,1
105,2020010550,"TABADA, NARCISO",RES4,240,1
106,2020010560,"ANOBA, AURORA",RES2,240,1
107,2020010565,"AGUT, CESAR JR. R.",RES1,240,1
108,2020010570,"TABADA, PRAXEDES",RES1,240,1
109,2020010572,"TABADA, GERARDO",RES1,240,1
110,2020010575,"INSEGNE, CARMELITA",RES1,240,1
111,2020010580,"TARREGA, PURIFICACION",RES4,240,1
112,2020010585,"JIMENEZ, JOSE",RES1,240,1
113,2020010586,"RECIPROCO, JOY IAZMIN",RES4,240,1
114,2020010590,"GOLIAT, JOSEFINA",COM1,240,1
115,2020010595,"LOGRONIO, VIOLETA",RES1,240,1
116,2020010600,"AGUILAR, GONZALO",RES3,240,1
117,2020010605,"DACUMA, MA. BELEN N.",RES1,240,1
118,2020010610,"NAZARETA, FELOTEO",RES3,240,1
119,2020010615,"ASPA, WILLIAM P.",RES1,240,1
120,2020010620,"CANABE, WILFREDO",RES3,240,1
121,2020010625,"PARABOLES, MONICA I.",RES1,240,1
122,2020010630,"BAGRO, LUMINOSA",RES3,240,1
123,2020010640,"MABINI ELEM. SCHOOL/BARDIAGO, F.",PB,240,1
124,2020010645,"TABADA, JOHN JESTON B.",RES1,240,1
125,2020010650,"INDINA, CESAR R.",RES2,240,1
126,2020010665,"CAÑAMAQUE, NOEL G.",RES2,240,1
127,2020010666,"RA?IN, NOEL",RES3,240,1
128,2020010670,"DACALLOS, JESUS",RES4,240,1
129,2020010674,CARIGARA NATIONAL HIGH SCHOOL,PB,240,1
130,2020010675,"ASIS, DANILO",RES2,240,1
131,2020010676,"DONZAL, LIZA",RES2,240,1
132,2020010680,"CAPALAR, CAMILIA C.",RES4,240,1
133,2020010685,BRGY. HALL C/O BRGY. CAPTAIN,PB,240,1
134,2020010690,"BORGUETA, BERNABELA N.",RES2,240,1
135,2020010695,"DE LA PENA, ROSA",RES2,240,1
136,2020010696,"DE LA PE?A, PAULO",RES1,240,1
137,2020010698,"QUINTELA, RODOLFO",RES1,240,1
138,2020010700,"MISAGAL, ROGELIO",RES3,240,1
139,2020010705,"ABARCA, ARTURO P.",RES3,240,1
140,2020010710,"OLEDAN, CAYO",RES2,240,1
141,2020010715,"BALDONADO, MANUELITO L.",RES1,240,1
142,2020010720,"BABILONA, GERTRUDES",RES3,240,1
143,2020010730,"CALANDRIA, PABLITO",RES4,240,1
144,2020010732,"ALMOCERA, FRANCISCO",RES1,240,1
145,2020010735,"SALBURO, EDEN",RES3,240,1
146,2020010740,"LUCERNAS, LYDIA",RES4,240,1
147,2020010745,"ARANTE, PROTACIO",RES1,240,1
148,2020010750,"ENFECTANA, ALFREDO",RES2,240,1
149,2020010755,BRGY HALL C/O BRGY CHAIRMAN,PB,240,1
150,2020010765,"JAVINES, EUFRACIO",RES4,240,1
151,2020010770,"BUTALID, FLORDELIS J.",RES2,240,1
152,2020010776,"SORIANO, HERMINIGILDO",RES4,240,1
153,2020010780,"NEW TOWN KITCHEN/CANAMAQUE, LUISA",RES1,240,1
154,2020010785,"CA?AMAQUE, HERMENEGILDO",RES1,240,1
155,2020010793,"OBAOB, NORBERTO",RES2,240,1
156,2020010795,"DEDIL, ROLANDO V",RES4,240,1
157,2020010810,"BABILONA, ROBERTO",RES1,240,1
158,2020010820,"CA?AMAQUE, EPIFANIO",RES4,240,1
159,2020010830,"DE LA PENA, BALDOMERO",RES3,240,1
160,2020010834,"CANAMAQUE, DIEGO S./LEONIDA",RES1,240,1
161,2020010840,"TOLOSA, ALFREDO",RES1,240,1
162,2020010845,"GUIA, NOEL N.",RES1,240,1
163,2020010850,"BACONG, ILUMINADO",RES1,240,1
164,2020010860,"PORTUGAL, FRANCISCA",RES1,240,1
165,2020010865,"BUSANTE, MARY FAITH",RES4,240,1
166,2020010870,"SONON, MARIANO",RES2,240,1
167,2020010875,"MONDAL, EDUARDO R.",RES2,240,1
168,2020010880,"TAMACA, AGUSTIN",RES2,240,1
169,2020010890,"SONON, ROMEO",RES2,240,1
170,2020010895,"GARATA, FLORO S.",RES1,240,1
171,2020010911,"NOCHE, AURORA",RES1,240,1
172,2020010914,"ARMOCILLA, DOMINGO",RES1,240,1
173,2020010915,"BASEA, DIEGO",RES1,240,1
174,2020010920,"SAN MATEO CHAPEL/CANAMAQUE, E.",PB,240,1
175,2020010925,"SAMORANOS, EUGENIA",RES1,240,1
176,2020010926,"CA?AMAQUE, CORAZON",RES2,240,1
177,2020010930,"ABLIHAN, PETRONILO",RES2,240,1
178,2020010940,"BASEA, HERCULANO",RES4,240,1
179,2020010945,"SALVACION, EMMA J.",RES1,240,1
180,2020010950,"NALDA, ROMAN",RES4,240,1
181,2020010955,"MOLO, CYREL CARL JAVINES/TEMP. LIGHTING BUNKHOUSE",RES1,240,1
182,2020010960,"URMENETA, TRIPOLO",RES1,240,1
183,2020010970,"PRADA, ALFREDO",RES2,240,1
184,2020010975,"BACARISAS, IRENE/DIEGO",RES3,240,1
185,2020010980,"PROFETANA, PEDRO",RES4,240,1
186,2020010990,"DELVO, PABLO",RES1,240,1
187,2020010995,"CANAMAQUE, LOLITA B.",RES1,240,1
188,2020011001,"BACTOL, DOLORES L.",RES1,240,1
189,2020011010,"BACARISAS, BERNABE",RES1,240,1
190,2020011015,"ABALLAR, SATURNINA",RES3,240,1
191,2020011040,"INABANGAN, CANOTO",RES2,240,1
192,2020011045,"INALISAN, ALBERTO JR. E.",RES1,240,1
193,2020011050,"PROFETANA, ANASTACIO",RES2,240,1
194,2020011055,"SORIANO, ALMA F.",RES1,240,1
195,2020011060,"ORIOQUE, PABLO",RES1,240,1
196,2020011085,"JAVINES, AMY F.",RES1,240,1
197,2020011088,"MANICANI, ROSALINA D.",RES1,240,1
198,2020011090,"ALMOCERA, GREGORIO",RES2,240,1
199,2020011092,"OLEDAN, DANILO",RES1,240,1
200,2020011093,"FLORES, ROSALEA",RES1,240,1
201,2020011095,"ALVARES, EVELYN",RES1,240,1
202,2020011096,"ROYO, PEDRO",RES4,240,1
203,2020011098,"PILANDE, FELIX",RES1,240,1
204,2020011099,"LABARE?O, WENELITO",RES2,240,1
205,2020011100,"FLORES, SUSANA",RES3,240,1
206,2020011101,"BORRICO, ELVIE",RES2,240,1
207,2020011105,"GOLEZ, FROILAN",RES2,240,1
208,2020011107,"FERNANDEZ, GAUDENCIO",RES4,240,1
209,2020011108,"BARCO, CARLITA",RES3,240,1
210,2020011109,"BORRICO, ROLLY",RES1,240,1
211,2020011110,"PERIDA, JOSE",RES1,240,1
212,2020011111,"BACTOL, CARLITO",RES2,240,1
213,2020011112,"ABAIANZA, JOSE",RES1,240,1
214,2020011114,"BAYANI, EDUARDO",RES1,240,1
215,2020011115,"LOYOLA, SANDY",RES1,240,1
216,2020011117,"TANCINCO, EDGAR",RES1,240,1
217,2020011120,"ALECHA, PEDRO",RES1,240,1
218,2020011123,"CANTIVEROS, ERLINDA",RES1,240,1
219,2020011124,"GARRATA, ROMULO",RES2,240,1
220,2020011125,"TRANI, CHARLYN",RES1,240,1
221,2020011126,"GABON, WENEFREDA",RES1,240,1
222,2020011135,"PORE, JUDE MARINO T.",RES2,240,1
223,2020011145,"DERUPE, MA. FIONA A.",RES2,240,1
224,2020011150,"AGUILAR, LOLITA",RES4,240,1
225,2020011160,"OLEDAN, NORMITA",RES1,240,1
226,2020011163,"GAJARDO, REYNALDO",RES3,240,1
227,2020011164,"DE LA PE?A, DOMINGO",RES1,240,1
228,2020011165,"GAJARDO, WILFREDO",RES2,240,1
229,2020011166,"NALDA, SAMSON",RES3,240,1
230,2020011170,"DIGMAN, ALEJANDRA",RES4,240,1
231,2020011175,"CANESO, ANTONETH F.",RES1,240,1
232,2020011180,"DELVO, ANTONIO",RES1,240,1
233,2020011185,"GAJARDO, TERESITA F.",RES1,240,1
234,2020011190,"CA?AMAQUE, SUSANO",RES1,240,1
235,2020011195,"DELA PENA, CHARING B.",RES1,240,1
236,2020011200,"CA?AMAQUE, LUCIA",RES1,240,1
237,2020011205,"FABI, ELAINE V.",RES4,240,1
238,2020011210,"CA?AMAQUE, JUAN",RES2,240,1
239,2020011220,"CA?AMAQUE, DOMINADOR",RES3,240,1
240,2020011230,"CA?AMAQUE, ANTONIO",RES1,240,1
241,2020011235,"CULAR, NANCY MARIE L.",RES1,240,1
242,2020011240,"CA?AMAQUE, EDUARDO",RES4,240,1
243,2020011245,"OLEDAN, ROBIN B.",RES1,240,1
244,2020011250,"ALECHA, SAMUEL",RES3,240,1
245,2020011255,"DIGMAN, PRUDENCIO O.",COM1,240,1
246,2020011260,"OLEDAN, GUILLERMO",RES1,240,1
247,2020011265,"CANDAZA, HARIZONA N.",RES3,240,1
248,2020011270,"DELVO, ADELFA",RES1,240,1
249,2020011271,"PRECIA, MA. LEOVA",RES2,240,1
250,2020011272,"CA?AMAGUE, BEATRIZ",RES2,240,1
251,2020011275,"DAYOJA, FEDERICO",RES1,240,1
252,2020011276,"INDINA, TREFONA",RES3,240,1
253,2020011280,"LIGUTAN, IRENE",RES2,240,1
254,2020011281,"CANAMAQUE, ANA MARIE N.",RES2,240,1
255,2020011283,"PIAMONTE, REBECCA",RES1,240,1
256,2020011284,"MAKABENTA, DANILO",RES4,240,1
257,2020011285,"TADIFA, ZENAIDA",RES2,240,1
258,2020011286,"CANDAZA, SUSANA",RES1,240,1
259,2020011287,"INDENA, ROMEO",RES1,240,1
260,2020011288,"CA?AMAQUE, DANIEL",RES2,240,1
261,2020011289,"LIGUTAN, KATHELYN G.",RES4,240,1
262,2020011290,"BACTOL, DOLORES",RES3,240,1
263,2020011295,"TAMACA, CRISANTO",RES3,240,1
264,2020011300,"RAAGAS, CLAUDIA",RES3,240,1
265,2020011310,"MULTI PURPOSE PAVEMENT/SONON, ROMEO",PB,240,1
266,2020011325,"GEMENO, ROBERTO",RES1,240,1
267,2020011330,"PRADA, MANUEL",RES2,240,1
268,2020011335,"RAAGAS, PETRA",RES1,240,1
269,2020011340,"DAYOLA, ESTANISLAO",RES2,240,1
270,2020011350,"FALLORE, VIVENCIO",RES1,240,1
271,2020011351,"DE LA PE?A, LEONORA",RES1,240,1
272,2020011352,"LAYAGUE, FELIPE SR.",RES1,240,1
273,2020011353,"BILLONES, AILEEN",RES1,240,1
274,2020011354,"PRECIA, NORIEL",RES3,240,1
275,2020011355,"BILLONES, RODOLFO B.",RES1,240,1
276,2020011360,"CANDAZA, ADELAIDA",RES2,240,1
277,2020011363,"YOBIA, VICENTE",RES1,240,1
278,2020011364,"SIA, EDITHA",RES2,240,1
279,2020011365,"RAAGAS, FRANCISCO",RES1,240,1
280,2020011366,"OLEDAN, ROWENA",RES3,240,1
281,2020011367,"VARGAS, DARIO",RES1,240,1
282,2020011368,"PAESTE, JENNIFER",RES1,240,1
283,2020011369,"DACUMA, SOFIA",RES1,240,1
284,2020011370,"GRABOL, GREGORIO",RES1,240,1
285,2020011383,"ALOB, ALLAN",RES2,240,1
286,2020011385,"TAMACA, RICARDO",RES2,240,1
287,2020011386,"CABELIN, PAULINA",RES1,240,1
288,2020011390,"LAYAGE, MARIA",RES2,240,1
289,2020011391,"BASALLAJE, MYRNA",RES1,240,1
290,2020011395,"OLEDAN, EDWIN",RES4,240,1
291,2020011400,"ABARCA, VICTORIO JR.",RES1,240,1
292,2020011410,"CARLOS, RAUL O.",RES1,240,1
293,2020011415,"RICACHO, SUSANO",RES4,240,1
294,2020011420,"CADIENTE, LUCIANA",RES1,240,1
295,2020011425,"Mendoza, Maribeth C",RES1,240,1
296,2020011430,"LUMBAT, EMMA",RES3,240,1
297,2020011435,"ABORCA, RANILO R.",RES1,240,1
298,2020011445,"VILLAMOR, MARY ROSE B.",RES1,240,1
299,2020011450,"PRADA, DOMINADOR",RES1,240,1
300,2020011460,"OLEDAN, CLEMENTE",RES2,240,1
301,2020011465,"CARLOS, ROWENA C.",RES1,240,1
302,2020011470,"BARCOMA, VICTORINO",RES2,240,1
303,2020011480,"INSIGNE, FAUSTINO JR.",RES1,240,1
304,2020011490,"INSIGNE, FAUSTINO SR.",RES1,240,1
305,2020011495,"BACATANO, GINA D.",RES2,240,1
306,2020011500,"CANDAZA, ILUMINADA",RES2,240,1
307,2020011505,"ARIZO, RUBY",RES2,240,1
308,2020011506,"ORIOQUE, ARNULFO",RES2,240,1
309,2020011510,"DAYOJA, FE",RES1,240,1
310,2020011515,"LABARDA, PURIFICACION",RES2,240,1
311,2020011516,"LABARDA, RAUL",RES3,240,1
312,2020011520,"LABARDA, TERESITA",RES1,240,1
313,2020011525,"SABALBERINO, VIRGINIA B.",RES1,240,1
314,2020011530,"LABARDA, TEMOTEO",RES2,240,1
315,2020011540,"LANO, ADELAIDA",RES2,240,1
316,2020011550,"BASEA, ERNESTO F.",RES1,240,1
317,2020011555,"REYES, ARMELIA B.",RES1,240,1
318,2020011560,"JACELDO, IRENE",RES1,240,1
319,2020011575,"SHROFF, EMERITA C/O VIRAY, JUDITH",RES4,240,1
320,2020011585,"LIPORADA, SERVANDO",RES3,240,1
321,2020011590,"LAYZON, MARCELINA L.",RES1,240,1
322,2020011591,"LAYSON, MARCELINA L.",RES1,240,1
323,2020011595,"VILBAR, GARY EMMANUEL",RES1,240,1
324,2020011600,"OLEDAN, RODOLFO",RES1,240,1
325,2020011605,"OPETINA, LYNETTE N.",RES1,240,1
326,2020011610,"CAALIM, FLORENCIO",RES4,240,1
327,2020011615,"GRANA, ERLINDA V.",RES3,240,1
328,2020011620,"CA?AMALES, ALEJANDRO",RES1,240,1
329,2020011630,"AGUT, DOMINGO",COM1,240,1
330,2020011635,"TABADA, ROLY C.",RES1,240,1
331,2020011640,"AGUT, AMELINA",RES1,240,1
332,2020011645,"ABAINZA, LEONORA A.",RES2,240,1
333,2020011670,"DOROJA, LILIA",RES3,240,1
334,2020011680,"VILLAS, VIRGINIA",RES3,240,1
335,2020011700,"DUMLAO, SIMEON",RES1,240,1
336,2020011710,"PRADA, CORAZON A.",RES3,240,1
337,2020011715,"MONTESCLAROS, MANUEL JR.",COM1,240,1
338,2020011720,"DR. PAMI, GERARDO",RES4,240,1
339,2020011721,"ARCHES, OSCAR B.",RES1,240,1
340,2020011722,"PAMI, GERARDO",RES4,240,1
341,2020011725,"ROCHA, JOSEFINA",RES4,240,1
342,2020011726,"ABARCA, MARIA",RES3,240,1
343,2020011727,"BASILAN, TEODORO",RES1,240,1
344,2020011728,"ROGERO, ROSITA",RES3,240,1
345,2020011729,"SORIANO, MIGUEL",RES1,240,1
346,2020011730,"MALASABAS, CONCORDIA",RES2,240,1
347,2020011731,"MONTESCLAROS, MANUEL JR.",COM1,240,1
348,2020011735,"LIGUTAN, ANECIA",RES3,240,1
349,2020011750,"CA?AMAQUE, ADOLFO",RES4,240,1
350,2020011760,"DIGMAN, PACITA",RES4,240,1
351,2020011770,"ATTY. OLEDAN, VIRGINIO",RES2,240,1
352,2020011775,"BASILAN, MYRNA",RES3,240,1
353,2020011780,"PARENA, PATROCENIA",RES4,240,1
354,2020011795,"BACALTOS, TERESITO",RES4,240,1
355,2020011811,"BACALTOS, TERESITO",RES2,240,1
356,2020011812,"LAYAGUE, DANIEL",RES1,240,1
357,2020011815,"ALOLO, ANTONIO",COM1,240,1
358,2020011816,"RONO, PETER",RES1,240,1
359,2020011820,"ROYO, FELIX",RES1,240,1
360,2020011850,"LABARDA, AGAPITO",RES2,240,1
361,2020011851,"TONOLETE, ASUNCION RHODORA",RES3,240,1
362,2020011860,"VILLABLANCA, SALITA",RES1,240,1
363,2020011865,"JAVINES, RICARDITO",RES4,240,1
364,2020011870,"JAVINES, FELINO",RES4,240,1
365,2020011875,"LABARDA, MARIA",RES3,240,1
366,2020011880,"QUINTELA, RICARDA",RES2,240,1
367,2020011881,"LLOSE, SAMUEL",RES4,240,1
368,2020011882,"PORRAL, ADELFA",RES4,240,1
369,2020011885,"BRAZIL, ALFREDO JR.",RES3,240,1
370,2020011890,"QUINTELA, ALEJANDRO",RES1,240,1
371,2020011900,"GUNABE, CARIDAD",RES1,240,1
372,2020011910,"DE LA PENA, LEOPOLDO",RES1,240,1
373,2020011920,"BORQUETA, ESPERANZA",RES2,240,1
374,2020011925,"BORQUETA, ESPERANZA",RES1,240,1
375,2020011930,"ABARCA, VICTORIO SR.",COM1,240,1
376,2020011940,"MENDOZA, JULIAN",RES4,240,1
377,2020011950,"LLOSE, SAMUEL",RES4,240,1
378,2020011960,"AGUILAR, EUSEBIO",RES2,240,1
379,2020011970,"HERNANDO, PEDRO",RES1,240,1
380,2020011976,"SUELA, ROSALIE A.",RES2,240,1
381,2020011980,"QUEBEC, ADELAIDA",RES3,240,1
382,2020011985,"ABAINZA, RAYMUND IAN A.",RES1,240,1
383,2020011990,"GAJARDO, BENJAMIN",RES4,240,1
384,2020011995,"MABONAY, HELEN",RES3,240,1
385,2020012005,"CALING, ELDEFONSO",RES1,240,1
386,2020012006,"DONZAL, PAULINO",RES1,240,1
387,2020012007,"DONZAL, NICOLAS",RES4,240,1
388,2020012008,"ABAINZA, PORFERIO",RES1,240,1
389,2020012015,"DONZAL, AMY",RES3,240,1
390,2020012020,"DONZAL, BENJAMIN",RES4,240,1
391,2020012021,"BARDELOSA, IMELDA",RES3,240,1
392,2020012040,"BARDELOSA, ANGELES",RES4,240,1
393,2020012042,"GOLEZ, SOCORRO",RES1,240,1
394,2020012045,"LANDRITO, PONCIANO",RES2,240,1
395,2020012050,"ROYO, PABLO",RES2,240,1
396,2020012052,"TABORADA, LORETA",RES2,240,1
397,2020012053,"SA?O, DELIA",RES1,240,1
398,2020012054,"ROYO, PABLO JR.",RES3,240,1
399,2020012057,"ROTAIRO, DOMINADOR",RES3,240,1
400,2020012058,"BAYANI, FELOMINO",RES1,240,1
401,2020012059,"SAPIOT, MARITES",RES1,240,1
402,2020012060,"ABORCA, DANILO",RES1,240,1
403,2020012061,"BARDELOSA, ERVIN",RES2,240,1
404,2020012062,"YUTRAGO, JOY",RES1,240,1
405,2020012065,"BARDELOSA, ARNULFO",RES3,240,1
406,2020012080,"ALVAREZ, JAIME",RES3,240,1
407,2020012083,"SINGAPAN, CONCHITA",RES1,240,1
408,2020012100,"CODERA, GREGORIA",RES2,240,1
409,2020012102,"ABAINZA, EDWIN",RES2,240,1
410,2020012105,"LOSADA, MARCELINO",RES2,240,1
411,2020012110,"SORIANO, TIRZO",RES4,240,1
412,2020012135,"JORGE, BUENAFE",RES2,240,1
413,2020012141,"VALDEZ, MARITA",RES3,240,1
414,2020012145,"PETALLANA, OSCAR",RES2,240,1
415,2020012150,"GIBAN, ANITA",RES3,240,1
416,2020012160,"AVESTRUZ, REMEGIO",RES4,240,1
417,2020012175,"NARISMA, ALBERTA",RES1,240,1
418,2020012190,"MENDOZA, ALBERTO",RES1,240,1
419,2020012205,"BACARISAS, TITO",RES4,240,1
420,2020012220,"NARIDO, MARIA",RES4,240,1
421,2020012230,"AGUIRRE, CLEOFE",RES4,240,1
422,2020012240,"FABI, ERLINDA",RES4,240,1
423,2020012243,"LLOSE, ROSILI",RES1,240,1
424,2020012245,"LAYZON, JUN",RES4,240,1
425,2020012246,ST. FRANCIS OF ASSISI/CONVENT,PB,240,1
426,2020012260,"HERNANDEZ, ESTELA",RES4,240,1
427,2020012270,ST. FRANCIS OF ASSISI /CHURCH,PB,240,1
428,2020012280,"LARRAGA, GREGORIO",RES2,240,1
429,2020012281,"ALVAREZ, MARY JOY",RES1,240,1
430,2020012282,"SASALO, LEONIDES",RES4,240,1
431,2020012285,"BORQUETA, MILAGROS G.",RES1,240,1
432,2020012303,"OBISCORO, JULIA B.",RES1,240,1
433,2020012305,"LUMEN, TERESITA F.",RES1,240,1
434,2020012310,"LAYAGUE, AGAPITO D.",RES1,240,1
435,2020012311,"PRECIA, REBECCA E.",RES1,240,1
436,2020012315,"BACONG, JASMIN BASALLAJE",RES1,240,1
437,2020012316,"IDLISAN, CERELINO CALSA",RES2,240,1
438,2020012317,"IBAÑEZ, LUCILA GARGANERA",RES1,240,1
439,2020012319,"BACATANO, EMELIA DAGANASOL",RES1,240,1
440,2020012320,"ACEBO, ANGELI ABARCA",RES1,240,1
441,2020012322,"TABADA, VIOLETA OBANIL",RES2,240,1
442,2020012323,"JAVINES, RICARDITO",RES1,240,1
443,2020012324,"CAÑAMAQUE, GLEEN NAAGAS",RES3,240,1
444,2020012325,"SORIANO, DENNIS MAKABENTA",RES1,240,1
445,2020012326,"TAMACA, JAKE L",RES1,240,1
446,2020012328,"LAGERA, JUDITH E",RES3,240,1
447,2020012329,"ILAD, NAZARIO A/ CEMETERY",COM1,240,1
448,2020012333,"OSMEÑA, TERESITA MATERNITY CLINIC",COM3,240,1
449,2020012334,"GRABOL, KRISHNA LIGUTAN",RES1,240,1
450,2020012336,"PRADA, MICHELLE M.",RES2,240,1
451,2020012337,"CAÑAMAQUE, MA. LOURDES D.",RES2,240,1
452,2020020010,"INSIGNE, FELIXBERTO",RES4,240,1
453,2020020011,"DE LA PENA, ROSA",RES4,240,1
454,2020020014,"ASTILLO, BENITA",RES4,240,1
455,2020020015,"DRILON, CORONA",RES1,240,1
456,2020020020,"CABADA, POLICARPIO",RES1,240,1
457,2020020030,"DE LA PE?A, PATROCENIO",RES2,240,1
458,2020020040,"CLORES, JUAN",RES3,240,1
459,2020020060,"JAVINES, DOMINADOR",RES2,240,1
460,2020020070,"NARIDO, FELOMINA",RES3,240,1
461,2020020074,"RA?IN, MARIA",RES1,240,1
