Count,Voltage Regulator ID,"From 
Bus ID","To  
Bus ID",Regulated Bus ID,Phase Type,Phasing,Phase Sense,KVA Rating ,KV Rating ,Target Voltage (120V base),Bandwidth     (120V base),R-Setting Phase A,R-Setting Phase B,R-Setting Phase C,X-Setting Phase A,X-Setting Phase B,X-Setting Phase C,Primary Current Rating (A),PT Ratio,No-Load Loss (kW),Exciting Current (%)
65,VR0065,P0000000100-1,BUS-065,RBUS-065,3PH,CAB,ABC,625,13.8,120.3,2.7,3.8,6.8,6.7,9.1,9.7,6.6,175,2.55679,0.28000,0.64000
66,VR0066,P0000000100-2,BUS-066,RBUS-066,3PH,CBA,ABC,475,23,121,4,3.8,6.3,1.5,6.6,18.7,15.5,85,2.03753,1.46000,1.91000
67,VR0067,P0000000100-6,BUS-067,RBUS-067,3PH,CBA,ABC,650,13.8,119.6,3.3,2.3,7.3,4.4,8.5,5.7,15,125,2.64175,0.95000,1.05000
68,VR0068,P0000000100-6A,BUS-068,RBUS-068,3PH,ACB,ABC,950,34.5,118.2,2.5,6.3,4.1,5.6,19.9,18.3,19,180,2.87326,1.21000,1.30000
69,VR0069,P0000000100-7,BUS-069,RBUS-069,3PH,CBA,CBA,325,23,120.3,2.1,2.2,4.4,1.7,13.1,17.9,16.2,105,2.57844,1.28000,0.60000
70,VR0070,P0000000100-13,BUS-070,RBUS-070,3PH,BCA,ABC,400,23,122,1.3,6.3,6.7,3.2,14.1,19.6,16.5,40,2.03986,0.77000,1.37000
71,VR0071,P0000000100-13m,BUS-071,RBUS-071,3PH,CBA,ABC,750,23,120.5,1.4,8.5,3.9,7.7,11.4,13.7,18.7,50,2.98289,0.88000,0.87000
72,VR0072,P0000000100-13ag,BUS-072,RBUS-072,3PH,BAC,ABC,500,23,120.9,3.5,4.5,9.4,5.8,9.6,6.6,14.4,120,2.73813,0.45000,1.20000
73,VR0073,P0000000100-13ag6,BUS-073,RBUS-073,3PH,CAB,ABC,275,34.5,119.7,1.8,5.4,9.2,4.4,16,10.4,12.2,130,2.64274,1.24000,1.74000
74,VR0074,P0000000100-13ar,BUS-074,RBUS-074,3PH,BAC,ABC,975,34.5,121.1,3.1,9,1.6,8.2,9.5,6.1,10.4,100,2.35317,0.86000,0.68000
75,VR0075,P0000000100-13ax,BUS-075,RBUS-075,3PH,ABC,ABC,350,7.2,119.6,2.3,1.9,9.5,1.1,11.7,15,12.2,150,2.13488,0.43000,2.48000
76,VR0076,P0000000100-13ax15,BUS-076,RBUS-076,3PH,ACB,ABC,675,23,121.1,2.7,2.4,7.2,9,15.7,10,16.3,60,2.89591,0.22000,1.80000
77,VR0077,P0000000100-13bj,BUS-077,RBUS-077,3PH,ACB,ABC,775,7.2,118.2,1,5,5.5,5.4,11.7,12,8.8,85,2.30866,0.73000,2.14000
78,VR0078,P0000000100-16,BUS-078,RBUS-078,3PH,ABC,ABC,625,7.2,121,1.2,8.2,5.1,3.7,10.3,10.1,15.5,150,2.67342,0.42000,1.59000
79,VR0079,P0000000100-20,BUS-079,RBUS-079,3PH,CBA,ABC,450,13.8,118.6,1.3,4.5,5,3.2,5.1,10.7,15.2,120,2.54656,0.80000,0.78000
80,VR0080,P0000000100-28,BUS-080,RBUS-080,3PH,CBA,CBA,350,23,120.6,2.9,10,7.2,1,8.2,13.9,8.4,180,2.17952,0.81000,1.27000
81,VR0081,P0000000100-30,BUS-081,RBUS-081,3PH,CBA,ABC,550,7.2,118.6,2,6,1.3,5.7,13.1,11.4,6.3,135,2.20828,0.21000,0.56000
82,VR0082,P0000000100-30i,BUS-082,RBUS-082,3PH,ACB,ABC,325,13.8,121.5,1.7,4.4,4.4,2.9,9.9,19.1,10.9,160,2.91502,0.56000,2.12000
83,VR0083,P0000000100-39,BUS-083,RBUS-083,3PH,ACB,ABC,400,7.2,121,1.1,6.9,6.2,8,14.3,15,15.2,135,2.14099,0.99000,2.39000
84,VR0084,P0000000100-39h,BUS-084,RBUS-084,3PH,ABC,CBA,950,13.8,121.8,3.2,10,2.7,4.7,7.5,16.1,9.5,150,2.92305,0.42000,1.03000
85,VR0085,P0000000100-39X,BUS-085,RBUS-085,3PH,BCA,ABC,900,34.5,120.9,3,7.2,5.3,4.8,7.1,12.1,11.7,150,2.69597,0.56000,1.45000
86,VR0086,P0000000100-42,BUS-086,RBUS-086,3PH,CBA,ABC,275,23,121,1.9,9.2,3.3,4,14.6,15.2,5.8,70,2.77473,0.33000,0.65000
87,VR0087,P0000000100-43,BUS-087,RBUS-087,3PH,BAC,ABC,850,34.5,121.9,1.6,8.1,2.2,1.6,13.7,18.3,16.2,80,2.39532,0.70000,0.64000
88,VR0088,P0000000100-50,BUS-088,RBUS-088,3PH,BCA,ABC,425,23,120.1,2.7,6.9,9.4,3.9,19,10.9,12.5,130,2.54449,1.27000,1.29000
89,VR0089,P0000000100-55,BUS-089,RBUS-089,3PH,CBA,CBA,875,13.8,121.4,3.9,5.5,9.5,9.4,12.2,8.7,12.1,135,2.59499,1.28000,1.45000
90,VR0090,P0000000100-55-4,BUS-090,RBUS-090,3PH,CBA,ABC,700,23,121.6,1.5,4.3,3,4.2,5.7,5.6,12.7,150,2.29594,0.75000,1.47000
91,VR0091,P0000000100-58,BUS-091,RBUS-091,3PH,BAC,ABC,750,7.2,118.8,2.2,7.1,7.7,9.8,8.2,15.4,16.5,115,2.91804,0.33000,0.74000
92,VR0092,P0000000100-66,BUS-092,RBUS-092,3PH,BCA,ABC,625,34.5,121,2.5,5.2,8.1,9.6,8.9,12.3,5.6,35,2.22897,0.81000,2.32000
93,VR0093,P0000000100-71,BUS-093,RBUS-093,3PH,CAB,ABC,875,13.8,120.9,1.3,4.1,3,7.3,9.6,14.2,11.4,75,2.11751,1.49000,1.47000
94,VR0094,P0000000100-71-3,BUS-094,RBUS-094,3PH,CAB,ABC,450,23,121.9,2.9,7.6,5.4,5.9,5.9,11.8,17.1,130,2.40234,1.33000,0.83000
95,VR0095,P0000000100-72,BUS-095,RBUS-095,3PH,BCA,CBA,650,7.2,120.4,2.9,7,8,7,10,11.2,11.2,60,2.06915,0.44000,1.86000
96,VR0096,P0000000100-72M,BUS-096,RBUS-096,3PH,BCA,ABC,900,23,120.9,3.7,4.7,9.1,1.1,14,12.9,15.2,190,2.40910,1.48000,1.66000
97,VR0097,P0000000100-72Q,BUS-097,RBUS-097,3PH,CAB,ABC,275,23,118.9,3,5.9,9.4,8.8,17,15,19.1,85,2.42821,0.82000,0.56000
98,VR0098,P0000000100-72Q8,BUS-098,RBUS-098,3PH,CAB,ABC,725,23,118.6,2.1,6.7,6.3,2.1,15,6.3,9.3,85,2.29174,0.49000,1.30000
99,VR0099,P0000000100-72Q8c,BUS-099,RBUS-099,3PH,ABC,ABC,575,34.5,119.2,3.2,6.2,6.7,2.9,7.2,12.5,15.9,35,2.36197,0.65000,0.94000
100,VR0100,P0000000100-72Q12,BUS-100,RBUS-100,3PH,ACB,ABC,725,7.2,119.9,1.5,4,1.9,4,6.9,11.5,14.5,100,2.61598,1.07000,0.63000
101,VR0101,P0000000100-72Y,BUS-101,RBUS-101,3PH,CAB,ABC,900,7.2,121.8,2.9,2.4,1.2,5.7,17.3,7.7,18.9,140,2.65103,1.10000,1.84000
102,VR0102,P0000000100-74,BUS-102,RBUS-102,3PH,ACB,ABC,950,23,118.3,2.8,3.4,8.1,3,18.2,10.5,13.9,80,2.47588,0.27000,2.16000
103,VR0103,P0000000100-79,BUS-103,RBUS-103,3PH,ACB,ABC,300,7.2,122,3.6,7.3,9.3,8.5,19.8,10,13.8,150,2.70277,0.70000,2.38000
104,VR0104,P0000000100-85,BUS-104,RBUS-104,3PH,BAC,ABC,300,7.2,118.7,3.6,9.3,6.7,8.5,8.8,7.9,5.1,155,2.04317,0.68000,1.89000
105,VR0105,P0000000102,BUS-105,RBUS-105,3PH,CAB,ABC,775,23,119.6,2.9,5.9,10,9.1,13.7,19.1,15.5,55,2.19844,0.38000,0.66000
106,VR0106,P0000000106,BUS-106,RBUS-106,3PH,CBA,ABC,750,13.8,118.9,3.8,4.8,5.1,4.1,7.6,14.4,18.3,115,2.32745,0.85000,1.33000
107,VR0107,P000000106A,BUS-107,RBUS-107,3PH,ACB,CBA,800,13.8,119.4,2.7,6.4,9.9,5.5,19.3,5.3,9.6,55,2.76741,0.50000,1.82000
108,VR0108,P0000000106-1,BUS-108,RBUS-108,3PH,CAB,ABC,850,23,121.3,3.2,8.9,3.2,6.6,14.2,12.9,16,25,2.84333,0.56000,0.77000
109,VR0109,P0000000106-2,BUS-109,RBUS-109,3PH,CAB,ABC,500,13.8,119.4,3.5,4.6,5.9,5.2,12.9,14.3,19.7,125,2.40115,0.46000,0.66000
110,VR0110,P0000000108,BUS-110,RBUS-110,3PH,CBA,ABC,925,13.8,121.1,3,3.1,3.5,2.9,6.2,13.6,16.9,85,2.21825,1.28000,1.03000
111,VR0111,P0000000108-4,BUS-111,RBUS-111,3PH,ACB,ABC,925,7.2,120.3,3.2,6.3,7.4,7.1,8.5,15.8,10.3,140,2.15122,0.83000,1.25000
112,VR0112,P0000000108-4A,BUS-112,RBUS-112,3PH,ACB,ABC,850,34.5,118.8,2.1,4,8.5,6.4,8.5,17,16.4,35,2.21098,0.48000,2.03000
113,VR0113,P0000000108-4b,BUS-113,RBUS-113,3PH,CAB,ABC,900,34.5,118.9,1.3,6.4,7.7,3.6,9.8,5.8,19.8,80,2.88821,1.05000,2.04000
114,VR0114,P0000000108-5,BUS-114,RBUS-114,3PH,BAC,ABC,575,23,121.4,3.9,8.8,5,9.9,18.4,10.5,12.4,45,2.55198,1.36000,1.63000
115,VR0115,P0000000108-7,BUS-115,RBUS-115,3PH,ABC,ABC,350,7.2,119.3,3.3,3.6,3.4,7.1,13.1,10.1,8.1,120,2.78362,0.89000,1.78000
116,VR0116,P0000000108-7A,BUS-116,RBUS-116,3PH,CBA,ABC,525,23,121.3,2.5,8.7,1.3,3.1,11.7,19.6,16.2,105,2.34031,0.34000,1.76000
117,VR0117,P0000000108-8,BUS-117,RBUS-117,3PH,ACB,CBA,650,34.5,121.4,2.8,1.4,3.8,2.5,12.5,17.2,13.4,65,2.65101,0.35000,2.48000
118,VR0118,P0000000108-10,BUS-118,RBUS-118,3PH,ACB,ABC,350,34.5,120,2.3,4.6,7.5,7.4,10.6,12.1,5.8,95,2.89062,0.73000,1.75000
119,VR0119,P0000000108-11,BUS-119,RBUS-119,3PH,ACB,ABC,525,7.2,120.6,2.3,9.7,5,7,14.2,17.3,10.8,165,2.87441,1.45000,1.99000
120,VR0120,P0000000108-12,BUS-120,RBUS-120,3PH,CAB,ABC,700,7.2,121.5,1.7,5.3,6.6,4.3,8.1,5.9,15.8,90,2.59882,0.54000,0.78000
121,VR0121,P0000000108-12b,BUS-121,RBUS-121,3PH,ABC,CBA,475,34.5,121.8,2.8,2.7,8.9,6.4,19.3,14.6,17.8,45,2.89890,1.37000,1.16000
122,VR0122,P0000000108-12f,BUS-122,RBUS-122,3PH,BCA,ABC,775,23,121.2,3.3,5.9,7.3,4.6,15,12.4,16.9,180,2.59066,1.24000,2.42000
123,VR0123,P0000000108-12h,BUS-123,RBUS-123,3PH,CAB,CBA,625,7.2,121.2,2.4,3.3,8.6,1.3,12.2,8.6,9,145,2.17525,1.21000,1.97000
124,VR0124,P0000000108-18,BUS-124,RBUS-124,3PH,ACB,ABC,575,13.8,118.2,2.7,3.9,1.1,8.1,14.3,9.1,6.2,160,2.77593,1.19000,0.59000
125,VR0125,P0000000108-19,BUS-125,RBUS-125,3PH,BAC,ABC,400,13.8,120.4,1,4.9,3.7,4.8,17.7,6.8,6.2,130,2.06005,1.11000,1.69000
126,VR0126,P0000000108-20,BUS-126,RBUS-126,3PH,ABC,ABC,625,23,121.9,3.7,2.8,3.5,1.9,17.3,6.5,9,135,2.81177,0.33000,0.62000
127,VR0127,P0000000108-20C,BUS-127,RBUS-127,3PH,BAC,ABC,650,23,120,4,4.6,3.1,3.9,12.9,13.3,17.1,160,2.41773,1.33000,2.39000
128,VR0128,P0000000108-20O,BUS-128,RBUS-128,3PH,BCA,ABC,450,7.2,118.1,1.9,3.9,8,7.6,8.7,10.6,8.9,130,2.11250,0.27000,1.31000
129,VR0129,P0000000108-21,BUS-129,RBUS-129,3PH,BAC,ABC,825,23,121.4,1.4,1.9,8.1,5.8,6.1,5.3,5.8,100,2.45876,1.11000,1.02000
130,VR0130,P0000000108-21b,BUS-130,RBUS-130,3PH,CAB,ABC,450,34.5,118.8,1.2,5.6,1.4,5.2,6.9,14.8,13.7,130,2.39700,1.16000,2.13000
131,VR0131,P0000000108-24,BUS-131,RBUS-131,3PH,BAC,CBA,325,34.5,120.4,3.6,6.3,4,7.7,18.6,13.5,7.9,45,2.65345,0.36000,1.64000
132,VR0132,P0000000108-24A,BUS-132,RBUS-132,3PH,ABC,ABC,325,34.5,118.8,1.7,9.5,9.1,8.2,6.6,11.7,5.7,140,2.98376,0.32000,0.65000
133,VR0133,P0000000108-24-1,BUS-133,RBUS-133,3PH,ABC,ABC,875,34.5,120.9,1.3,4.1,3.4,1.9,16.2,14,9.5,155,2.78254,0.94000,0.84000
134,VR0134,P0000000108-30,BUS-134,RBUS-134,3PH,ABC,ABC,400,13.8,120.1,3.2,3.1,4.3,9.4,6.9,10.9,6.6,165,2.93263,0.35000,1.07000
135,VR0135,P0000000108-33,BUS-135,RBUS-135,3PH,CAB,ABC,325,7.2,120.2,3.4,5,1.3,1.5,9.1,15.3,6,165,2.24477,0.48000,2.31000
136,VR0136,P0000000108-45,BUS-136,RBUS-136,3PH,ACB,ABC,675,34.5,121.6,1.6,7.5,4.6,3.3,8,15.7,6.6,200,2.28295,1.14000,2.45000
137,VR0137,P0000000108-45H,BUS-137,RBUS-137,3PH,CBA,ABC,725,34.5,119.3,2.5,2,2.1,2.1,8.7,7.1,17.4,175,2.26672,0.79000,0.77000
138,VR0138,P0000000108-45A,BUS-138,RBUS-138,3PH,ACB,ABC,850,23,120.9,1.3,9.7,7.8,8.5,9.8,6.9,9.7,170,2.88171,1.46000,1.21000
139,VR0139,P0000000108-58,BUS-139,RBUS-139,3PH,ACB,ABC,650,13.8,119.8,2.8,6.7,7,8.7,19.7,6.3,19.6,35,2.08773,1.09000,1.42000
140,VR0140,P0000000108-58M,BUS-140,RBUS-140,3PH,ACB,ABC,775,7.2,120.8,1.1,2.9,6.9,7.7,18.3,12.7,14.6,150,2.85088,1.12000,1.54000
141,VR0141,P0000000108-58R,BUS-141,RBUS-141,3PH,BAC,ABC,400,7.2,120.4,3,9.5,2.8,8,15.4,6.2,12.1,60,2.96421,1.14000,1.97000
142,VR0142,P0000000108-58R11,BUS-142,RBUS-142,3PH,BCA,ABC,425,7.2,120.4,1.1,5.2,1.2,3.4,18.5,8.7,5.2,45,2.99441,0.48000,1.11000
143,VR0143,P0000000108-58AA,BUS-143,RBUS-143,3PH,ACB,ABC,600,34.5,118.5,4,4.6,4.5,6.6,10.3,18.7,13.6,45,2.44525,0.50000,1.47000
144,VR0144,P0000000108-58AN,BUS-144,RBUS-144,3PH,CBA,ABC,875,13.8,118.7,3.1,6.4,7,1.3,6.1,15.2,7.3,175,2.66297,0.74000,1.02000
145,VR0145,P0000000108-58AN9,BUS-145,RBUS-145,3PH,ABC,ABC,575,13.8,120.5,2.4,5.2,4.1,2.8,20,17,6.5,140,2.23792,0.24000,2.06000
146,VR0146,P0000000108-58AO,BUS-146,RBUS-146,3PH,ABC,ABC,425,13.8,119.8,2.3,7.3,4.8,8.2,12.3,7.4,17.4,175,2.37571,0.79000,1.10000
147,VR0147,P0000000108-58AO4,BUS-147,RBUS-147,3PH,CAB,ABC,925,34.5,121.7,2.4,9.8,2.6,7.7,17.5,10,9.4,110,2.87112,1.37000,1.08000
