Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter),latitude,longitude,Feeder
16,DXTUNGAF1C034,P0000000025,P0000000034,ABCN,Triangular,Multi-grounded,733,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.26338959,124.7410172,F1
17,DXTUNGAF1C034A,P0000000034,P000000034A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.26401722,124.7406739,F1
18,DXTUNGAF1C034A,P0000000034,P0000000034-7,BN,Vertical,Multi-grounded,611,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26461804,124.7403306,F1
19,DXTUNGAF1A0034-7A,P0000000034-7,P0000000034-7A,BN,Vertical,Multi-grounded,38,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26524568,124.7399551,F1
20,DXTUNGAF1A0034-9,P0000000034-7,P0000000034-9,BN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26589477,124.739601,F1
21,DXTUNGAF1A0034-9a,P0000000034-9,P0000000034-9a,BN,Vertical,Multi-grounded,46,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26650631,124.7392577,F1
22,DXTUNGAF1A0034-18,P0000000034-9,P0000000034-18,BN,Vertical,Multi-grounded,778,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26712322,124.7388822,F1
23,DXTUNGAF1A0034-29,P0000000034-18,P0000000034-29,BN,Vertical,Multi-grounded,783,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2677294,124.7385335,F1
24,DXTUNGAF1C038,P0000000034,P0000000038,ABCN,Triangular,Multi-grounded,308,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.26834095,124.7382063,F1
25,DXTUNGAF1C044,P0000000038,P0000000044,ABCN,Triangular,Multi-grounded,419,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.26895249,124.7378576,F1
26,DXTUNGAF1A0044-29,P0000000044,P0000000044-29,AN,Vertical,Multi-grounded,2672,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.26960158,124.7375035,F1
27,DXTUNGAF1A0044-64,P0000000044-29,P0000000044-64,AN,Vertical,Multi-grounded,1040,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2702024,124.7371656,F1
28,DXTUNGAF1C0045,P0000000044,P0000000045,ABCN,Triangular,Multi-grounded,56,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27084076,124.7368598,F1
29,DXTUNGAF1C0046,P0000000045,P0000000046,ABCN,Triangular,Multi-grounded,56,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27137184,124.7363824,F1
30,DXTUNGAF1A0046-22,P0000000046,P0000000046-22,AN,Vertical,Multi-grounded,1338,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.27185464,124.7358835,F1
31,DXTUNGAF1C0049,P0000000046,P0000000049,ABCN,Triangular,Multi-grounded,307,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27237499,124.7353953,F1
32,DXTUNGAF1C0049A,P0000000049,P0000000049A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27293289,124.7348374,F1
33,DXTUNGAF1A0049-3,P0000000049,P0000000049-3,BN,Vertical,Multi-grounded,250,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.27342105,124.7343063,F1
34,DXTUNGAF1C0054,P0000000049,P0000000054,ABCN,Triangular,Multi-grounded,363,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27393067,124.7337537,F1
35,DXTUNGAF1C054A,P0000000054,P000000054A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27441347,124.7332388,F1
36,DXTUNGAF1C054-20,P0000000054,P0000000054-20,BN,Vertical,Multi-grounded,1443,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.27494991,124.7326326,F1
37,DXTUNGAF1C0065,P0000000054,P0000000065,ABCN,Triangular,Multi-grounded,834,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27545953,124.7321177,F1
38,DXTUNGAF1C072,P0000000065,P0000000072,ABCN,Triangular,Multi-grounded,536,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27596915,124.7315651,F1
39,DXTUNGAF1A0072-7,P0000000072,P0000000072-7,AN,Vertical,Multi-grounded,433,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.27646267,124.7310716,F1
40,DXTUNGAF1A0073,P0000000072,P0000000073,ABCN,Triangular,Multi-grounded,45,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27702594,124.7305405,F1
41,DXTUNGAF1A0076,P0000000073,P0000000076,ABCN,Triangular,Multi-grounded,240,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27754092,124.7300577,F1
42,DXTUNGAF1C090,P0000000073,P0000000090,ABCN,Triangular,Multi-grounded,1404,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27808273,124.7295266,F1
43,DXTUNGAF1C091A,P0000000090,P0000000091,ABCN,Triangular,Multi-grounded,26,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27858162,124.729017,F1
44,DXTUNGAF1A091,P0000000091,P000000091A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.27910733,124.7284806,F1
45,DXTUNGAF1C091B,P000000091A,P000000091B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2795794,124.7279549,F1
46,DXTUNGAF1C0092,P0000000091,P0000000092,ABCN,Triangular,Multi-grounded,60,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28007829,124.7274506,F1
47,DXTUNGAF1C092A,P0000000092,P000000092A,ABCN,Triangular,Multi-grounded,40,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28060401,124.7268873,F1
48,DXTUNGAF1C092B,P000000092A,P000000092B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2811029,124.726367,F1
49,DXTUNGAF1C0092-2,P0000000092,P0000000092-2,ABCN,Triangular,Multi-grounded,98,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28161252,124.7257984,F1
50,DXTUNGAF1A0092-5,P0000000092-2,P0000000092-5,BN,Vertical,Multi-grounded,140,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2820363,124.7251815,F1
51,DXTUNGAF1A0092-7,P0000000092-5,P0000000092-7,BN,Vertical,Multi-grounded,75,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28245473,124.7245753,F1
52,DXTUNGAF1A0092-8,P0000000092-7,P0000000092-8,BN,Vertical,Multi-grounded,127,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28288925,124.7239316,F1
53,DXTUNGAF1A0092-9,P0000000092-8,P0000000092-9,BN,Vertical,Multi-grounded,72,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28333986,124.723202,F1
54,DXTUNGAF1C0093,P0000000092,P0000000093,ABCN,Triangular,Multi-grounded,82,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2837261,124.7225475,F1
55,DXTUNGAF1C094A,P0000000093,P0000000094,ABCN,Triangular,Multi-grounded,95,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28408551,124.7219253,F1
56,DXTUNGAF1C0094,P0000000094,P000000094A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28448248,124.7212547,F1
57,DXTUNGAF1C094B,P000000094A,P000000094B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2848419,124.7206056,F1
58,DXTUNGAF1C094C,P000000094B,P000000094C,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28524959,124.7198921,F1
59,DXTUNGAF1C095,P0000000094,P0000000095,ABCN,Triangular,Multi-grounded,88,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28560901,124.7192752,F1
60,DXTUNGAF1A0095-7,P0000000095,P0000000095-7,CN,Vertical,Multi-grounded,356,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28600061,124.7185725,F1
61,DXTUNGAF1A0099,P0000000095,P0000000099,ABCN,Triangular,Multi-grounded,288,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28633857,124.7179663,F1
62,DXTUNGAF1C0100,P0000000099,P0000000100,ABCN,Triangular,Multi-grounded,44,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28669798,124.7172368,F1
63,DXTUNGAF1C0100A,P0000000100,P000000100A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28702521,124.7166145,F1
64,DXTUNGAF1C0100B,P000000100A,P000000100B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.28738999,124.7158903,F1
65,DXTUNGAF1C0100-1,P0000000100,P0000000100-1,CN,Vertical,Multi-grounded,58,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28771186,124.7151983,F1
66,DXTUNGAF1A0100-2,P0000000100-1,P0000000100-2,CN,Vertical,Multi-grounded,67,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28806055,124.7145438,F1
67,DXTUNGAF1A0100-6,P0000000100-2,P0000000100-6,CN,Vertical,Multi-grounded,270,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28836095,124.7139269,F1
68,DXTUNGAF1A0100-6A,P0000000100-6,P0000000100-6A,CN,Vertical,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28866136,124.7132778,F1
69,DXTUNGAF1A0100-7,P0000000100-6,P0000000100-7,CN,Vertical,Multi-grounded,63,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28898859,124.7126341,F1
70,DXTUNGAF1A0100-13,P0000000100-7,P0000000100-13,CN,Vertical,Multi-grounded,493,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28932118,124.7120064,F1
71,DXTUNGAF1A0100-13m,P0000000100-13,P0000000100-13m,CN,Vertical,Multi-grounded,885,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.28962696,124.7113574,F1
72,DXTUNGAF1A0100-13ag,P0000000100-13m,P0000000100-13ag,CN,Vertical,Multi-grounded,1741,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29001319,124.7106171,F1
73,DXTUNGAF1A0100-13ag6,P0000000100-13ag,P0000000100-13ag6,CN,Vertical,Multi-grounded,491,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29037261,124.7099733,F1
74,DXTUNGAF1A0100-13ar,P0000000100-13ag,P0000000100-13ar,CN,Vertical,Multi-grounded,937,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2907052,124.7093564,F1
75,DXTUNGAF1A0100-13ax,P0000000100-13ar,P0000000100-13ax,CN,Vertical,Multi-grounded,429,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29104853,124.7087181,F1
76,DXTUNGAF1A0100-13ax15,P0000000100-13ax,P0000000100-13ax15,CN,Vertical,Multi-grounded,1106,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29138649,124.7080797,F1
77,DXTUNGAF1A0100-13bj,P0000000100-13ax,P0000000100-13bj,CN,Vertical,Multi-grounded,1098,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29171908,124.7074628,F1
78,DXTUNGAF1A0100-16,P0000000100-13,P0000000100-16,CN,Vertical,Multi-grounded,187,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29205167,124.7068512,F1
79,DXTUNGAF1A0100-20,P0000000100-16,P0000000100-20,CN,Vertical,Multi-grounded,220,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29242182,124.70617,F1
80,DXTUNGAF1A0100-28,P0000000100-20,P0000000100-28,CN,Vertical,Multi-grounded,531,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29279196,124.7054887,F1
81,DXTUNGAF1A0100-30,P0000000100-28,P0000000100-30,CN,Vertical,Multi-grounded,138,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29311919,124.7048396,F1
82,DXTUNGAF1A0100-30i,P0000000100-30,P0000000100-30i,CN,Vertical,Multi-grounded,766,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29345715,124.704212,F1
83,DXTUNGAF1A0100-39,P0000000100-30,P0000000100-39,CN,Vertical,Multi-grounded,643,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29378974,124.7035789,F1
84,DXTUNGAF1A0100-39h,P0000000100-39,P0000000100-39h,CN,Vertical,Multi-grounded,616,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29412234,124.7029084,F1
85,DXTUNGAF1A0100-39x,P0000000100-39h,P0000000100-39X,CN,Vertical,Multi-grounded,1342,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2944442,124.70227,F1
86,DXTUNGAF1A0100-42,P0000000100-39,P0000000100-42,CN,Vertical,Multi-grounded,180,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29471779,124.7015512,F1
87,DXTUNGAF1A0100-43,P0000000100-42,P0000000100-43,CN,Vertical,Multi-grounded,67,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2950182,124.7008806,F1
88,DXTUNGAF1A0100-50,P0000000100-43,P0000000100-50,CN,Vertical,Multi-grounded,465,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29530251,124.7002047,F1
89,DXTUNGAF1A0100-55,P0000000100-50,P0000000100-55,CN,Vertical,Multi-grounded,403,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29554927,124.6995449,F1
90,DXTUNGAF1A0100-55-4,P0000000100-55,P0000000100-55-4,CN,Vertical,Multi-grounded,260,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29582822,124.6988529,F1
91,DXTUNGAF1A0100-58,P0000000100-55,P0000000100-58,CN,Vertical,Multi-grounded,182,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29609644,124.6982092,F1
92,DXTUNGAF1A0100-66,P0000000100-58,P0000000100-66,CN,Vertical,Multi-grounded,506,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29638612,124.6975064,F1
93,DXTUNGAF1A0100-71,P0000000100-66,P0000000100-71,CN,Vertical,Multi-grounded,341,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29667044,124.6968251,F1
94,DXTUNGAF1A0100-71-3,P0000000100-71,P0000000100-71-3,CN,Vertical,Multi-grounded,161,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29693329,124.6961653,F1
95,DXTUNGAF1A0100-72,P0000000100-71,P0000000100-72,CN,Vertical,Multi-grounded,73,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29723907,124.6954948,F1
