pole_number,latitude,longitude,feeder,circuit,primary_bus,transformer_bus,secondary_bus
55-A,11.29581601,124.6644003,F6,Single Phase,,,4-A
55-A-B,11.29635,124.6641,F6,3 Phase,,,4-A-B
55-A-B-A,11.29652,124.6642,F6,3 Phase,,,4-A-B-A
55-A-B-B,11.29663,124.6644,F6,3 Phase,,,4-A-B-B
55-A-C,11.29663,124.6639,F6,3 Phase,,,4-A-C
55-A-D,11.29668,124.6634,F6,3 Phase,,,4-A-D
55-A-F,11.29643,124.6628,F6,3 Phase,,,4-A-E
55-A-G,11.29628,124.6622,F6,3 Phase,,,4-A-F
54,11.2957129,124.6640931,F6,3 Phase,54,,5
53,11.29557491,124.6636418,F6,3 Phase,53,,6
51,11.29562107,124.6637088,F6,3 Phase,52,,7
50,11.29568,124.66333,F6,3 Phase,50,,
50-a,11.29542,124.66337,F6,3 Phase,50-a,,
49,11.29542,124.66337,F6,3 Phase,49,,
48,11.29517,124.66264,F6,3 Phase,48,,
48-a,11.29514,124.66115,F6,3 Phase,48-a,48,48-a
47,11.29446,124.66121,F6,3 Phase,47,,
47-a,11.29463,124.6606,F6,Single Phase,47-a,,47-a
46-a-b,11.29331,124.6612,F6,Single Phase,46-a-b,,
46-a-b-A,11.2935,124.66141,F6,Single Phase,46-a-b-A,,
46-a-b-B,11.29336,124.66128,F6,Single Phase,46-a-b-B,,46-a-b-A
46-a-b-B-a,11.29312,124.661,F6,Single Phase,46-a-b-B-a,,
46-a-b-B-a-A,11.29312,124.661,F6,Single Phase,46-a-b-B-a-A,,
46-a-c,11.29301,124.66258,F6,Single Phase,46-a-c,,
47-a-d,11.29246,124.66183,F6,Single Phase,47-a-d,,
47-a-e,11.29232,124.66206,F6,Single Phase,47-a-e,,
47-a-e-A,11.29149,124.66171,F6,Single Phase,47-a-e-A,,
47-a-e-B,11.29166,124.66132,F6,Single Phase,47-a-e-B,,47-a-e-A
47-a-e-C,11.29166,124.66132,F6,Single Phase,47-a-e-C,,
47-a-e-D,11.29058,124.66191,F6,Single Phase,47-a-e-D,,
47-a-e-E,11.29058,124.66191,F6,Single Phase,47-a-e-E,,47-a-e-D
47-a-e-F,11.28882,124.66121,F6,Single Phase,47-a-e-F,,
47-a-e-G,11.28874,124.66093,F6,Single Phase,47-a-e-G,,47-a-e-G
47-a-e-H,11.28865,124.66095,F6,Single Phase,47-a-e-H,,47-a-e-G
47-a-e-I,11.28845,124.66094,F6,Single Phase,47-a-e-I,,47-a-e-H
47-a-e-J,11.2869,124.66049,F6,Single Phase,47-a-e-J,,47-a-e-I
47-a-e-K,11.28626,124.66028,F6,Single Phase,47-a-e-K,,47-a-e-J
47-a-e-L,11.28537,124.66092,F6,Single Phase,47-a-e-L,47-a-e-K,47-a-e-K
47-a-e-L-A,11.28514,124.6608,F6,Single Phase,47-a-e-L-A,,47-a-e-L
47-a-e-M,11.28499,124.66123,F6,Single Phase,47-a-e-M,,47-a-e-L-A
47-a-e-N,11.28487,124.66105,F6,Single Phase,47-a-e-N,,47-a-e-M
47-a-e-O,11.28459,124.66079,F6,Single Phase,47-a-e-O,,47-a-e-N
47-a-e-P,11.28459,124.66079,F6,Single Phase,47-a-e-P,,47-a-e-O
47-a-e-Q,11.28459,124.66079,F6,Single Phase,47-a-e-Q,,47-a-e-P
47-a-e-R,11.28254,124.66149,F6,Single Phase,47-a-e-R,,47-a-e-Q
47-a-e-S,11.28275,124.66106,F6,Single Phase,47-a-e-S,,47-a-e-R
47-a-e-S-A,11.28204,124.66188,F6,Single Phase,47-a-e-S-A,,47-a-e-S
47-a-e-S-B,11.2811,124.66085,F6,Single Phase,47-a-e-S-B,,47-a-e-S-A
47-a-e-S-C,11.28144,124.66068,F6,Single Phase,47-a-e-S-C,47-a-e-S-B,47-a-e-S-B
47-a-e-S-D,11.28144,124.66068,F6,Single Phase,47-a-e-S-D,47-a-e-S-B,47-a-e-S-C
47-a-e-S-E,11.28008,124.65964,F6,Single Phase,47-a-e-S-E,47-a-e-S-B,47-a-e-S-D
47-a-f-a,11.29185,124.6631,F6,Single Phase,47-a-f-a,,47-a-g
47-a-f-b,11.29171,124.66318,F6,Single Phase,47-a-f-b,,47-a-f-a
47-a-f-b-A,11.29165,124.66327,F6,Single Phase,47-a-f-b-A,,47-a-f-b
47-a-g,11.29171,124.66364,F6,Single Phase,47-a-g,,47-a-f-b-A
47-a-hh,11.29192,124.66383,F6,Single Phase,47-a-h,,47-a-g
77-A-c,11.29976,124.68063,F6,3 Phase,77-A-c,,77-A-c
77-A-c-a,11.29969,124.68064,F6,3 Phase,77-A-c-a,,77-A-c
77-A-c-b,11.29969,124.68064,F6,3 Phase,77-A-c-b,,77-A-c-a
46,11.29429,124.66032,F6,3 Phase,46,,46
45,11.29429,124.66032,F6,3 Phase,45,,46
133-1,11.30082,124.69366,F1,3 Phase,133-1,,
133-2,11.3009,124.69446,F1,3 Phase,133-2,,133-2
133-3,11.3009,124.69446,F1,3 Phase,133-3,,133-2
133-4,11.30089,124.69473,F1,3 Phase,133-4,,133-3
133-4-a,11.30097,124.69489,F1,Single Phase,133-4-a,133-4,133-4
133-4-b,11.30189,124.69531,F1,Single Phase,133-4-b,133-4-a,133-4-a
133-5,11.30123,124.69606,F1,3 Phase,133-5,133-4-b,133-4-b
133-7-A,11.30128,124.69687,F1,3 Phase,133-7-A,,133-7
133-8,11.30128,124.69687,F1,3 Phase,133-8,,133-8
133-9,11.3011,124.69781,F1,3 Phase,133-9,133-8,133-8
133-10,11.30162,124.69819,F1,3 Phase,133-10,,133-9
133-4-b-2,11.30157,124.69527,F1,3 Phase,133-4-b-2,133-4-a,133-4-a
133-4-b-1,11.3015,124.69525,F1,3 Phase,133-4-b-1,133-4-b-2,133-4-b-2
133-4-b-3,11.30143,124.69524,F1,3 Phase,133-4-b-3,133-4-b-3,133-4-b-1
133-4-b-3-a,11.30173,124.6953,F1,3 Phase,133-4-b-3-a,133-4-b-3,133-4-b-3
133-4-b-3-b,11.30172,124.69526,F1,3 Phase,133-4-b-3-b,,133-4-b-3-a
133-4-b-3-c,11.30177,124.6951,F1,3 Phase,133-4-b-3-c,,133-4-b-3-b
133-4-b-3-A,11.30177,124.6951,F1,3 Phase,133-4-b-3-A,,133-4-b-3-c
133-4-b-3-B,11.30177,124.6951,F1,3 Phase,133-4-b-3-B,,133-4-b-3-A
133-4-b-3-C,11.30177,124.6951,F1,3 Phase,133-4-b-3-C,,133-4-b-3-B
133-12-a,11.30271,124.69977,F1,Single Phase,133-12-a,,133-12-b
133-12-b,11.30267,124.69958,F1,Single Phase,133-12-b,,133-12-b
133-12-b-1,11.30267,124.69958,F1,Single Phase,133-12-b-1,1133-12-b,133-12-b
133-12-b-2,11.30267,124.69958,F1,Single Phase,133-12-b-2,,133-12-b-1
133-12-b-2-a,11.30267,124.69958,F1,Single Phase,133-12-b-2-a,,133-12-b-2
133-12-b-3,11.30267,124.69958,F1,Single Phase,133-12-b-3,,133-12-b-2-a
133-12-b-4,11.30296,124.69848,F1,Single Phase,133-12-b-4,,133-12-b-4
133-12-b-5-a,11.30209,124.69754,F1,Single Phase,133-12-b-5-a,,133-12-b-5-a
133-12-b-5-A,11.30209,124.69754,F1,Single Phase,133-12-b-5-A,,133-12-b-5-a
133-12-b-6,11.30246,124.69734,F1,Single Phase,133-12-b-6,,133-12-b-5-A
133-12-D,11.30343,124.7,F1,Single Phase,133-12-D,,133-12-C
133-12-D-1,11.30369,124.70023,F1,Single Phase,133-12-D-1,,133-12-D
133-12-E,11.30415,124.70092,F1,Single Phase,133-12-E,,133-12-D-1
133-12-F-1,11.30402,124.70112,F1,Single Phase,133-12-F1,,
133-12-F-2,11.30402,124.70112,F1,Single Phase,133-12-F-2,,133-12-F-1
133-12-F-3,11.30327,124.70184,F1,Single Phase,133-12-F-3,,133-12-F-2
133-12-G,11.30296,124.70164,F1,Single Phase,133-12-G,,133-12-F-3
133-12-H,11.30437,124.70151,F1,Single Phase,133-12-H,,133-12-G
133-12-I,11.30437,124.70151,F1,Single Phase,133-12-I,133-12-H,133-12-H
133-12-J,11.30437,124.70151,F1,Single Phase,133-12-J,133-12-H,133-12-I
133-12-H-2,11.30437,124.70151,F1,Single Phase,133-12-H-2,,133-12-
133-12-H-3,11.30506,124.70266,F1,Single Phase,133-12-H-3,,133-12-H-2
133-12-H-4,11.30491,124.70294,F1,Single Phase,133-12-H-4,,133-12-H-3
133-12-H-5,11.30502,124.70322,F1,Single Phase,133-12-H-5,,133-12-H-4
133-12-H-5-A,11.30543,124.70421,F1,Single Phase,133-12-H-5-A,,133-12-H-5
99-2,11.2987,124.68744,F1,V Phase,99-2,,
99-2-a,11.29878,124.68737,F1,V Phase,99-2-a,,99-2
99-3,11.29899,124.68737,F1,V Phase,99-3,,99-2-a
99-4,11.29907,124.68738,F6,V Phase,99-4,99-3,99-3
99-4-A,11.29913,124.68738,F6,V Phase,99-4-A,,99-4
99-4-a,11.29916,124.68739,F6,V Phase,99-4-a,,99-4-A
99-5,11.29987,124.68688,F6,V Phase,99-5,,
99-6,11.29977,124.68774,F6,V Phase,99-6,,99-5
99-6-A,11.30024,124.68787,F6,V Phase,99-6-A,,
99-6-B,11.30027,124.68842,F6,V Phase,99-6-B,,99-6-A
99-6-B-a,11.29998,124.68856,F6,V Phase,99-6-B-a,,99-6-B
99-6-a,11.30049,124.68762,F6,V Phase,99-6-a,,
99-7,11.30098,124.68669,F6,V Phase,99-7,,99-6-a
99-8,11.30098,124.6878,F6,V Phase,99-8,,
99-9A,11.30102,124.68847,F6,3 Phase,99-9A,,
99-10B,11.30111,124.68847,F6,Single Phase,99-10A,,99-A
99-10B-a,11.30106,124.68847,F6,Single Phase,99-10A-a,99-10B,99-10B
99-8-a,11.30109,124.6873,F6,Single Phase,99-a,,99-8
99-8-b,11.30066,124.68726,F6,Single Phase,99-8-b,99-8-a,99-8
99-8-c,11.30102,124.68661,F6,Single Phase,99-8-c,99-8-b,99-8-b
99-11,11.3016,124.68693,F6,Single Phase,99-11,,99-8-c
99-12,11.30134,124.68777,F6,Single Phase,99-12,,99-11
99-13,11.30154,124.68774,F6,Single Phase,99-13,99-12,99-12
99-13a,11.30204,124.68775,F6,Single Phase,99-13a,99-12,99-12
99-14a,11.30202,124.68741,F6,Single Phase,99-14a,,99-13a
99-15a,11.30202,124.68741,F6,Single Phase,99-15a,,99-14a
99-12-A,11.30207,124.68815,F6,Single Phase,99-12-A,,
99-17,11.30224,124.68736,F6,Single Phase,99-17,,
99-18,11.30242,124.68806,F6,Single Phase,99-18,99-17,99-17
99-18-A,11.30227,124.68821,F6,Single Phase,99-18-A,,99-18
99-18-a,11.30223,124.68825,F6,Single Phase,99-18-a3,,
100-1,11.29868,124.68795,F6,3 Phase,100-1,,
100-2,11.29876,124.68797,F6,3 Phase,100-2,,100-1
100-3,11.29927,124.68809,F6,3 Phase,100-3,,100-2
100,11.29832,124.68782,F6,3 Phase,100,,100
101,11.29794,124.68771,F6,3 Phase,101,100,100
102,11.2983,124.68799,F6,3 Phase,102,,
147,11.29819,124.68946,F1,3 Phase,147,,
147-1,11.29835,124.69063,F1,Single Phase,147-1,,147
147-1-A,11.29815,124.69006,F1,Single Phase,147-1-A,,147-1
147-1-A-a,11.29777,124.68997,F1,Single Phase,147-1-A-a,,147-1-A
147-1-B,11.29764,124.69048,F1,Single Phase,147-1-B,,147-1-A-a
147-2,11.2979,124.6904,F1,Single Phase,147-2,,147-1-B
147-3,11.29807,124.69029,F1,Single Phase,147-3,,147-2
147-3-A,11.2983,124.69078,F1,Single Phase,147-3-A,,147-3
147-4,11.29848,124.69121,F1,Single Phase,147-4,,147-3-A
147-4-A,11.29795,124.69151,F1,Single Phase,147-4-A,,
147-4-B,11.29801,124.69147,F1,Single Phase,147-4-B,,147-4-A
147-4-a,11.29794,124.69134,F1,Single Phase,147-4-a,,147-4-B
147-4-1,11.29866,124.69235,F1,Single Phase,147-4-1,,147-4-a
147-4-2,11.29845,124.69224,F1,Single Phase,147-4-2,,147-4-1
147-4-3,11.29847,124.69234,F1,Single Phase,147-4-3,,147-4-2
146-a,11.29876,124.68939,F1,3 Phase,146-a,,
146-b,11.29879,124.68934,F1,3 Phase,146-b,,146-a
146-c,11.29874,124.6893,F1,3 Phase,146-c,,146-a
146-A,11.29874,124.6893,F1,3 Phase,146-A,,146-c
146-B,11.29882,124.6897,F1,3 Phase,146-B,,146-A
146-C,11.29881,124.69036,F1,3 Phase,146-C,,146-B
146,11.29859,124.68948,F1,3 Phase,146,,
133-6,11.30003,124.69377,F1,3 Phase,133-6,,133-5
133-6-a,11.30107,124.69259,F1,3 Phase,133-6-a,,133-6
133-6-b,11.30118,124.69337,F1,3 Phase,133-6-b,,133-6-a
131-4-A,11.29954,124.69376,F1,3 Phase,131-4-A,,
131-4-B,11.29929,124.69437,F1,3 Phase,131-4-B,,131-4-A
131-4-B-A,11.29888,124.69442,F1,3 Phase,131-4-B-A,,131-4-B
131-4-B-B,11.29888,124.69474,F1,3 Phase,131-4-B-B,,131-4-B-A
131-4-B-C,11.29777,124.69442,F1,3 Phase,131-4-B-C,,131-4-B-B
131-4-B-D,11.2979,124.69459,F1,3 Phase,131-4-B-D,,131-4-B-C
75,11.30765,124.57829,F7,3 Phase,75,,74
82,11.30645,124.57378,F7,3 Phase,82,,81
83,11.30607,124.57331,F7,3 Phase,83,,82
84,11.30528,124.57333,F7,3 Phase,84,,83
85,11.30468,124.57306,F7,3 Phase,85,,84
86,11.30511,124.57288,F7,3 Phase,86,,85
87,11.30573,124.572,F7,3 Phase,87,86,86
88,11.30482,124.57146,F7,3 Phase,88,,87
89,11.30365,124.57104,F7,3 Phase,89,,88
90,11.30365,124.57104,F7,3 Phase,90,,89
91,11.30375,124.57045,F7,3 Phase,91,,90
92,11.30225,124.57087,F7,3 Phase,92,,91
93,11.30301,124.56937,F7,3 Phase,93,,92
94,11.30301,124.56937,F7,3 Phase,94,,93
95,11.30206,124.56891,F7,3 Phase,95,,94
96,11.30289,124.5693,F7,3 Phase,96,,95
97,11.30338,124.5688,F7,3 Phase,97,,96
98,11.30358,124.56806,F7,3 Phase,98,,97
99,11.30358,124.56806,F7,3 Phase,99,,98
99-A,11.30383,124.56592,F7,Single Phase,99-A,,99
99-B,11.30411,124.56543,F7,Single Phase,99-B,,99-A
99-C,11.30428,124.56541,F7,Single Phase,99-C,,99-B
99-D,11.30478,124.5655,F7,Single Phase,99-D,,99-C
99-E,11.3052,124.56484,F7,Single Phase,99-E,,99-D
99-F,11.30627,124.56506,F7,Single Phase,99-F,,99-E
99-G,11.30627,124.56506,F7,Single Phase,99-G,,99-F
99-H,11.30665,124.56438,F7,Single Phase,99-H,,99-G
99-I,11.30668,124.56435,F7,Single Phase,99-I,,99-H
104,11.30132,124.56761,F7,3 Phase,104,,104
105,11.30055,124.56764,F7,3 Phase,105,,105
106,11.30051,124.56749,F7,3 Phase,106,,105
107,11.30051,124.56749,F7,3 Phase,107,,106
108,11.30026,124.5663,F7,3 Phase,108,,107
109,11.30026,124.5663,F7,3 Phase,109,,108
110,11.30026,124.5663,F7,3 Phase,110,,109
111,11.29846,124.56564,F7,3 Phase,111,,110
112,11.2981,124.56571,F7,3 Phase,112,,112
113,11.29782,124.56642,F7,3 Phase,113,,113
117,11.29593,124.56822,F7,3 Phase,117,,117
118,11.29593,124.56822,F7,3 Phase,118,,117
119,11.29593,124.56822,F7,3 Phase,119,,119
120,11.29537,124.56918,F7,3 Phase,120,,120
121,11.29446,124.56917,F7,3 Phase,121,,121
122,11.29396,124.56787,F7,3 Phase,122,,121
123,11.29278,124.56755,F7,3 Phase,123,,122
123-1,11.29269,124.56735,F7,Single Phase,123-1,,123
123-2,11.29269,124.56735,F7,Single Phase,123-2,,123-1
123-3,11.29263,124.56713,F7,Single Phase,123-3,,123-2
124,11.29258,124.56649,F7,3 Phase,124,123-3,123-3
125,11.29224,124.56794,F7,3 Phase,125,,124
126,11.29209,124.57006,F7,3 Phase,126,,125
127,11.29115,124.56891,F7,3 Phase,127,126,126
128,11.29076,124.56862,F7,3 Phase,128,,127
128-1,11.29032,124.56854,F7,Single Phase,128-1,,128
129,11.29048,124.56833,F7,3 Phase,129,128-1,128-1
130,11.29,124.5685,F7,3 Phase,130,,129
131,11.28949,124.5685,F7,3 Phase,131,,130
131-a,11.28874,124.56842,F7,Single Phase,131-a,,131
131-b,11.28869,124.56856,F7,Single Phase,131-b,,131-a
131-c,11.28783,124.5694,F7,Single Phase,131-c,,131-b
131-d,11.28764,124.56923,F7,Single Phase,131-d,,131-c
131-e,11.28754,124.56916,F7,Single Phase,131-e,,131-d
131-f,11.28638,124.56917,F7,Single Phase,131-f,,131-e
131-g,11.28608,124.56952,F7,Single Phase,131-g,,131-f
131-g-1,11.28566,124.57055,F7,Single Phase,131-g-1,,131-g
131-g-2,11.28536,124.5708,F7,Single Phase,131-g-2,,131-g-1
131-g-3,11.28493,124.57143,F7,Single Phase,131-g-3,,131-g-3
131-g-4,11.28512,124.5715,F7,Single Phase,131-g-4,,131-g-3
131-g-5,11.28511,124.57203,F7,Single Phase,131-g-5,,131-g-4
131-g-6,11.28458,124.5724,F7,Single Phase,131-g-6,,131-g-5
131-g-7,11.28458,124.57242,F7,Single Phase,131-g-7,,131-g-6
131-g-8,11.28375,124.5729,F7,Single Phase,131-g-8,,131-g-7
135-1,11.28905,124.566,F7,3 Phase,135-1,,
135-2,11.28907,124.56604,F7,3 Phase,135-2,,135-2
135-3,11.28921,124.56533,F7,3 Phase,135-3,,135-
135-4,11.29026,124.56506,F7,3 Phase,135-4,mmk yes iiobv good gonna bb BB na,135-4
135-5,11.29105,124.56456,F7,3 Phase,135-5,,135-4
135-6,11.29107,124.56449,F7,3 Phase,135-6,,135-6
135-7,11.29125,124.56299,F7,3 Phase,135-7,,135-7
135-8,11.292,124.5625,F7,3 Phase,135-8,,135-8
1359,11.29306,124.56233,F7,3 Phase,135-9,,135-8
135-9,11.29306,124.56233,F7,3 Phase,135-9,,135-9
135-10,11.29307,124.56227,F7,3 Phase,135-10,,135-9
135-10-a,11.29338,124.56186,F7,Single Phase,135-10--a,135-10,135-10
135-10-b,11.29338,124.56186,F7,Single Phase,135-10--b,,135-10-a
135-10-b-1,11.29295,124.56111,F7,Single Phase,135-10--b-1,135_10-b,135-10-b
135-10-b-2,11.29294,124.56117,F7,Single Phase,135-10--b-2,,135-10-b-1
135-10-b-3,11.29278,124.56021,F7,Single Phase,135-10--b-3,,135-10-b-2
135-10-b-4,11.29276,124.56021,F7,Single Phase,135-10--b-4,,135-10-b-4
135-10-b-5,11.29236,124.56021,F7,Single Phase,135-10--b-5,,135-10-b-5
135-11,11.29377,124.56171,F7,3 Phase,135-11,,
135-12,11.29454,124.56219,F7,3 Phase,135-12,,
135-13,11.29449,124.56212,F7,3 Phase,135-13,,135-12
135-14,11.29642,124.56135,F7,3 Phase,135-14,,
135-15,11.29671,124.56129,F7,3 Phase,135-15,,135-14
135-16,11.29714,124.56076,F7,3 Phase,135-16,,135-15
135-17,11.29778,124.56022,F7,3 Phase,135-17,135-16,135-16
135-18,11.29846,124.55974,F7,3 Phase,135-18,,135-17
135-19,11.29917,124.55915,F7,3 Phase,135-19,,135-18
135-20,11.29964,124.55877,F7,3 Phase,135-20,,135-19
135-20-a,11.3,124.55832,F7,3 Phase,135-20--a,,135-20
135-20-b,11.30001,124.5583,F7,3 Phase,135-20--b,,135-20-a
135-20-c,11.29966,124.5578,F7,3 Phase,135-20--c,,135-20-b
135-20-d,11.29941,124.55751,F7,3 Phase,135-20--d,,135-20-c
135-21,11.30017,124.55824,F7,3 Phase,135-21,,
135-22,11.30017,124.55823,F7,3 Phase,135-22,,
137,11.28866,124.56571,F7,3 Phase,137,,137
138,11.28817,124.56579,F7,3 Phase,138,,137
139,11.28658,124.56562,F7,3 Phase,139,,
141,11.28642,124.56478,F7,3 Phase,141,,141
141-1,11.28637,124.56479,F7,3 Phase,141-1,,141
142,11.28606,124.56467,F7,3 Phase,142,,141-1
143,11.28566,124.56449,F7,3 Phase,143,,142
144,11.28469,124.5644,F7,3 Phase,144,,143
145,11.28395,124.56443,F7,3 Phase,145,,144
148,11.28326,124.56403,F7,3 Phase,148,,147
149,11.28326,124.56403,F7,3 Phase,149,,148
