Bus_ID,Bus_Type,Feeder,Circuit,Pole
135-10--b-3,Primary,F7,Single Phase,135-10-b-3
135-10--b-4,Primary,F7,Single Phase,135-10-b-4
135-10--b-5,Primary,F7,Single Phase,135-10-b-5
135-10-a,Secondary,F7,Single Phase,135-10-a
135-10-b,Secondary,F7,Single Phase,135-10-b
135-10-b-1,Secondary,F7,Single Phase,135-10-b-1
135-10-b-2,Secondary,F7,Single Phase,135-10-b-2
135-10-b-3,Secondary,F7,Single Phase,135-10-b-3
135-10-b-4,Secondary,F7,Single Phase,135-10-b-4
135-10-b-5,Secondary,F7,Single Phase,135-10-b-5
135-11,Primary,F7,3 Phase,135-11
135-12,Primary,F7,3 Phase,135-12
135-13,Primary,F7,3 Phase,135-13
135-14,Primary,F7,3 Phase,135-14
135-15,Primary,F7,3 Phase,135-15
135-16,Primary,F7,3 Phase,135-16
135-17,Primary,F7,3 Phase,135-17
135-18,Primary,F7,3 Phase,135-18
135-19,Primary,F7,3 Phase,135-19
135-2,Primary,F7,3 Phase,135-2
135-20,Primary,F7,3 Phase,135-20
135-20--a,Primary,F7,3 Phase,135-20-a
135-20--b,Primary,F7,3 Phase,135-20-b
135-20--c,Primary,F7,3 Phase,135-20-c
135-20--d,Primary,F7,3 Phase,135-20-d
135-20-a,Secondary,F7,3 Phase,135-20-a
135-20-b,Secondary,F7,3 Phase,135-20-b
135-20-c,Secondary,F7,3 Phase,135-20-c
135-20-d,Secondary,F7,3 Phase,135-20-d
135-21,Primary,F7,3 Phase,135-21
135-22,Primary,F7,3 Phase,135-22
135-3,Primary,F7,3 Phase,135-3
135-4,Primary,F7,3 Phase,135-4
135-5,Primary,F7,3 Phase,135-5
135-6,Primary,F7,3 Phase,135-6
135-7,Primary,F7,3 Phase,135-7
135-8,Primary,F7,3 Phase,135-8
135-9,Primary,F7,3 Phase,1359
135_10-b,Transformer,F7,Single Phase,135-10-b
136,Primary,F7,3 Phase,136
137,Primary,F7,3 Phase,137
138,Primary,F7,3 Phase,138
139,Primary,F7,3 Phase,139
14,Secondary,F6,Single Phase,64-n-b-b
140,Primary,F7,3 Phase,140
141,Primary,F7,3 Phase,141
141-1,Primary,F7,3 Phase,141-1
142,Primary,F7,3 Phase,142
143,Primary,F7,3 Phase,143
144,Primary,F7,3 Phase,144
145,Primary,F7,3 Phase,145
146,Primary,F1,3 Phase,146
146-A,Primary,F1,3 Phase,146-A
146-B,Primary,F1,3 Phase,146-B
146-C,Primary,F1,3 Phase,146-C
146-a,Primary,F1,3 Phase,146-a
146-b,Primary,F1,3 Phase,146-b
146-c,Primary,F1,3 Phase,146-c
147,Primary,F1,3 Phase,147
147-1,Primary,F1,Single Phase,147-1
147-1-A,Primary,F1,Single Phase,147-1-A
147-1-A-a,Primary,F1,Single Phase,147-1-A-a
147-1-B,Primary,F1,Single Phase,147-1-B
147-2,Primary,F1,Single Phase,147-2
147-3,Primary,F1,Single Phase,147-3
147-3-A,Primary,F1,Single Phase,147-3-A
147-4,Primary,F1,Single Phase,147-4
147-4-1,Primary,F1,Single Phase,147-4-1
147-4-2,Primary,F1,Single Phase,147-4-2
147-4-3,Primary,F1,Single Phase,147-4-3
147-4-A,Primary,F1,Single Phase,147-4-A
147-4-B,Primary,F1,Single Phase,147-4-B
147-4-a,Primary,F1,Single Phase,147-4-a
148,Primary,F7,3 Phase,148
149,Primary,F7,3 Phase,149
15,Secondary,F6,Single Phase,64-n-b-c
16,Secondary,F6,Single Phase,64-n-b-e
17,Secondary,F6,Single Phase,64-n-b-f
18,Secondary,F6,Single Phase,64-n-b-g
19,Secondary,F6,Single Phase,64-n-b-h
2,Secondary,F6,3 Phase,76
20,Secondary,F6,Single Phase,64-n-b-i
21,Secondary,F6,Single Phase,64-n-b-j
22,Secondary,F6,Single Phase,64-n-b-k
23,Secondary,F6,Single Phase,64-n-b-l
3,Secondary,F6,3 Phase,76
4,Secondary,F6,3 Phase,74
4-A,Secondary,F6,3 Phase,64-A
4-A-B,Secondary,F6,3 Phase,55-A-B
4-A-B-A,Secondary,F6,3 Phase,55-A-B-A
4-A-B-B,Secondary,F6,3 Phase,55-A-B-B
4-A-C,Secondary,F6,3 Phase,55-A-C
4-A-D,Secondary,F6,3 Phase,55-A-D
4-A-E,Secondary,F6,3 Phase,55-A-F
4-A-F,Secondary,F6,3 Phase,55-A-G
4-B,Secondary,F6,3 Phase,64-B
4-C,Secondary,F6,3 Phase,64-C
4-D,Secondary,F6,3 Phase,64-D
4-E,Secondary,F6,3 Phase,64-E
4-a,Secondary,F6,3 Phase,74-a
45,Primary,F6,3 Phase,45
46,Primary,F6,3 Phase,46
46-a-b,Primary,F6,Single Phase,46-a-b
46-a-b-A,Primary,F6,Single Phase,46-a-b-A
46-a-b-B,Primary,F6,Single Phase,46-a-b-B
46-a-b-B-a,Primary,F6,Single Phase,46-a-b-B-a
46-a-b-B-a-A,Primary,F6,Single Phase,46-a-b-B-a-A
46-a-c,Primary,F6,Single Phase,46-a-c
47,Primary,F6,3 Phase,47
47-a,Primary,F6,Single Phase,47-a
47-a-d,Primary,F6,Single Phase,47-a-d
47-a-e,Primary,F6,Single Phase,47-a-e
47-a-e-A,Primary,F6,Single Phase,47-a-e-A
47-a-e-B,Primary,F6,Single Phase,47-a-e-B
47-a-e-C,Primary,F6,Single Phase,47-a-e-C
47-a-e-D,Primary,F6,Single Phase,47-a-e-D
47-a-e-E,Primary,F6,Single Phase,47-a-e-E
47-a-e-F,Primary,F6,Single Phase,47-a-e-F
47-a-e-G,Primary,F6,Single Phase,47-a-e-G
47-a-e-H,Primary,F6,Single Phase,47-a-e-H
47-a-e-I,Primary,F6,Single Phase,47-a-e-I
47-a-e-J,Primary,F6,Single Phase,47-a-e-J
47-a-e-K,Primary,F6,Single Phase,47-a-e-K
47-a-e-L,Primary,F6,Single Phase,47-a-e-L
47-a-e-L-A,Primary,F6,Single Phase,47-a-e-L-A
47-a-e-M,Primary,F6,Single Phase,47-a-e-M
47-a-e-N,Primary,F6,Single Phase,47-a-e-N
47-a-e-O,Primary,F6,Single Phase,47-a-e-O
47-a-e-P,Primary,F6,Single Phase,47-a-e-P
47-a-e-Q,Primary,F6,Single Phase,47-a-e-Q
47-a-e-R,Primary,F6,Single Phase,47-a-e-R
47-a-e-S,Primary,F6,Single Phase,47-a-e-S
47-a-e-S-A,Primary,F6,Single Phase,47-a-e-S-A
47-a-e-S-B,Primary,F6,Single Phase,47-a-e-S-B
47-a-e-S-C,Primary,F6,Single Phase,47-a-e-S-C
47-a-e-S-D,Primary,F6,Single Phase,47-a-e-S-D
47-a-e-S-E,Primary,F6,Single Phase,47-a-e-S-E
47-a-e6,Primary,F6,Single Phase,47-a-e
47-a-f,Primary,F6,Single Phase,47-a-f
47-a-f-a,Primary,F6,Single Phase,47-a-f-a
47-a-f-b,Primary,F6,Single Phase,47-a-f-b
47-a-f-b-A,Primary,F6,Single Phase,47-a-f-b-A
47-a-g,Primary,F6,Single Phase,47-a-g
47-a-h,Primary,F6,Single Phase,47-a-hh
48,Primary,F6,3 Phase,48
48-a,Primary,F6,3 Phase,48-a
49,Primary,F6,3 Phase,49
5,Secondary,F6,3 Phase,73
50,Primary,F6,3 Phase,50
50-a,Primary,F6,3 Phase,50-a
52,Primary,F6,3 Phase,51
53,Primary,F6,3 Phase,53
54,Transformer,F6,3 Phase,55
55,Primary,F6,3 Phase,55
56,Primary,F6,3 Phase,56
57,Primary,F6,3 Phase,57
58,Primary,F6,3 Phase,58
59,Primary,F6,3 Phase,59
6,Secondary,F6,3 Phase,72
6-A,Secondary,F6,3 Phase,72-A
6-B,Secondary,F6,3 Phase,72-B
6-C,Secondary,F6,3 Phase,72-C
6-a,Secondary,F6,3 Phase,72-a
6-b,Secondary,F6,3 Phase,72-b
60,Primary,F6,3 Phase,60
61,Primary,F6,3 Phase,61
62,Primary,F6,3 Phase,62
63,Transformer,F6,3 Phase,64
63-b,Transformer,F6,Single Phase,64-b
63-n-b,Transformer,F6,Single Phase,64-n-b
64,Primary,F6,3 Phase,64
64-a,Primary,F6,Single Phase,64-a
64-b,Primary,F6,Single Phase,64-b
64-c,Primary,F6,Single Phase,64-c
64-d,Primary,F6,Single Phase,64-d
64-e,Primary,F6,Single Phase,64-e
64-f,Primary,F6,Single Phase,64-f
64-g,Primary,F6,Single Phase,64-g
64-h,Primary,F6,Single Phase,64-
64-i,Primary,F6,Single Phase,64-i
64-j,Primary,F6,Single Phase,64-j
64-k,Primary,F6,Single Phase,64-k
64-l,Primary,F6,Single Phase,64-l
64-m,Primary,F6,Single Phase,64-m
64-n,Primary,F6,Single Phase,64-n
64-n-a,Primary,F6,Single Phase,64-n-a
64-n-b,Primary,F6,Single Phase,64-n-b
64-n-b-a,Primary,F6,Single Phase,64-n-b-a
64-n-b-b,Primary,F6,Single Phase,64-n-b-b
64-n-b-c,Primary,F6,Single Phase,64-n-b-c
64-n-b-e,Primary,F6,Single Phase,64-n-b-e
64-n-b-f,Primary,F6,Single Phase,64-n-b-f
64-n-b-g,Primary,F6,Single Phase,64-n-b-g
64-n-b-h,Primary,F6,Single Phase,64-n-b-h
64-n-b-i,Primary,F6,Single Phase,64-n-b-i
64-n-b-j,Primary,F6,Single Phase,64-n-b-j
64-n-b-k,Primary,F6,Single Phase,64-n-b-k
64-n-b-l,Primary,F6,Single Phase,64-n-b-l
65,Primary,F6,3 Phase,65
66,Primary,F6,3 Phase,66
67,Primary,F6,3 Phase,67
68,Primary,F6,3 Phase,68
69,Primary,F6,3 Phase,69
7,Secondary,F6,3 Phase,71
70,Primary,F6,3 Phase,70
71,Primary,F6,3 Phase,71
72,Primary,F6,3 Phase,72
73,Primary,F6,3 Phase,73
73-A,Transformer,F6,3 Phase,73
74,Primary,F6,3 Phase,74
74-a,Primary,F6,3 Phase,74-a
75,Primary,F6,3 Phase,76
76,Primary,F6,3 Phase,76
77,Primary,F6,3 Phase,77
77-A,Primary,F6,3 Phase,77-A
77-A-,Primary,F6,3 Phase,77-A-c
77-A-B,Primary,F6,3 Phase,77-A-B
77-A-b,Primary,F6,3 Phase,77-A-b
77-A-c,Primary,F6,3 Phase,77-A-c
77-A-c-a,Primary,F6,3 Phase,77-A-c-a
77-A-c-b,Primary,F6,3 Phase,77-A-c-b
78,Primary,F6,3 Phase,78
79,Primary,F6,3 Phase,79
79-3,Secondary,F6,3 Phase,79
79-3a,Secondary,F6,,79-a
8,Secondary,F6,3 Phase,70
8-a,Secondary,F6,3 Phase,70-a
80,Primary,F6,3 Phase,80
80-2,Secondary,F6,3 Phase,80
81,Primary,F6,3 Phase,81
81-a,Primary,F6,3 Phase,81
82,Primary,F7,3 Phase,82
83,Primary,F7,3 Phase,83
84,Primary,F7,3 Phase,84
85,Primary,F7,3 Phase,85
86,Primary,F7,3 Phase,86
87,Primary,F7,3 Phase,87
88,Primary,F7,3 Phase,88
89,Primary,F7,3 Phase,89
9,Secondary,F6,Single Phase,64-k
90,Primary,F7,3 Phase,90
91,Primary,F7,3 Phase,91
92,Primary,F7,3 Phase,92
93,Primary,F7,3 Phase,93
94,Primary,F7,3 Phase,94
95,Primary,F7,3 Phase,95
96,Primary,F7,3 Phase,96
97,Primary,F7,3 Phase,97
98,Primary,F7,3 Phase,98
99,Primary,F7,3 Phase,99
99-10A,Primary,F6,Single Phase,99-10B
99-10A-a,Primary,F6,Single Phase,99-10B-a
99-10B,Secondary,F6,Single Phase,99-10B
99-10B-a,Secondary,F6,Single Phase,99-10B-a
99-11,Primary,F6,Single Phase,99-11
99-12,Primary,F6,Single Phase,99-12
99-12-A,Primary,F6,Single Phase,99-12-A
99-13,Primary,F6,Single Phase,99-13
99-13a,Primary,F6,Single Phase,99-13a
99-14a,Primary,F6,Single Phase,99-14a
99-15a,Primary,F6,Single Phase,99-15a
99-17,Primary,F6,Single Phase,99-17
99-18,Primary,F6,Single Phase,99-18
99-18-A,Primary,F6,Single Phase,99-18-A
99-18-a,Secondary,F6,Single Phase,99-18-a
99-18-a3,Primary,F6,Single Phase,99-18-a
99-2,Primary,F1,V Phase,99-2
99-2-a,Primary,F1,V Phase,99-2-a
99-3,Primary,F1,V Phase,99-3
99-4,Primary,F6,V Phase,99-4
99-4-A,Primary,F6,V Phase,99-4-A
99-4-a,Primary,F6,V Phase,99-4-a
99-5,Primary,F6,V Phase,99-5
99-6,Primary,F6,V Phase,99-6
99-6-A,Primary,F6,V Phase,99-6-A
99-6-B,Primary,F6,V Phase,99-6-B
99-6-B-a,Primary,F6,V Phase,99-6-B-a
99-6-a,Primary,F6,V Phase,99-6-a
99-7,Primary,F6,V Phase,99-7
99-8,Primary,F6,V Phase,99-8
99-8-a,Transformer,F6,Single Phase,99-8-a
99-8-b,Primary,F6,Single Phase,99-8-b
99-8-c,Primary,F6,Single Phase,99-8-c
99-9A,Primary,F6,3 Phase,99-9A
99-A,Transformer,F6,3 Phase,99-9A
99-B,Primary,F7,Single Phase,99-B
99-C,Primary,F7,Single Phase,99-C
99-D,Primary,F7,Single Phase,99-D
99-E,Primary,F7,Single Phase,99-E
99-F,Primary,F7,Single Phase,99-F
99-G,Primary,F7,Single Phase,99-G
99-H,Primary,F7,Single Phase,99-H
99-I,Primary,F7,Single Phase,99-I
99-a,Primary,F6,Single Phase,99-8-a
mmk yes iiobv good gonna bb BB na,Transformer,F7,3 Phase,135-4
