from_bus,to_bus,from_pole,to_pole,connection_type,feeder,circuit,geometry_type
133-4,133-4,133-4-a,133-4-a,Transformer_to_Secondary,F1,Single Phase,same_pole
133-4-a,133-4-a,133-4-b,133-4-b,Transformer_to_Secondary,F1,Single Phase,same_pole
133-4-b,133-4-b,133-5,133-5,Transformer_to_Secondary,F1,3 Phase,same_pole
133-8,133-8,133-9,133-9,Transformer_to_Secondary,F1,3 Phase,same_pole
133-4-a,133-4-a,133-4-b-2,133-4-b-2,Transformer_to_Secondary,F1,3 Phase,same_pole
133-4-b-2,133-4-b-2,133-4-b-1,133-4-b-1,Transformer_to_Secondary,F1,3 Phase,same_pole
133-4-b-3,133-4-b-1,133-4-b-3,133-4-b-3,Transformer_to_Secondary,F1,3 Phase,same_pole
133-4-b-3,133-4-b-3,133-4-b-3-a,133-4-b-3-a,Transformer_to_Secondary,F1,3 Phase,same_pole
1133-12-b,133-12-b,133-12-b-1,133-12-b-1,Transformer_to_Secondary,F1,Single Phase,same_pole
133-12-H,133-12-H,133-12-I,133-12-I,Transformer_to_Secondary,F1,Single Phase,same_pole
133-12-H,133-12-I,133-12-J,133-12-J,Transformer_to_Secondary,F1,Single Phase,same_pole
99-3,99-3,99-4,99-4,Transformer_to_Secondary,F6,V Phase,same_pole
99-10B,99-10B,99-10B-a,99-10B-a,Transformer_to_Secondary,F6,Single Phase,same_pole
99-8-a,99-8,99-8-b,99-8-b,Transformer_to_Secondary,F6,Single Phase,same_pole
99-8-b,99-8-b,99-8-c,99-8-c,Transformer_to_Secondary,F6,Single Phase,same_pole
99-12,99-12,99-13,99-13,Transformer_to_Secondary,F6,Single Phase,same_pole
99-12,99-12,99-13a,99-13a,Transformer_to_Secondary,F6,Single Phase,same_pole
99-17,99-17,99-18,99-18,Transformer_to_Secondary,F6,Single Phase,same_pole
100,100,101,101,Transformer_to_Secondary,F6,3 Phase,same_pole
86,86,87,87,Transformer_to_Secondary,F7,3 Phase,same_pole
123-3,123-3,124,124,Transformer_to_Secondary,F7,3 Phase,same_pole
126,126,127,127,Transformer_to_Secondary,F7,3 Phase,same_pole
128-1,128-1,129,129,Transformer_to_Secondary,F7,3 Phase,same_pole
mmk yes iiobv good gonna bb BB na,135-4,135-4,135-4,Transformer_to_Secondary,F7,3 Phase,same_pole
135-10,135-10,135-10-a,135-10-a,Transformer_to_Secondary,F7,Single Phase,same_pole
135_10-b,135-10-b,135-10-b-1,135-10-b-1,Transformer_to_Secondary,F7,Single Phase,same_pole
135-16,135-16,135-17,135-17,Transformer_to_Secondary,F7,3 Phase,same_pole
45,46,45,46,Primary_to_Primary,F6,3 Phase,sequential
46,47,46,47,Primary_to_Primary,F6,3 Phase,sequential
47,48,47,48,Primary_to_Primary,F6,3 Phase,sequential
48,48-a,48,48-a,Primary_to_Primary,F6,3 Phase,sequential
48-a,49,48-a,49,Primary_to_Primary,F6,3 Phase,sequential
49,50,49,50,Primary_to_Primary,F6,3 Phase,sequential
50,50-a,50,50-a,Primary_to_Primary,F6,3 Phase,sequential
50-a,52,50-a,51,Primary_to_Primary,F6,3 Phase,sequential
52,53,51,53,Primary_to_Primary,F6,3 Phase,sequential
53,54,53,54,Primary_to_Primary,F6,3 Phase,sequential
54,55,54,55,Primary_to_Primary,F6,3 Phase,sequential
55,55-A-B,55,55-A-B,Primary_to_Primary,F6,3 Phase,sequential
55-A-B,55-A-B-A,55-A-B,55-A-B-A,Primary_to_Primary,F6,3 Phase,sequential
55-A-B-A,55-A-B-B,55-A-B-A,55-A-B-B,Primary_to_Primary,F6,3 Phase,sequential
55-A-B-B,55-A-C,55-A-B-B,55-A-C,Primary_to_Primary,F6,3 Phase,sequential
55-A-C,55-A-D,55-A-C,55-A-D,Primary_to_Primary,F6,3 Phase,sequential
55-A-D,55-A-F,55-A-D,55-A-F,Primary_to_Primary,F6,3 Phase,sequential
55-A-F,55-A-G,55-A-F,55-A-G,Primary_to_Primary,F6,3 Phase,sequential
55-A-G,56,55-A-G,56,Primary_to_Primary,F6,3 Phase,sequential
56,57,56,57,Primary_to_Primary,F6,3 Phase,sequential
57,58,57,58,Primary_to_Primary,F6,3 Phase,sequential
58,59,58,59,Primary_to_Primary,F6,3 Phase,sequential
59,60,59,60,Primary_to_Primary,F6,3 Phase,sequential
60,61,60,61,Primary_to_Primary,F6,3 Phase,sequential
61,62,61,62,Primary_to_Primary,F6,3 Phase,sequential
62,63,62,63,Primary_to_Primary,F6,3 Phase,sequential
63,64,63,64,Primary_to_Primary,F6,3 Phase,sequential
64,64-A,64,64-A,Primary_to_Primary,F6,3 Phase,sequential
64-A,64-B,64-A,64-B,Primary_to_Primary,F6,3 Phase,sequential
64-B,64-C,64-B,64-C,Primary_to_Primary,F6,3 Phase,sequential
64-C,64-D,64-C,64-D,Primary_to_Primary,F6,3 Phase,sequential
64-D,64-E,64-D,64-E,Primary_to_Primary,F6,3 Phase,sequential
64-E,65,64-E,65,Primary_to_Primary,F6,3 Phase,sequential
65,66,65,66,Primary_to_Primary,F6,3 Phase,sequential
66,67,66,67,Primary_to_Primary,F6,3 Phase,sequential
67,68,67,68,Primary_to_Primary,F6,3 Phase,sequential
68,69,68,69,Primary_to_Primary,F6,3 Phase,sequential
69,70,69,70,Primary_to_Primary,F6,3 Phase,sequential
70,70-a,70,70-a,Primary_to_Primary,F6,3 Phase,sequential
70-a,71,70-a,71,Primary_to_Primary,F6,3 Phase,sequential
71,72,71,72,Primary_to_Primary,F6,3 Phase,sequential
72,72-A,72,72-A,Primary_to_Primary,F6,3 Phase,sequential
72-A,72-B,72-A,72-B,Primary_to_Primary,F6,3 Phase,sequential
72-B,72-C,72-B,72-C,Primary_to_Primary,F6,3 Phase,sequential
72-C,72-a,72-C,72-a,Primary_to_Primary,F6,3 Phase,sequential
72-a,72-b,72-a,72-b,Primary_to_Primary,F6,3 Phase,sequential
72-b,73,72-b,73,Primary_to_Primary,F6,3 Phase,sequential
73,74,73,74,Primary_to_Primary,F6,3 Phase,sequential
74,74-a,74,74-a,Primary_to_Primary,F6,3 Phase,sequential
74-a,76,74-a,76,Primary_to_Primary,F6,3 Phase,sequential
76,77,76,77,Primary_to_Primary,F6,3 Phase,sequential
77,77-A-c,77,77-A-c,Primary_to_Primary,F6,3 Phase,sequential
77-A-c,77-A-c-a,77-A-c,77-A-c-a,Primary_to_Primary,F6,3 Phase,sequential
77-A-c-a,77-A-c-b,77-A-c-a,77-A-c-b,Primary_to_Primary,F6,3 Phase,sequential
77-A-c-b,78,77-A-c-b,78,Primary_to_Primary,F6,3 Phase,sequential
78,79,78,79,Primary_to_Primary,F6,3 Phase,sequential
79,80,79,80,Primary_to_Primary,F6,3 Phase,sequential
80,81,80,81,Primary_to_Primary,F6,3 Phase,sequential
81,100,81,100,Primary_to_Primary,F6,3 Phase,sequential
100,101,100,101,Primary_to_Primary,F6,3 Phase,sequential
101,102,101,102,Primary_to_Primary,F6,3 Phase,sequential
102,99-9A,102,99-9A,Primary_to_Primary,F6,3 Phase,sequential
99-9A,100-1,99-9A,100-1,Primary_to_Primary,F6,3 Phase,sequential
100-1,100-2,100-1,100-2,Primary_to_Primary,F6,3 Phase,sequential
100-2,100-3,100-2,100-3,Primary_to_Primary,F6,3 Phase,sequential
46-a-b,46-a-b-A,46-a-b,46-a-b-A,Primary_to_Primary,F6,Single Phase,sequential
46-a-b-A,46-a-b-B,46-a-b-A,46-a-b-B,Primary_to_Primary,F6,Single Phase,sequential
46-a-b-B,46-a-b-B-a,46-a-b-B,46-a-b-B-a,Primary_to_Primary,F6,Single Phase,sequential
46-a-b-B-a,46-a-b-B-a-A,46-a-b-B-a,46-a-b-B-a-A,Primary_to_Primary,F6,Single Phase,sequential
46-a-b-B-a-A,46-a-c,46-a-b-B-a-A,46-a-c,Primary_to_Primary,F6,Single Phase,sequential
46-a-c,47-a,46-a-c,47-a,Primary_to_Primary,F6,Single Phase,sequential
47-a,47-a-d,47-a,47-a-d,Primary_to_Primary,F6,Single Phase,sequential
47-a-d,47-a-e,47-a-d,47-a-e,Primary_to_Primary,F6,Single Phase,sequential
47-a-e,47-a-e-A,47-a-e,47-a-e-A,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-A,47-a-e-B,47-a-e-A,47-a-e-B,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-B,47-a-e-C,47-a-e-B,47-a-e-C,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-C,47-a-e-D,47-a-e-C,47-a-e-D,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-D,47-a-e-E,47-a-e-D,47-a-e-E,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-E,47-a-e-F,47-a-e-E,47-a-e-F,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-F,47-a-e-G,47-a-e-F,47-a-e-G,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-G,47-a-e-H,47-a-e-G,47-a-e-H,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-H,47-a-e-I,47-a-e-H,47-a-e-I,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-I,47-a-e-J,47-a-e-I,47-a-e-J,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-J,47-a-e-K,47-a-e-J,47-a-e-K,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-K,47-a-e-L,47-a-e-K,47-a-e-L,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-L,47-a-e-L-A,47-a-e-L,47-a-e-L-A,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-L-A,47-a-e-M,47-a-e-L-A,47-a-e-M,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-M,47-a-e-N,47-a-e-M,47-a-e-N,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-N,47-a-e-O,47-a-e-N,47-a-e-O,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-O,47-a-e-P,47-a-e-O,47-a-e-P,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-P,47-a-e-Q,47-a-e-P,47-a-e-Q,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-Q,47-a-e-R,47-a-e-Q,47-a-e-R,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-R,47-a-e-S,47-a-e-R,47-a-e-S,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S,47-a-e-S-A,47-a-e-S,47-a-e-S-A,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S-A,47-a-e-S-B,47-a-e-S-A,47-a-e-S-B,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S-B,47-a-e-S-C,47-a-e-S-B,47-a-e-S-C,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S-C,47-a-e-S-D,47-a-e-S-C,47-a-e-S-D,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S-D,47-a-e-S-E,47-a-e-S-D,47-a-e-S-E,Primary_to_Primary,F6,Single Phase,sequential
47-a-e-S-E,47-a-f-a,47-a-e-S-E,47-a-f-a,Primary_to_Primary,F6,Single Phase,sequential
47-a-f-a,47-a-f-b,47-a-f-a,47-a-f-b,Primary_to_Primary,F6,Single Phase,sequential
47-a-f-b,47-a-f-b-A,47-a-f-b,47-a-f-b-A,Primary_to_Primary,F6,Single Phase,sequential
47-a-f-b-A,47-a-g,47-a-f-b-A,47-a-g,Primary_to_Primary,F6,Single Phase,sequential
47-a-g,47-a-h,47-a-g,47-a-hh,Primary_to_Primary,F6,Single Phase,sequential
47-a-h,55-a,47-a-hh,55-a,Primary_to_Primary,F6,Single Phase,sequential
55-a,55-A,55-a,55-A,Primary_to_Primary,F6,Single Phase,sequential
55-A,62-a,55-A,62-a,Primary_to_Primary,F6,Single Phase,sequential
62-a,64-a,62-a,64-a,Primary_to_Primary,F6,Single Phase,sequential
64-a,64-b,64-a,64-b,Primary_to_Primary,F6,Single Phase,sequential
64-b,64-c,64-b,64-c,Primary_to_Primary,F6,Single Phase,sequential
64-c,64-d,64-c,64-d,Primary_to_Primary,F6,Single Phase,sequential
64-d,64-e,64-d,64-e,Primary_to_Primary,F6,Single Phase,sequential
64-e,64-f,64-e,64-f,Primary_to_Primary,F6,Single Phase,sequential
64-f,64-g,64-f,64-g,Primary_to_Primary,F6,Single Phase,sequential
64-g,64-h,64-g,64-,Primary_to_Primary,F6,Single Phase,sequential
64-h,64-i,64-,64-i,Primary_to_Primary,F6,Single Phase,sequential
64-i,64-j,64-i,64-j,Primary_to_Primary,F6,Single Phase,sequential
64-j,64-k,64-j,64-k,Primary_to_Primary,F6,Single Phase,sequential
64-k,64-l,64-k,64-l,Primary_to_Primary,F6,Single Phase,sequential
64-l,64-m,64-l,64-m,Primary_to_Primary,F6,Single Phase,sequential
64-m,64-n,64-m,64-n,Primary_to_Primary,F6,Single Phase,sequential
64-n,64-n-a,64-n,64-n-a,Primary_to_Primary,F6,Single Phase,sequential
64-n-a,64-n-b,64-n-a,64-n-b,Primary_to_Primary,F6,Single Phase,sequential
64-n-b,64-n-b-a,64-n-b,64-n-b-a,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-a,64-n-b-b,64-n-b-a,64-n-b-b,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-b,64-n-b-c,64-n-b-b,64-n-b-c,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-c,64-n-b-e,64-n-b-c,64-n-b-e,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-e,64-n-b-f,64-n-b-e,64-n-b-f,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-f,64-n-b-g,64-n-b-f,64-n-b-g,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-g,64-n-b-h,64-n-b-g,64-n-b-h,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-h,64-n-b-i,64-n-b-h,64-n-b-i,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-i,64-n-b-j,64-n-b-i,64-n-b-j,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-j,64-n-b-k,64-n-b-j,64-n-b-k,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-k,64-n-b-l,64-n-b-k,64-n-b-l,Primary_to_Primary,F6,Single Phase,sequential
64-n-b-l,99-a,64-n-b-l,99-8-a,Primary_to_Primary,F6,Single Phase,sequential
99-a,99-8-b,99-8-a,99-8-b,Primary_to_Primary,F6,Single Phase,sequential
99-8-b,99-8-c,99-8-b,99-8-c,Primary_to_Primary,F6,Single Phase,sequential
99-8-c,99-10A,99-8-c,99-10B,Primary_to_Primary,F6,Single Phase,sequential
99-10A,99-10A-a,99-10B,99-10B-a,Primary_to_Primary,F6,Single Phase,sequential
99-10A-a,99-11,99-10B-a,99-11,Primary_to_Primary,F6,Single Phase,sequential
99-11,99-12,99-11,99-12,Primary_to_Primary,F6,Single Phase,sequential
99-12,99-12-A,99-12,99-12-A,Primary_to_Primary,F6,Single Phase,sequential
99-12-A,99-13,99-12-A,99-13,Primary_to_Primary,F6,Single Phase,sequential
99-13,99-13a,99-13,99-13a,Primary_to_Primary,F6,Single Phase,sequential
99-13a,99-14a,99-13a,99-14a,Primary_to_Primary,F6,Single Phase,sequential
99-14a,99-15a,99-14a,99-15a,Primary_to_Primary,F6,Single Phase,sequential
99-15a,99-17,99-15a,99-17,Primary_to_Primary,F6,Single Phase,sequential
99-17,99-18,99-17,99-18,Primary_to_Primary,F6,Single Phase,sequential
99-18,99-18-A,99-18,99-18-A,Primary_to_Primary,F6,Single Phase,sequential
99-18-A,99-18-a3,99-18-A,99-18-a,Primary_to_Primary,F6,Single Phase,sequential
146-a,146-b,146-a,146-b,Primary_to_Primary,F1,3 Phase,sequential
146-b,146-c,146-b,146-c,Primary_to_Primary,F1,3 Phase,sequential
146-c,146-A,146-c,146-A,Primary_to_Primary,F1,3 Phase,sequential
146-A,146-B,146-A,146-B,Primary_to_Primary,F1,3 Phase,sequential
146-B,146-C,146-B,146-C,Primary_to_Primary,F1,3 Phase,sequential
146-C,146,146-C,146,Primary_to_Primary,F1,3 Phase,sequential
146,147,146,147,Primary_to_Primary,F1,3 Phase,sequential
147,131-4-A,147,131-4-A,Primary_to_Primary,F1,3 Phase,sequential
131-4-A,131-4-B,131-4-A,131-4-B,Primary_to_Primary,F1,3 Phase,sequential
131-4-B,131-4-B-A,131-4-B,131-4-B-A,Primary_to_Primary,F1,3 Phase,sequential
131-4-B-A,131-4-B-B,131-4-B-A,131-4-B-B,Primary_to_Primary,F1,3 Phase,sequential
131-4-B-B,131-4-B-C,131-4-B-B,131-4-B-C,Primary_to_Primary,F1,3 Phase,sequential
131-4-B-C,131-4-B-D,131-4-B-C,131-4-B-D,Primary_to_Primary,F1,3 Phase,sequential
131-4-B-D,133-1,131-4-B-D,133-1,Primary_to_Primary,F1,3 Phase,sequential
133-1,133-2,133-1,133-2,Primary_to_Primary,F1,3 Phase,sequential
133-2,133-3,133-2,133-3,Primary_to_Primary,F1,3 Phase,sequential
133-3,133-4,133-3,133-4,Primary_to_Primary,F1,3 Phase,sequential
133-4,133-5,133-4,133-5,Primary_to_Primary,F1,3 Phase,sequential
133-5,133-6,133-5,133-6,Primary_to_Primary,F1,3 Phase,sequential
133-6,133-6-a,133-6,133-6-a,Primary_to_Primary,F1,3 Phase,sequential
133-6-a,133-6-b,133-6-a,133-6-b,Primary_to_Primary,F1,3 Phase,sequential
133-6-b,133-7-A,133-6-b,133-7-A,Primary_to_Primary,F1,3 Phase,sequential
133-7-A,133-8,133-7-A,133-8,Primary_to_Primary,F1,3 Phase,sequential
133-8,133-9,133-8,133-9,Primary_to_Primary,F1,3 Phase,sequential
133-9,133-10,133-9,133-10,Primary_to_Primary,F1,3 Phase,sequential
133-10,133-4-b-1,133-10,133-4-b-1,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-1,133-4-b-2,133-4-b-1,133-4-b-2,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-2,133-4-b-3,133-4-b-2,133-4-b-3,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3,133-4-b-3-a,133-4-b-3,133-4-b-3-a,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3-a,133-4-b-3-b,133-4-b-3-a,133-4-b-3-b,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3-b,133-4-b-3-c,133-4-b-3-b,133-4-b-3-c,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3-c,133-4-b-3-A,133-4-b-3-c,133-4-b-3-A,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3-A,133-4-b-3-B,133-4-b-3-A,133-4-b-3-B,Primary_to_Primary,F1,3 Phase,sequential
133-4-b-3-B,133-4-b-3-C,133-4-b-3-B,133-4-b-3-C,Primary_to_Primary,F1,3 Phase,sequential
133-4-a,133-4-b,133-4-a,133-4-b,Primary_to_Primary,F1,Single Phase,sequential
133-4-b,147-1,133-4-b,147-1,Primary_to_Primary,F1,Single Phase,sequential
147-1,147-1-A,147-1,147-1-A,Primary_to_Primary,F1,Single Phase,sequential
147-1-A,147-1-A-a,147-1-A,147-1-A-a,Primary_to_Primary,F1,Single Phase,sequential
147-1-A-a,147-1-B,147-1-A-a,147-1-B,Primary_to_Primary,F1,Single Phase,sequential
147-1-B,147-2,147-1-B,147-2,Primary_to_Primary,F1,Single Phase,sequential
147-2,147-3,147-2,147-3,Primary_to_Primary,F1,Single Phase,sequential
147-3,147-3-A,147-3,147-3-A,Primary_to_Primary,F1,Single Phase,sequential
147-3-A,147-4,147-3-A,147-4,Primary_to_Primary,F1,Single Phase,sequential
147-4,147-4-A,147-4,147-4-A,Primary_to_Primary,F1,Single Phase,sequential
147-4-A,147-4-B,147-4-A,147-4-B,Primary_to_Primary,F1,Single Phase,sequential
147-4-B,147-4-a,147-4-B,147-4-a,Primary_to_Primary,F1,Single Phase,sequential
147-4-a,133-12-a,147-4-a,133-12-a,Primary_to_Primary,F1,Single Phase,sequential
133-12-a,133-12-b,133-12-a,133-12-b,Primary_to_Primary,F1,Single Phase,sequential
133-12-b,133-12-D,133-12-b,133-12-D,Primary_to_Primary,F1,Single Phase,sequential
133-12-D,133-12-E,133-12-D,133-12-E,Primary_to_Primary,F1,Single Phase,sequential
133-12-E,133-12-G,133-12-E,133-12-G,Primary_to_Primary,F1,Single Phase,sequential
133-12-G,133-12-H,133-12-G,133-12-H,Primary_to_Primary,F1,Single Phase,sequential
133-12-H,133-12-I,133-12-H,133-12-I,Primary_to_Primary,F1,Single Phase,sequential
133-12-I,133-12-J,133-12-I,133-12-J,Primary_to_Primary,F1,Single Phase,sequential
133-12-J,147-4-1,133-12-J,147-4-1,Primary_to_Primary,F1,Single Phase,sequential
147-4-1,147-4-2,147-4-1,147-4-2,Primary_to_Primary,F1,Single Phase,sequential
147-4-2,147-4-3,147-4-2,147-4-3,Primary_to_Primary,F1,Single Phase,sequential
147-4-3,133-12-b-1,147-4-3,133-12-b-1,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-1,133-12-D-1,133-12-b-1,133-12-D-1,Primary_to_Primary,F1,Single Phase,sequential
133-12-D-1,133-12-F1,133-12-D-1,133-12-F-1,Primary_to_Primary,F1,Single Phase,sequential
133-12-F1,133-12-b-2,133-12-F-1,133-12-b-2,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-2,133-12-b-2-a,133-12-b-2,133-12-b-2-a,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-2-a,133-12-F-2,133-12-b-2-a,133-12-F-2,Primary_to_Primary,F1,Single Phase,sequential
133-12-F-2,133-12-H-2,133-12-F-2,133-12-H-2,Primary_to_Primary,F1,Single Phase,sequential
133-12-H-2,133-12-b-3,133-12-H-2,133-12-b-3,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-3,133-12-F-3,133-12-b-3,133-12-F-3,Primary_to_Primary,F1,Single Phase,sequential
133-12-F-3,133-12-H-3,133-12-F-3,133-12-H-3,Primary_to_Primary,F1,Single Phase,sequential
133-12-H-3,133-12-b-4,133-12-H-3,133-12-b-4,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-4,133-12-H-4,133-12-b-4,133-12-H-4,Primary_to_Primary,F1,Single Phase,sequential
133-12-H-4,133-12-b-5-a,133-12-H-4,133-12-b-5-a,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-5-a,133-12-b-5-A,133-12-b-5-a,133-12-b-5-A,Primary_to_Primary,F1,Single Phase,sequential
133-12-b-5-A,133-12-H-5,133-12-b-5-A,133-12-H-5,Primary_to_Primary,F1,Single Phase,sequential
133-12-H-5,133-12-H-5-A,133-12-H-5,133-12-H-5-A,Primary_to_Primary,F1,Single Phase,sequential
133-12-H-5-A,133-12-b-6,133-12-H-5-A,133-12-b-6,Primary_to_Primary,F1,Single Phase,sequential
99-2,99-2-a,99-2,99-2-a,Primary_to_Primary,F1,V Phase,sequential
99-2-a,99-3,99-2-a,99-3,Primary_to_Primary,F1,V Phase,sequential
99-4,99-4-A,99-4,99-4-A,Primary_to_Primary,F6,V Phase,sequential
