Count,Bus ID,Bus Description,Nominal Voltage (kV),feeder,post_id
112,P0000000108-4,Primary Line-Overhead,13.2,F1,112
113,P0000000108-4A,Primary Line-Overhead,13.2,F1,113
114,P0000000108-4b,Primary Line-Overhead,13.2,F1,114
115,P0000000108-5,Primary Line-Overhead,13.2,F1,115
116,P0000000108-7,Primary Line-Overhead,13.2,F1,116
117,P0000000108-7A,Primary Line-Overhead,13.2,F1,117
118,P0000000108-8,Primary Line-Overhead,13.2,F1,118
119,P0000000108-10,Primary Line-Overhead,13.2,F1,119
120,P0000000108-11,Primary Line-Overhead,13.2,F1,120
121,P0000000108-12,Primary Line-Overhead,13.2,F1,121
122,P0000000108-12b,Primary Line-Overhead,13.2,F1,122
123,P0000000108-12f,Primary Line-Overhead,13.2,F1,123
124,P0000000108-12h,Primary Line-Overhead,13.2,F1,124
125,P0000000108-18,Primary Line-Overhead,13.2,F1,125
126,P0000000108-19,Primary Line-Overhead,13.2,F1,126
127,P0000000108-20,Primary Line-Overhead,13.2,F1,127
128,P0000000108-20C,Primary Line-Overhead,13.2,F1,128
129,P0000000108-20O,Primary Line-Overhead,13.2,F1,129
130,P0000000108-21,Primary Line-Overhead,13.2,F1,130
131,P0000000108-21b,Primary Line-Overhead,13.2,F1,131
132,P0000000108-24,Primary Line-Overhead,13.2,F1,132
133,P0000000108-24A,Primary Line-Overhead,13.2,F1,133
134,P0000000108-24-1,Primary Line-Overhead,13.2,F1,134
135,P0000000108-30,Primary Line-Overhead,13.2,F1,135
136,P0000000108-33,Primary Line-Overhead,13.2,F1,136
137,P0000000108-45,Primary Line-Overhead,13.2,F1,137
138,P0000000108-45H,Primary Line-Overhead,13.2,F1,138
139,P0000000108-45A,Primary Line-Overhead,13.2,F1,139
140,P0000000108-58,Primary Line-Overhead,13.2,F1,140
141,P0000000108-58M,Primary Line-Overhead,13.2,F1,141
142,P0000000108-58R,Primary Line-Overhead,13.2,F1,142
143,P0000000108-58R11,Primary Line-Overhead,13.2,F1,143
144,P0000000108-58AA,Primary Line-Overhead,13.2,F1,144
145,P0000000108-58AN,Primary Line-Overhead,13.2,F1,145
146,P0000000108-58AN9,Primary Line-Overhead,13.2,F1,146
147,P0000000108-58AO,Primary Line-Overhead,13.2,F1,147
148,P0000000108-58AO4,Primary Line-Overhead,13.2,F1,148
149,P0000000108-58AV,Primary Line-Overhead,13.2,F1,149
150,P0000000108-59,Primary Line-Overhead,13.2,F1,150
151,P0000000108-59A,Primary Line-Overhead,13.2,F1,151
152,P0000000108-59f,Primary Line-Overhead,13.2,F1,152
153,P0000000108-59j,Primary Line-Overhead,13.2,F1,153
154,P0000000108-59p,Primary Line-Overhead,13.2,F1,154
155,P0000000108-60,Primary Line-Overhead,13.2,F1,155
156,P0000000108-63,Primary Line-Overhead,13.2,F1,156
157,P0000000110,Primary Line-Overhead,13.2,F1,157
158,P0000000111,Primary Line-Overhead,13.2,F1,158
159,P000000111A,Primary Line-Overhead,13.2,F1,159
160,P0000000112,Primary Line-Overhead,13.2,F1,160
161,P0000000113,Primary Line-Overhead,13.2,F1,161
162,P0000000115,Primary Line-Overhead,13.2,F1,162
163,P000000115A,Primary Line-Overhead,13.2,F1,163
164,P000000115B,Primary Line-Overhead,13.2,F1,164
165,P000000115C,Primary Line-Overhead,13.2,F1,165
166,P0000000115-4,Primary Line-Overhead,13.2,F1,166
167,P0000000116,Primary Line-Overhead,13.2,F1,167
168,P0000000117,Primary Line-Overhead,13.2,F1,168
169,P000000117B,Primary Line-Overhead,13.2,F1,169
170,P0000000119,Primary Line-Overhead,13.2,F1,170
171,P0000000119-3,Primary Line-Overhead,13.2,F1,171
172,P0000000121,Primary Line-Overhead,13.2,F1,172
173,P000000121A,Primary Line-Overhead,13.2,F1,173
174,P0000000122,Primary Line-Overhead,13.2,F1,174
175,P000000122A,Primary Line-Overhead,13.2,F1,175
176,P0000000122-3,Primary Line-Overhead,13.2,F1,176
177,P0000000122-3b,Primary Line-Overhead,13.2,F1,177
178,P0000000122-4,Primary Line-Overhead,13.2,F1,178
179,P0000000125,Primary Line-Overhead,13.2,F1,179
180,P000000125A,Primary Line-Overhead,13.2,F1,180
181,P0000000126,Primary Line-Overhead,13.2,F1,181
182,P0000000126-2,Primary Line-Overhead,13.2,F1,182
183,P0000000126-6,Primary Line-Overhead,13.2,F1,183
184,P0000000126-8,Primary Line-Overhead,13.2,F1,184
185,P0000000126-8A,Primary Line-Overhead,13.2,F1,185
186,P0000000126-8B,Primary Line-Overhead,13.2,F1,186
187,P0000000126-8B1,Primary Line-Overhead,13.2,F1,187
188,P0000000126-8a,Primary Line-Overhead,13.2,F1,188
189,P0000000126-8b,Primary Line-Overhead,13.2,F1,189
190,P0000000126-10,Primary Line-Overhead,13.2,F1,190
191,P0000000126-12,Primary Line-Overhead,13.2,F1,191
192,P0000000128,Primary Line-Overhead,13.2,F1,192
193,P0000000128-4,Primary Line-Overhead,13.2,F1,193
194,P0000000128-4A,Primary Line-Overhead,13.2,F1,194
195,P0000000129,Primary Line-Overhead,13.2,F1,195
196,P0000000130,Primary Line-Overhead,13.2,F1,196
197,P0000000130-16,Primary Line-Overhead,13.2,F1,197
198,P0000000130-20,Primary Line-Overhead,13.2,F1,198
199,P0000000130-25,Primary Line-Overhead,13.2,F1,199
200,P0000000130-31,Primary Line-Overhead,13.2,F1,200
201,P0000000130-31A,Primary Line-Overhead,13.2,F1,201
202,P0000000130-31-4,Primary Line-Overhead,13.2,F1,202
203,P0000000130-31-9,Primary Line-Overhead,13.2,F1,203
204,P0000000130-49,Primary Line-Overhead,13.2,F1,204
205,P0000000130-53,Primary Line-Overhead,13.2,F1,205
206,P0000000130-53-8,Primary Line-Overhead,13.2,F1,206
207,P0000000130-53-20,Primary Line-Overhead,13.2,F1,207
208,P0000000130-53-20F,Primary Line-Overhead,13.2,F1,208
209,P0000000130-53-24,Primary Line-Overhead,13.2,F1,209
210,P0000000130-53-38,Primary Line-Overhead,13.2,F1,210
211,P0000000130-53-44,Primary Line-Overhead,13.2,F1,211
212,P0000000130-56,Primary Line-Overhead,13.2,F1,212
213,P0000000130-56-4,Primary Line-Overhead,13.2,F1,213
214,P0000000130-56-12,Primary Line-Overhead,13.2,F1,214
215,P0000000130-62,Primary Line-Overhead,13.2,F1,215
216,P0000000130-63,Primary Line-Overhead,13.2,F1,216
217,P0000000130-70,Primary Line-Overhead,13.2,F1,217
218,P0000000130-88,Primary Line-Overhead,13.2,F1,218
219,P0000000130-88A,Primary Line-Overhead,13.2,F1,219
220,P0000000130-88A-18,Primary Line-Overhead,13.2,F1,220
221,P0000000130-98,Primary Line-Overhead,13.2,F1,221
222,P0000000130-98A,Primary Line-Overhead,13.2,F1,222
223,P0000000130-117,Primary Line-Overhead,13.2,F1,223
224,P0000000132,Primary Line-Overhead,13.2,F1,224
225,P0000000132-3,Primary Line-Overhead,13.2,F1,225
226,P0000000132-3B,Primary Line-Overhead,13.2,F1,226
227,P0000000132-3D,Primary Line-Overhead,13.2,F1,227
228,P0000000132-3D1,Primary Line-Overhead,13.2,F1,228
229,P0000000132-3E,Primary Line-Overhead,13.2,F1,229
230,P0000000132-3G,Primary Line-Overhead,13.2,F1,230
231,P0000000132-3H,Primary Line-Overhead,13.2,F1,231
232,P0000000132-3H1,Primary Line-Overhead,13.2,F1,232
233,P0000000132-3I,Primary Line-Overhead,13.2,F1,233
234,P0000000132-5,Primary Line-Overhead,13.2,F1,234
235,P0000000132-9,Primary Line-Overhead,13.2,F1,235
236,P0000000132-14,Primary Line-Overhead,13.2,F1,236
237,P0000000134,Primary Line-Overhead,13.2,F1,237
238,P0000000134-2,Primary Line-Overhead,13.2,F1,238
239,P0000000136,Primary Line-Overhead,13.2,F1,239
240,P0000000137,Primary Line-Overhead,13.2,F1,240
241,DT00000001-7,Distribution Transformer,7.62,F1,1
242,DT00000001-7A,Distribution Transformer,7.62,F1,2
243,DT00000001-9,Distribution Transformer,7.62,F1,3
244,DT00000001-17,Distribution Transformer,7.62,F1,4
245,DT00000001-19-10,Distribution Transformer,7.62,F1,5
246,DT00000001-19-38,Distribution Transformer,7.62,F1,6
247,DT0000000009,Distribution Transformer,7.62,F1,7
248,DT0000000013,Distribution Transformer,7.62,F1,8
249,DT0000000015,Distribution Transformer,7.62,F1,9
250,DT0000000016-13,Distribution Transformer,7.62,F1,10
251,DT0000000025,Distribution Transformer,7.62,F1,11
252,DT0000000034,Distribution Transformer,7.62,F1,12
253,DT0000000034-7A,Distribution Transformer,7.62,F1,13
254,DT0000000034-9a,Distribution Transformer,7.62,F1,14
255,DT0000000034-18,Distribution Transformer,7.62,F1,15
256,DT0000000034-29,Distribution Transformer,7.62,F1,16
257,DT0000000038,Distribution Transformer,7.62,F1,17
258,DT0000000044-29,Distribution Transformer,7.62,F1,18
259,DT0000000044-64,Distribution Transformer,7.62,F1,19
260,DT0000000045,Distribution Transformer,7.62,F1,20
261,DT0000000046-22,Distribution Transformer,7.62,F1,21
262,DT0000000049,Distribution Transformer,7.62,F1,22
263,DT0000000049-3,Distribution Transformer,7.62,F1,23
264,DT0000000054,Distribution Transformer,7.62,F1,24
265,DT0000000054-20,Distribution Transformer,7.62,F1,25
266,DT0000000065,Distribution Transformer,7.62,F1,26
267,DT0000000072-7,Distribution Transformer,7.62,F1,27
268,DT0000000073,Distribution Transformer,7.62,F1,28
269,DT0000000090,Distribution Transformer,7.62,F1,29
270,DT0000000091,Distribution Transformer,7.62,F1,30
271,DT000000091A,Distribution Transformer,7.62,F1,31
272,DT0000000092,Distribution Transformer,7.62,F1,32
273,DT0000000092-2,Distribution Transformer,7.62,F1,33
274,DT0000000092-5,Distribution Transformer,7.62,F1,34
275,DT0000000092-7,Distribution Transformer,7.62,F1,35
276,DT0000000092-8,Distribution Transformer,7.62,F1,36
277,DT0000000092-9,Distribution Transformer,7.62,F1,37
278,DT0000000093,Distribution Transformer,7.62,F1,38
279,DT0000000094,Distribution Transformer,7.62,F1,39
280,DT000000094A,Distribution Transformer,7.62,F1,40
281,DT000000094B,Distribution Transformer,7.62,F1,41
282,DT000000094C,Distribution Transformer,7.62,F1,42
283,DT0000000095-7,Distribution Transformer,7.62,F1,43
284,DT0000000099,Distribution Transformer,7.62,F1,44
285,DT0000000100,Distribution Transformer,7.62,F1,45
286,DT000000100A,Distribution Transformer,7.62,F1,46
287,DT0000000100-1,Distribution Transformer,7.62,F1,47
288,DT0000000100-2,Distribution Transformer,7.62,F1,48
289,DT0000000100-6,Distribution Transformer,7.62,F1,49
290,DT0000000100-6A,Distribution Transformer,7.62,F1,50
291,DT0000000100-7,Distribution Transformer,7.62,F1,51
292,DT0000000100-13m,Distribution Transformer,7.62,F1,52
293,DT0000000100-13ag6,Distribution Transformer,7.62,F1,53
294,DT0000000100-13ar,Distribution Transformer,7.62,F1,54
295,DT0000000100-13ax15,Distribution Transformer,7.62,F1,55
296,DT0000000100-13bj,Distribution Transformer,7.62,F1,56
297,DT0000000100-16,Distribution Transformer,7.62,F1,57
298,DT0000000100-20,Distribution Transformer,7.62,F1,58
299,DT0000000100-28,Distribution Transformer,7.62,F1,59
300,DT0000000100-30i,Distribution Transformer,7.62,F1,60
301,DT0000000100-39h,Distribution Transformer,7.62,F1,61
302,DT0000000100-39X,Distribution Transformer,7.62,F1,62
303,DT0000000100-42,Distribution Transformer,7.62,F1,63
304,DT0000000100-43,Distribution Transformer,7.62,F1,64
305,DT0000000100-50,Distribution Transformer,7.62,F1,65
306,DT0000000100-55-4,Distribution Transformer,7.62,F1,66
307,DT0000000100-58,Distribution Transformer,7.62,F1,67
308,DT0000000100-66,Distribution Transformer,7.62,F1,68
309,DT0000000100-71-3,Distribution Transformer,7.62,F1,69
310,DT0000000100-72M,Distribution Transformer,7.62,F1,70
311,DT0000000100-72Q8c,Distribution Transformer,7.62,F1,71
312,DT0000000100-72Q12,Distribution Transformer,7.62,F1,72
313,DT0000000100-72Y,Distribution Transformer,7.62,F1,73
314,DT0000000100-74,Distribution Transformer,7.62,F1,74
315,DT0000000100-79,Distribution Transformer,7.62,F1,75
316,DT0000000100-85,Distribution Transformer,7.62,F1,76
317,DT0000000102,Distribution Transformer,7.62,F1,77
318,DT0000000106,Distribution Transformer,7.62,F1,78
319,DT0000000106-1,Distribution Transformer,7.62,F1,79
320,DT0000000106-2,Distribution Transformer,7.62,F1,80
321,DT0000000108-4,Distribution Transformer,7.62,F1,81
322,DT0000000108-4b,Distribution Transformer,7.62,F1,82
323,DT0000000108-5,Distribution Transformer,7.62,F1,83
324,DT0000000108-7,Distribution Transformer,7.62,F1,84
325,DT0000000108-7A,Distribution Transformer,7.62,F1,85
326,DT0000000108-8,Distribution Transformer,7.62,F1,86
327,DT0000000108-10,Distribution Transformer,7.62,F1,87
328,DT0000000108-11,Distribution Transformer,7.62,F1,88
329,DT0000000108-12b,Distribution Transformer,7.62,F1,89
330,DT0000000108-12f,Distribution Transformer,7.62,F1,90
331,DT0000000108-12h,Distribution Transformer,7.62,F1,91
332,DT0000000108-18,Distribution Transformer,7.62,F1,92
333,DT0000000108-19,Distribution Transformer,7.62,F1,93
334,DT0000000108-20,Distribution Transformer,7.62,F1,94
335,DT0000000108-20C,Distribution Transformer,7.62,F1,95
336,DT0000000108-20O,Distribution Transformer,7.62,F1,96
337,DT0000000108-21b,Distribution Transformer,7.62,F1,97
338,DT0000000108-24,Distribution Transformer,7.62,F1,98
339,DT0000000108-24A,Distribution Transformer,7.62,F1,99
340,DT0000000108-24-1,Distribution Transformer,7.62,F1,100
341,DT0000000108-33,Distribution Transformer,7.62,F1,101
342,DT0000000108-45H,Distribution Transformer,7.62,F1,102
343,DT0000000108-45,Distribution Transformer,7.62,F1,103
344,DT0000000108-58AV,Distribution Transformer,7.62,F1,104
345,DT0000000108-58AO4,Distribution Transformer,7.62,F1,105
346,DT0000000108-58AN9,Distribution Transformer,7.62,F1,106
347,DT0000000108-58AA,Distribution Transformer,7.62,F1,107
348,DT0000000108-58R11,Distribution Transformer,7.62,F1,108
349,DT0000000108-58M,Distribution Transformer,7.62,F1,109
350,DT0000000108-59p,Distribution Transformer,7.62,F1,110
351,DT0000000108-59j,Distribution Transformer,7.62,F1,111
352,DT0000000108-59f,Distribution Transformer,7.62,F1,112
353,DT0000000108-59,Distribution Transformer,7.62,F1,113
354,DT0000000108-60,Distribution Transformer,7.62,F1,114
355,DT0000000110,Distribution Transformer,7.62,F1,115
356,DT0000000111,Distribution Transformer,7.62,F1,116
357,DT000000111A,Distribution Transformer,7.62,F1,117
358,DT0000000112,Distribution Transformer,7.62,F1,118
359,DT0000000115,Distribution Transformer,7.62,F1,119
360,DT000000115A,Distribution Transformer,7.62,F1,120
361,DT000000115B,Distribution Transformer,7.62,F1,121
362,DT000000115C,Distribution Transformer,7.62,F1,122
363,DT000000115-4,Distribution Transformer,7.62,F1,123
364,DT000000116,Distribution Transformer,7.62,F1,124
365,DT000000117B,Distribution Transformer,7.62,F1,125
366,DT0000000117,Distribution Transformer,7.62,F1,126
367,DT0000000119,Distribution Transformer,7.62,F1,127
368,DT0000000121,Distribution Transformer,7.62,F1,128
369,DT000000121A,Distribution Transformer,7.62,F1,129
370,DT0000000122,Distribution Transformer,7.62,F1,130
371,DT0000000122-4,Distribution Transformer,7.62,F1,131
372,DT0000000125,Distribution Transformer,7.62,F1,132
373,DT000000125A,Distribution Transformer,7.62,F1,133
374,DT0000000126-2,Distribution Transformer,7.62,F1,134
375,DT0000000126-6,Distribution Transformer,7.62,F1,135
376,DT0000000126-8A,Distribution Transformer,7.62,F1,136
377,DT0000000126-8B,Distribution Transformer,7.62,F1,137
378,DT0000000126-8B1,Distribution Transformer,7.62,F1,138
379,DT0000000126-8b,Distribution Transformer,7.62,F1,139
380,DT0000000126-10,Distribution Transformer,7.62,F1,140
381,DT0000000126-12,Distribution Transformer,7.62,F1,141
382,DT0000000128-4,Distribution Transformer,7.62,F1,142
383,DT0000000128-4A,Distribution Transformer,7.62,F1,143
384,DT0000000129,Distribution Transformer,7.62,F1,144
385,DT0000000130-16,Distribution Transformer,7.62,F1,145
386,DT0000000130-20,Distribution Transformer,7.62,F1,146
387,DT0000000130-25,Distribution Transformer,7.62,F1,147
388,DT0000000130-31,Distribution Transformer,7.62,F1,148
389,DT0000000130-31-4,Distribution Transformer,7.62,F1,149
390,DT0000000130-31-9,Distribution Transformer,7.62,F1,150
391,DT0000000130-49,Distribution Transformer,7.62,F1,151
392,DT0000000130-53-8,Distribution Transformer,7.62,F1,152
393,DT0000000130-53-20F,Distribution Transformer,7.62,F1,153
394,DT0000000130-53-24,Distribution Transformer,7.62,F1,154
395,DT0000000130-53-38,Distribution Transformer,7.62,F1,155
396,DT0000000130-53-44,Distribution Transformer,7.62,F1,156
397,DT0000000130-56-4,Distribution Transformer,7.62,F1,157
398,DT0000000130-56-12,Distribution Transformer,7.62,F1,158
399,DT0000000130-62,Distribution Transformer,7.62,F1,159
400,DT0000000130-63,Distribution Transformer,7.62,F1,160
401,DT0000000130-70,Distribution Transformer,7.62,F1,161
402,DT0000000130-88A-18,Distribution Transformer,7.62,F1,162
403,DT0000000130-98,Distribution Transformer,7.62,F1,163
404,DT0000000130-117,Distribution Transformer,7.62,F1,164
405,DT0000000132,Distribution Transformer,7.62,F1,165
406,DT0000000132-3B,Distribution Transformer,7.62,F1,166
407,DT0000000132-3D,Distribution Transformer,7.62,F1,167
408,DT0000000132-3D1,Distribution Transformer,7.62,F1,168
409,DT0000000132-3E,Distribution Transformer,7.62,F1,169
410,DT0000000132-3G,Distribution Transformer,7.62,F1,170
411,DT0000000132-3H,Distribution Transformer,7.62,F1,171
412,DT0000000132-3H1,Distribution Transformer,7.62,F1,172
413,DT0000000132-3I,Distribution Transformer,7.62,F1,173
414,DT0000000132-5,Distribution Transformer,7.62,F1,174
415,DT0000000132-9,Distribution Transformer,7.62,F1,175
416,DT0000000132-14,Distribution Transformer,7.62,F1,176
417,DT0000000134-2,Distribution Transformer,7.62,F1,177
418,DT0000000137,Distribution Transformer,7.62,F1,178
419,DT0000000122-3b,Distribution Transformer,7.62,F1,179
420,DT0000000130-88,Distribution Transformer,7.62,F1,180
421,S0001-0007-0001,Secondary Line,0.24,F1,181
422,S0001-007A-0001,Secondary Line,0.24,F1,182
423,S0001-0009-0001,Secondary Line,0.24,F1,183
424,S0001-0017-0002,Secondary Line,0.24,F1,184
425,S0001-0017-002a,Secondary Line,0.24,F1,185
426,S0001-0017-002A,Secondary Line,0.24,F1,186
427,S0001-0017-0003,Secondary Line,0.24,F1,187
428,S0001-0017-0001,Secondary Line,0.24,F1,188
429,S0001-0017-003a,Secondary Line,0.24,F1,189
430,S0001-0017-0004,Secondary Line,0.24,F1,190
431,S0001-0017-004a,Secondary Line,0.24,F1,191
432,S0001-0017-004A,Secondary Line,0.24,F1,192
433,S0001-0017-0005,Secondary Line,0.24,F1,193
434,S0001-0017-005A,Secondary Line,0.24,F1,194
435,S0001-0017-0006,Secondary Line,0.24,F1,195
436,S0001-0017-006A,Secondary Line,0.24,F1,196
437,S0001-0017-002b,Secondary Line,0.24,F1,197
438,S0001-0017-002B,Secondary Line,0.24,F1,198
439,S0001-0017-002c,Secondary Line,0.24,F1,199
440,S0001-0017-002C,Secondary Line,0.24,F1,200
441,S0001-0017-002d,Secondary Line,0.24,F1,201
442,S0001-0017-002D,Secondary Line,0.24,F1,202
443,S0001-0017-02d1,Secondary Line,0.24,F1,203
444,S0001-0017-002e,Secondary Line,0.24,F1,204
445,S0001-0017-002E,Secondary Line,0.24,F1,205
446,S0001-0017-002F,Secondary Line,0.24,F1,206
447,S0001-0017-002G,Secondary Line,0.24,F1,207
448,S0001-0017-002H,Secondary Line,0.24,F1,208
449,S0001-0017-003b,Secondary Line,0.24,F1,209
450,S0001-0017-003c,Secondary Line,0.24,F1,210
451,S0001-0017-003d,Secondary Line,0.24,F1,211
452,S0001-0017-003e,Secondary Line,0.24,F1,212
453,S0001-0017-003f,Secondary Line,0.24,F1,213
454,S0001-0017-004b,Secondary Line,0.24,F1,214
455,S0001-0017-004B,Secondary Line,0.24,F1,215
456,S0001-0017-004c,Secondary Line,0.24,F1,216
457,S0001-0017-004C,Secondary Line,0.24,F1,217
458,S0001-0017-004d,Secondary Line,0.24,F1,218
459,S0001-0017-004D,Secondary Line,0.24,F1,219
460,S0001-0017-004e,Secondary Line,0.24,F1,220
461,S0001-0017-004E,Secondary Line,0.24,F1,221
462,S0001-0017-004F,Secondary Line,0.24,F1,222
463,S0001-0017-004G,Secondary Line,0.24,F1,223
464,S0001-0017-004H,Secondary Line,0.24,F1,224
465,S0001-0017-004I,Secondary Line,0.24,F1,225
466,S0001-0017-004J,Secondary Line,0.24,F1,226
467,S0001-0017-004K,Secondary Line,0.24,F1,227
468,S0001-0017-004L,Secondary Line,0.24,F1,228
469,S0001-0017-004M,Secondary Line,0.24,F1,229
470,S0001-0017-004N,Secondary Line,0.24,F1,230
471,S0001-0017-004O,Secondary Line,0.24,F1,231
472,S0001-0017-004P,Secondary Line,0.24,F1,232
473,S0001-0017-004Q,Secondary Line,0.24,F1,233
474,S0001-0017-004R,Secondary Line,0.24,F1,234
