Count,Shunt Inductor ID,"Bus Connected
(Bus ID)",Phase Type,Phasing,Voltage Rating (kV),Resistance Phase A (Ohms),Resistance Phase B (Ohms),Resistance Phase C (Ohms),"Reactance
Phase A (Ohms)","Reactance 
Phase B (Ohms)","Reactance 
Phase C (Ohms)"
102,L0102,P0000000100-74,4,C,13.8,1.72900,0.87500,1.20700,4.56500,14.91200,12.63100
103,L0103,P0000000100-79,1,AB,4.16,0.29000,1.29500,1.36300,0.96000,6.85900,5.08400
104,L0104,P0000000100-85,4,CA,13.8,1.92400,0.81300,0.66100,9.18500,5.73400,11.67300
105,L0105,P0000000102,1,ABC,12.47,1.65000,0.45200,1.23700,7.13500,14.67600,13.82500
106,L0106,P0000000106,4,AB,23,1.49000,0.72200,2.95700,5.96000,11.52800,11.37700
107,L0107,P000000106A,4,B,7.62,2.12900,2.76500,1.70400,6.69100,4.20100,8.65100
108,L0108,P0000000106-1,4,AB,7.62,1.11400,2.26000,2.57800,3.05200,13.46900,8.65100
109,L0109,P0000000106-2,3,BC,34.5,2.24600,0.39000,2.65600,10.69000,3.43800,10.85400
110,L0110,P0000000108,4,C,4.16,1.00400,0.52000,1.49700,5.04800,8.86700,14.16600
111,L0111,P0000000108-4,4,B,12.47,1.95200,0.31700,2.56000,12.07000,13.09300,14.10500
112,L0112,P0000000108-4A,4,CA,23,1.59800,2.29700,0.23000,1.80700,3.09100,9.10000
113,L0113,P0000000108-4b,4,C,34.5,2.91100,0.75900,1.57200,5.71300,12.64200,2.81400
114,L0114,P0000000108-5,1,BC,12.47,2.97800,1.85700,2.65600,3.82400,9.03600,8.51500
115,L0115,P0000000108-7,4,B,13.8,2.62900,0.68200,0.68300,8.01000,6.67300,14.18200
116,L0116,P0000000108-7A,4,ABC,7.62,1.65200,0.19800,2.72500,2.29200,3.88700,11.63700
117,L0117,P0000000108-8,1,AB,12.47,2.59200,2.37500,0.78900,8.43300,3.26400,14.19300
118,L0118,P0000000108-10,4,BC,12.47,2.34800,1.54900,2.77800,8.57200,4.12900,6.68100
119,L0119,P0000000108-11,4,BC,23,0.30200,0.48400,0.75000,12.60700,0.73600,1.37100
120,L0120,P0000000108-12,4,C,13.8,0.08400,0.41100,0.70500,10.75700,4.13100,11.11700
121,L0121,P0000000108-12b,4,ABC,7.62,0.88100,2.94600,2.90700,7.71700,4.80800,3.59600
122,L0122,P0000000108-12f,4,AB,7.62,2.19800,1.08500,2.17800,3.92100,5.06300,8.17500
123,L0123,P0000000108-12h,4,BC,7.62,1.98000,2.07400,1.02700,4.07200,13.83000,9.13700
124,L0124,P0000000108-18,4,CA,4.16,1.61900,0.52200,2.77300,6.87700,1.69100,3.33600
125,L0125,P0000000108-19,4,AB,23,2.04600,1.04800,1.20800,13.13400,1.89500,7.36700
126,L0126,P0000000108-20,4,BC,13.8,0.24900,2.75000,2.46600,3.45400,3.88800,3.98600
127,L0127,P0000000108-20C,4,A,7.62,0.52500,0.08800,0.50500,8.94000,7.10500,12.02200
128,L0128,P0000000108-20O,3,AB,12.47,1.59900,1.81900,1.52500,5.15300,7.48400,5.92400
129,L0129,P0000000108-21,4,A,12.47,2.16400,1.94100,2.61000,5.79200,4.35900,3.56900
130,L0130,P0000000108-21b,4,BC,7.62,1.50900,2.91900,1.44000,13.65000,5.19200,14.44300
131,L0131,P0000000108-24,2,A,23,1.07100,0.75300,2.41900,4.71500,6.01100,8.55300
132,L0132,P0000000108-24A,4,BC,4.16,0.74100,2.92000,0.49800,3.06800,9.98300,11.12700
133,L0133,P0000000108-24-1,4,C,34.5,1.03900,0.83800,0.36600,10.36700,2.22800,3.58500
134,L0134,P0000000108-30,4,A,13.8,2.72300,1.11100,1.38400,9.05900,5.80300,4.02400
135,L0135,P0000000108-33,4,A,23,1.19400,0.84900,1.82400,5.27200,6.09900,2.33700
136,L0136,P0000000108-45,4,CA,13.8,0.70100,2.86900,1.07300,10.16800,7.43200,10.14800
137,L0137,P0000000108-45H,4,AB,7.62,1.78100,1.65800,2.94900,14.29400,13.35700,13.83100
138,L0138,P0000000108-45A,4,BC,13.8,1.63500,2.53400,0.41200,5.79600,13.44200,7.62400
139,L0139,P0000000108-58,4,B,23,2.92600,2.02900,2.62700,5.42800,14.71000,5.28200
140,L0140,P0000000108-58M,1,C,13.8,2.26800,1.40000,2.23900,4.10500,13.82500,3.72400
141,L0141,P0000000108-58R,3,CA,23,1.17000,1.53900,2.30600,12.23200,7.63000,3.56600
142,L0142,P0000000108-58R11,4,BC,13.8,1.10100,2.72400,0.60200,8.17500,7.74200,2.35900
143,L0143,P0000000108-58AA,4,AB,23,2.49800,1.44800,2.45500,10.47400,11.40600,9.39600
144,L0144,P0000000108-58AN,4,C,23,0.12600,0.72200,2.17300,8.60500,14.88500,6.78500
145,L0145,P0000000108-58AN9,4,ABC,7.62,1.39700,2.62600,1.96900,4.86000,6.43600,14.59000
146,L0146,P0000000108-58AO,4,B,23,2.43000,2.47100,2.64300,6.45400,4.34400,10.01800
147,L0147,P0000000108-58AO4,1,CA,23,1.42300,2.57700,1.48800,11.16300,8.71800,6.43200
148,L0148,P0000000108-58AV,4,B,12.47,1.72700,1.09900,2.93600,6.81000,10.28400,14.32300
149,L0149,P0000000108-59,4,AB,23,0.67300,1.63300,2.79400,1.34700,5.27600,13.63500
150,L0150,P0000000108-59A,4,BC,7.62,2.53600,0.36400,1.62600,12.52300,2.31800,6.07900
151,L0151,P0000000108-59f,4,A,13.8,2.73800,2.78400,0.18900,13.76500,4.03600,11.45600
152,L0152,P0000000108-59j,3,CA,12.47,0.23200,1.42700,1.09400,0.59100,13.57700,6.84800
153,L0153,P0000000108-59p,4,BC,23,1.78100,1.15600,1.80800,6.17600,1.75000,13.11500
154,L0154,P0000000108-60,2,B,7.62,0.75500,2.99000,2.04900,11.63300,6.49100,11.30100
155,L0155,P0000000108-63,4,AB,12.47,1.53400,1.23800,0.37600,10.13200,5.00100,11.65600
156,L0156,P0000000110,4,C,7.62,1.21800,2.41700,1.66900,9.46900,5.86100,3.76500
157,L0157,P0000000111,4,C,23,1.67700,1.19700,0.12800,4.74000,1.41000,4.89600
158,L0158,P000000111A,1,BC,7.62,1.47500,1.02300,2.06000,9.54000,6.08100,9.49200
159,L0159,P0000000112,4,BC,4.16,0.47100,2.63400,0.39300,11.67600,12.99800,9.14200
160,L0160,P0000000113,4,ABC,4.16,1.02700,0.81900,1.39900,3.14000,8.43900,7.24100
161,L0161,P0000000115,4,ABC,23,2.90800,1.74200,1.24000,3.87400,10.83700,11.73000
162,L0162,P000000115A,4,BC,4.16,1.22200,2.79000,1.62000,8.94000,10.15500,10.01300
163,L0163,P000000115B,4,AB,4.16,2.83600,2.27400,0.22300,3.76200,7.74900,11.37100
164,L0164,P000000115C,2,B,34.5,1.09700,0.83900,0.92200,13.61400,13.61800,6.78900
165,L0165,P0000000115-4,4,ABC,23,2.42600,0.35100,2.49200,13.05100,11.82000,6.51000
166,L0166,P0000000116,4,BC,34.5,1.48500,1.12700,1.49800,4.34600,1.78800,8.16400
167,L0167,P0000000117,4,ABC,13.8,2.86300,1.94200,1.67400,9.83800,6.64500,8.05800
168,L0168,P000000117B,3,A,7.62,1.55600,1.91400,1.47300,10.79400,12.90400,4.43100
169,L0169,P0000000119,4,BC,34.5,0.52900,2.28800,2.35000,5.18000,11.22500,14.91800
170,L0170,P0000000119-3,3,C,34.5,2.35200,1.27300,2.75300,8.28500,2.58900,6.04000
171,L0171,P0000000121,4,A,13.8,2.15000,2.00800,2.82900,12.81100,6.87100,3.22800
172,L0172,P000000121A,4,A,12.47,0.80300,1.11900,2.52100,5.00100,3.23800,3.10600
173,L0173,P0000000122,4,C,4.16,2.25500,2.40200,0.36300,5.27900,9.16500,8.96700
174,L0174,P000000122A,1,C,12.47,0.29900,1.05700,2.93200,12.99200,2.95400,14.13700
175,L0175,P0000000122-3,4,BC,13.8,1.87400,0.84500,0.64100,6.86300,7.39700,7.70700
176,L0176,P0000000122-3b,4,B,12.47,0.74100,2.12100,0.18400,3.77100,13.49200,10.22600
177,L0177,P0000000122-4,4,AB,4.16,2.71600,2.56900,1.37700,12.76300,6.74400,11.80400
178,L0178,P0000000125,4,AB,34.5,0.36500,2.55100,0.62700,3.19700,12.71000,8.82000
179,L0179,P000000125A,3,B,13.8,0.58200,0.38400,2.24200,10.04100,10.80400,5.35500
180,L0180,P0000000126,4,AB,4.16,2.68700,2.58100,0.98500,3.86600,5.39700,14.58100
181,L0181,P0000000126-2,4,A,12.47,2.17400,1.38800,2.74900,5.67000,13.16200,5.85100
182,L0182,P0000000126-6,4,AB,12.47,1.16900,1.36900,1.29900,14.09700,7.01200,5.30000
183,L0183,P0000000126-8,4,C,7.62,0.42100,2.91100,0.18400,6.48800,10.42700,7.05600
184,L0184,P0000000126-8A,4,C,4.16,2.16900,1.76300,2.68000,4.37700,13.89500,5.22300
185,L0185,P0000000126-8B,4,CA,34.5,2.77500,0.23700,2.37800,8.36200,7.28900,6.54600
186,L0186,P0000000126-8B1,4,A,12.47,1.96300,0.26300,1.13300,3.16600,3.22100,5.97600
187,L0187,P0000000126-8a,4,CA,12.47,1.64100,0.90400,1.69900,14.85200,7.40600,14.77600
188,L0188,P0000000126-8b,4,A,13.8,0.28600,1.33100,1.43400,14.69600,12.82400,4.27000
189,L0189,P0000000126-10,4,ABC,12.47,2.98500,0.53200,2.04200,3.63600,12.21400,5.29000
190,L0190,P0000000126-12,3,BC,7.62,0.39000,0.37200,2.43300,5.90400,8.23200,3.15400
191,L0191,P0000000128,1,AB,13.8,0.74700,2.70000,1.69300,5.57500,4.00400,6.32700
192,L0192,P0000000128-4,4,A,7.62,2.07100,1.42600,0.91500,5.20200,9.29300,9.57000
193,L0193,P0000000128-4A,4,ABC,13.8,1.34500,0.12800,1.43500,8.95200,12.59500,1.54500
194,L0194,P0000000129,4,CA,7.62,0.28600,0.40500,1.40200,1.39600,10.48600,12.68100
195,L0195,P0000000130,4,BC,7.62,2.31500,1.30100,0.23800,7.56400,5.63700,6.39500
196,L0196,P0000000130-16,4,C,7.62,2.45800,2.68900,1.78900,12.09400,13.28000,9.87300
197,L0197,P0000000130-20,4,ABC,4.16,0.11900,1.86400,0.52300,11.17600,9.34800,3.24000
198,L0198,P0000000130-25,4,AB,7.62,2.30000,1.71700,0.07700,13.75800,9.96800,7.74100
199,L0199,P0000000130-31,1,A,34.5,1.67500,1.07200,1.45000,3.93400,7.88200,11.82700
200,L0200,P0000000130-31A,4,B,12.47,1.92100,0.33000,2.30500,13.85000,6.94800,4.96100
201,L0201,P0000000130-31-4,2,BC,13.8,2.36200,0.69500,1.67600,14.13400,3.65300,10.36600
202,L0202,P0000000130-31-9,4,AB,4.16,0.76700,2.43000,1.87100,1.02500,13.90200,2.10800
203,L0203,P0000000130-49,4,AB,4.16,2.29100,0.40700,0.91700,3.74100,6.72900,11.69600
204,L0204,P0000000130-53,2,AB,4.16,2.85900,0.11100,2.17200,6.85900,5.77200,4.83300
205,L0205,P0000000130-53-8,4,ABC,7.62,1.83100,2.91700,1.54700,6.37000,14.05800,12.41600
206,L0206,P0000000130-53-20,4,ABC,23,0.73600,2.52300,1.70300,3.79900,3.28500,9.64500
207,L0207,P0000000130-53-20F,4,CA,7.62,2.67500,1.72500,1.02800,7.38400,10.98500,9.08500
208,L0208,P0000000130-53-24,4,AB,13.8,0.76000,0.06200,1.57300,8.40200,7.79100,5.66600
209,L0209,P0000000130-53-38,3,ABC,13.8,1.22000,1.54900,1.14100,5.67800,8.68400,8.57900
210,L0210,P0000000130-53-44,4,B,34.5,1.67800,2.03800,0.91300,2.27800,2.35100,14.50800
211,L0211,P0000000130-56,4,CA,4.16,2.01800,2.03400,0.91500,11.48700,8.54300,4.94800
212,L0212,P0000000130-56-4,4,CA,34.5,0.19000,0.88500,0.74300,6.04300,5.83500,1.67900
213,L0213,P0000000130-56-12,4,C,4.16,0.43000,1.25300,2.97300,5.31600,9.02500,10.84400
214,L0214,P0000000130-62,4,BC,4.16,0.73100,1.28900,1.76600,10.82600,4.37700,4.57300
215,L0215,P0000000130-63,4,ABC,23,0.35000,2.84600,2.77700,9.44900,4.76100,8.77600
216,L0216,P0000000130-70,3,C,12.47,2.36200,0.66500,0.89000,2.75900,10.55900,11.75300
217,L0217,P0000000130-88,4,CA,4.16,0.50600,2.86800,0.29100,3.32100,12.94700,13.08000
218,L0218,P0000000130-88A,4,BC,13.8,2.96400,1.15600,2.99700,13.74600,8.33200,12.87600
219,L0219,P0000000130-88A-18,4,AB,4.16,0.11000,0.30100,0.30900,4.01800,9.16000,3.30100
220,L0220,P0000000130-98,4,CA,34.5,1.74000,2.79700,0.60000,4.94600,6.42300,8.51500
221,L0221,P0000000130-98A,4,CA,7.62,1.43900,0.60200,1.20900,12.32900,2.25100,13.40400
222,L0222,P0000000130-117,4,BC,13.8,1.11600,1.71900,2.00100,6.49200,14.30300,7.35400
223,L0223,P0000000132,4,AB,34.5,0.84300,1.04400,1.54700,8.25200,10.73800,10.07300
224,L0224,P0000000132-3,4,ABC,12.47,0.27000,2.75500,0.49600,10.59500,4.52800,10.74200
225,L0225,P0000000132-3B,3,CA,4.16,2.44400,2.83400,2.53400,5.15900,5.51500,5.31900
226,L0226,P0000000132-3D,4,B,34.5,0.12900,0.26700,1.22600,2.29800,9.96600,4.28600
227,L0227,P0000000132-3D1,1,BC,34.5,2.16700,1.18700,1.27000,2.20900,6.73500,8.48700
228,L0228,P0000000132-3E,4,CA,34.5,1.43400,1.11300,2.56500,2.68800,7.72200,2.89000
229,L0229,P0000000132-3G,4,AB,4.16,1.58500,1.43900,1.28900,12.54000,6.30700,4.71500
230,L0230,P0000000132-3H,4,C,13.8,0.64900,2.00800,1.37900,8.79500,14.41200,11.91400
231,L0231,P0000000132-3H1,4,AB,13.8,1.89500,2.15400,0.59300,2.31800,5.33100,11.31500
232,L0232,P0000000132-3I,4,A,23,2.60500,0.90900,0.69400,5.06500,8.54100,13.87000
233,L0233,P0000000132-5,4,A,34.5,2.13600,2.48500,0.34700,11.34100,7.53400,9.67900
234,L0234,P0000000132-9,4,ABC,12.47,1.55300,2.23000,1.90800,3.25700,4.38500,3.29900
235,L0235,P0000000132-14,2,BC,34.5,0.31400,2.99800,0.63500,5.89900,7.75700,9.61300
236,L0236,P0000000134,4,BC,7.62,2.29100,2.95200,1.75400,9.95200,14.21500,3.64900
237,L0237,P0000000134-2,4,ABC,13.8,1.87300,2.44700,1.83900,7.49900,8.22000,12.09700
238,L0238,P0000000136,4,B,13.8,0.70100,2.54300,0.91800,10.95300,8.54900,7.84800
239,L0239,P0000000137,4,ABC,12.47,2.12600,1.67700,2.34800,3.42300,4.38600,4.37700
