Count,Series Inductor ID,"From 
Bus ID","To  
Bus ID",Phase Type,Phasing,Voltage Rating (kV),Resistance Phase A (Ohms),Resistance Phase B (Ohms),Resistance Phase C (Ohms),Reactance Phase A (Ohms),Reactance Phase B (Ohms),Reactance Phase C (Ohms)
133,SIND0133,P0000000108-24-1,P00000001-133A,4,B,69,0.40300,0.95200,0.97800,3.33400,3.92000,4.95500
134,SIND0134,P0000000108-30,P00000001-134A,3,B,7.62,1.02300,0.83500,0.38700,3.55100,6.85500,0.85400
135,SIND0135,P0000000108-33,P00000001-135A,4,AB,12.47,0.70200,1.48200,0.39600,3.63300,8.17600,4.92600
136,SIND0136,P0000000108-45,P00000001-136A,4,B,69,0.14500,1.09000,1.30500,6.74000,1.42300,6.15900
137,SIND0137,P0000000108-45H,P00000001-137A,4,AB,23,0.20900,1.45100,1.25000,7.89100,6.18100,7.23900
138,SIND0138,P0000000108-45A,P00000001-138A,4,BC,12.47,0.28900,0.79900,0.82800,0.67800,5.76600,5.64800
139,SIND0139,P0000000108-58,P00000001-139A,3,B,12.47,1.48700,1.14200,0.14700,2.34100,8.18000,5.45400
140,SIND0140,P0000000108-58M,P00000001-140A,4,ABC,69,0.62500,0.66100,0.62600,2.43100,6.58100,1.71700
141,SIND0141,P0000000108-58R,P00000001-141A,4,BC,7.62,0.46100,0.00600,0.57700,7.93500,0.83900,4.92900
142,SIND0142,P0000000108-58R11,P00000001-142A,4,CA,69,0.91800,0.02200,0.09400,4.94700,8.42600,3.69800
143,SIND0143,P0000000108-58AA,P00000001-143A,3,B,34.5,0.14200,0.06900,0.45300,0.55100,8.43300,9.51100
144,SIND0144,P0000000108-58AN,P00000001-144A,3,CA,12.47,0.71800,1.00400,0.18700,1.16600,5.69500,8.26400
145,SIND0145,P0000000108-58AN9,P00000001-145A,1,C,7.62,0.13700,0.10200,1.10400,2.97400,7.84000,4.81800
146,SIND0146,P0000000108-58AO,P00000001-146A,2,A,4.16,0.44900,0.49500,0.97300,7.73600,4.40500,5.65600
147,SIND0147,P0000000108-58AO4,P00000001-147A,3,AB,34.5,0.33000,0.60900,1.07000,0.65900,7.38700,6.19900
148,SIND0148,P0000000108-58AV,P00000001-148A,4,C,7.62,0.23300,1.40700,1.13600,1.15600,2.14300,2.84900
149,SIND0149,P0000000108-59,P00000001-149A,4,ABC,4.16,0.05700,0.44600,1.42200,6.46000,8.08400,4.33800
150,SIND0150,P0000000108-59A,P00000001-150A,4,A,69,1.29400,1.31500,1.00600,8.00900,5.15000,5.51200
151,SIND0151,P0000000108-59f,P00000001-151A,4,A,69,0.41700,0.41900,0.93800,6.65300,3.75900,2.75900
152,SIND0152,P0000000108-59j,P00000001-152A,2,A,12.47,0.66300,1.29100,0.25800,8.52700,4.16200,8.17300
153,SIND0153,P0000000108-59p,P00000001-153A,4,C,13.8,1.22900,0.02500,1.28400,1.93200,9.15900,9.17200
154,SIND0154,P0000000108-60,P00000001-154A,4,AB,7.62,1.00400,0.48600,0.47200,3.16900,9.16300,3.35500
155,SIND0155,P0000000108-63,P00000001-155A,4,AB,23,0.06600,0.89400,1.12700,5.92800,5.70700,4.17200
156,SIND0156,P0000000110,P00000001-156A,4,CA,34.5,0.48600,0.66700,0.94500,8.96900,3.22400,3.12800
157,SIND0157,P0000000111,P00000001-157A,4,BC,69,0.32800,0.93500,0.74800,1.25600,3.36000,3.95100
158,SIND0158,P000000111A,P00000001-158A,4,A,7.62,0.10300,1.30500,1.35200,5.39500,8.92900,4.66800
159,SIND0159,P0000000112,P00000001-159A,4,ABC,69,1.00100,0.74800,1.25800,5.02900,2.22100,7.25600
160,SIND0160,P0000000113,P00000001-160A,2,CA,7.62,0.00700,0.62100,0.20800,6.93400,2.02500,6.48700
161,SIND0161,P0000000115,P00000001-161A,4,B,69,1.25400,0.00600,0.92600,5.46300,4.42100,3.52000
162,SIND0162,P000000115A,P00000001-162A,2,ABC,7.62,1.21300,0.67300,1.38100,4.94100,5.74200,8.05900
163,SIND0163,P000000115B,P00000001-163A,4,BC,69,0.17300,0.99300,0.01800,2.33300,5.35000,5.67800
164,SIND0164,P000000115C,P00000001-164A,4,B,4.16,0.34800,0.07000,0.70200,4.21000,9.63800,7.28700
165,SIND0165,P0000000115-4,P00000001-165A,4,ABC,7.62,1.28900,1.05400,0.76800,3.15600,7.89400,5.49600
166,SIND0166,P0000000116,P00000001-166A,4,A,4.16,0.40700,1.01100,1.06700,1.32400,5.98100,8.84400
167,SIND0167,P0000000117,P00000001-167A,3,CA,12.47,1.44600,0.49100,0.28200,1.63600,1.34900,1.98600
168,SIND0168,P000000117B,P00000001-168A,4,B,4.16,0.31900,0.92900,0.80400,2.47700,7.92300,6.72600
169,SIND0169,P0000000119,P00000001-169A,4,CA,7.62,0.85500,0.32100,0.44600,8.00600,7.65100,6.97800
170,SIND0170,P0000000119-3,P00000001-170A,4,ABC,4.16,0.15600,0.84900,1.12400,9.81700,8.68900,5.43500
171,SIND0171,P0000000121,P00000001-171A,4,BC,4.16,1.32900,0.11500,0.49700,4.34600,1.67800,5.71900
172,SIND0172,P000000121A,P00000001-172A,2,C,69,0.52300,0.28000,0.05800,3.25300,9.73400,2.07800
173,SIND0173,P0000000122,P00000001-173A,3,CA,34.5,0.55200,0.72200,0.13000,1.25500,2.85000,5.81700
174,SIND0174,P000000122A,P00000001-174A,4,ABC,23,1.19500,1.39100,0.83000,4.59900,6.15800,3.77300
175,SIND0175,P0000000122-3,P00000001-175A,4,A,34.5,0.57400,1.22400,1.14700,4.90000,9.42000,5.07100
176,SIND0176,P0000000122-3b,P00000001-176A,4,AB,13.8,0.88900,0.91200,1.02100,4.76900,7.39000,3.43500
177,SIND0177,P0000000122-4,P00000001-177A,1,A,12.47,0.99800,1.00900,0.66600,9.07100,3.11900,5.39600
178,SIND0178,P0000000125,P00000001-178A,4,AB,69,0.58900,0.08000,1.25800,8.59700,2.66300,9.11500
179,SIND0179,P000000125A,P00000001-179A,2,C,4.16,0.24600,0.55900,0.22700,7.65000,7.69300,5.39000
180,SIND0180,P0000000126,P00000001-180A,4,C,13.8,0.77500,1.14000,0.27200,1.06500,7.16500,8.24300
181,SIND0181,P0000000126-2,P00000001-181A,4,AB,34.5,0.65100,1.33900,0.76200,3.68900,3.56600,5.51900
182,SIND0182,P0000000126-6,P00000001-182A,4,ABC,4.16,0.29200,0.80600,1.36400,4.06600,5.54400,9.64800
183,SIND0183,P0000000126-8,P00000001-183A,4,AB,12.47,0.05500,0.06400,0.91200,9.63500,5.25000,1.40000
184,SIND0184,P0000000126-8A,P00000001-184A,4,BC,34.5,0.86400,0.60800,1.07600,8.99600,1.77300,3.14400
185,SIND0185,P0000000126-8B,P00000001-185A,4,BC,7.62,0.53700,1.24000,1.36400,2.73700,5.92000,1.73700
186,SIND0186,P0000000126-8B1,P00000001-186A,4,ABC,12.47,0.05100,0.92700,1.23600,3.05900,5.71100,1.82100
187,SIND0187,P0000000126-8a,P00000001-187A,4,A,23,0.18100,0.33600,1.46800,1.59400,0.82800,2.46900
188,SIND0188,P0000000126-8b,P00000001-188A,4,ABC,13.8,1.31600,1.41400,0.45200,3.86800,8.49900,0.78100
189,SIND0189,P0000000126-10,P00000001-189A,4,C,13.8,0.15900,1.05400,0.56700,1.51000,3.10200,3.70600
190,SIND0190,P0000000126-12,P00000001-190A,4,B,23,0.68900,1.22400,0.17400,2.27200,5.98400,1.41800
191,SIND0191,P0000000128,P00000001-191A,4,C,4.16,1.06900,1.08100,0.78400,1.16600,1.16700,2.12600
192,SIND0192,P0000000128-4,P00000001-192A,4,AB,7.62,0.80900,0.25500,0.94000,1.61800,3.52500,2.42400
193,SIND0193,P0000000128-4A,P00000001-193A,4,CA,69,1.21300,0.14400,0.85400,5.07500,0.23700,9.51500
194,SIND0194,P0000000129,P00000001-194A,1,AB,23,0.90000,0.19000,0.93100,8.33400,4.97500,2.24000
195,SIND0195,P0000000130,P00000001-195A,1,CA,4.16,0.05800,0.04300,0.41100,8.57100,1.65100,2.72700
196,SIND0196,P0000000130-16,P00000001-196A,4,AB,23,0.66600,0.02500,0.96800,1.68700,2.60600,5.46500
197,SIND0197,P0000000130-20,P00000001-197A,4,AB,23,0.09900,0.76700,0.03400,7.84200,5.29500,6.41800
198,SIND0198,P0000000130-25,P00000001-198A,4,C,34.5,1.43300,0.27900,1.37500,2.87800,8.39200,2.45800
199,SIND0199,P0000000130-31,P00000001-199A,4,B,7.62,0.74500,1.14900,1.38800,0.98900,6.15800,6.49100
200,SIND0200,P0000000130-31A,P00000001-200A,4,B,34.5,0.93200,0.14100,0.15200,6.94800,9.55600,5.60300
201,SIND0201,P0000000130-31-4,P00000001-201A,3,CA,7.62,0.71100,0.40100,0.20200,0.99300,6.11200,8.53500
202,SIND0202,P0000000130-31-9,P00000001-202A,4,B,34.5,1.48200,0.30400,1.48800,2.78200,2.67300,5.55100
203,SIND0203,P0000000130-49,P00000001-203A,4,B,34.5,0.23000,0.28300,1.37900,7.53900,0.74500,7.26600
204,SIND0204,P0000000130-53,P00000001-204A,4,B,69,0.64600,0.06700,1.01900,5.69100,5.77900,2.96000
205,SIND0205,P0000000130-53-8,P00000001-205A,4,C,4.16,1.43900,1.44800,1.49800,6.66900,3.95700,3.13800
206,SIND0206,P0000000130-53-20,P00000001-206A,4,ABC,4.16,0.42200,1.04700,0.53500,9.67000,5.31000,2.19900
207,SIND0207,P0000000130-53-20F,P00000001-207A,1,B,7.62,0.99700,0.12300,0.21500,8.96900,9.17300,5.97000
208,SIND0208,P0000000130-53-24,P00000001-208A,4,BC,12.47,1.04700,0.58800,0.38800,7.37100,2.30800,0.49200
209,SIND0209,P0000000130-53-38,P00000001-209A,3,AB,69,0.86500,0.97700,0.99200,1.87000,7.59600,1.32100
210,SIND0210,P0000000130-53-44,P00000001-210A,1,CA,4.16,0.63700,0.01200,0.45800,4.26800,1.74900,1.27100
211,SIND0211,P0000000130-56,P00000001-211A,2,A,12.47,0.04500,0.30100,0.10000,6.59400,0.92100,3.69400
212,SIND0212,P0000000130-56-4,P00000001-212A,4,ABC,13.8,0.18100,0.91300,1.27000,6.31900,6.53200,9.84600
213,SIND0213,P0000000130-56-12,P00000001-213A,4,B,12.47,1.12300,0.59400,0.38900,9.98900,3.52500,7.34700
214,SIND0214,P0000000130-62,P00000001-214A,4,ABC,69,0.89900,0.86600,0.87700,8.28900,5.37800,7.97800
215,SIND0215,P0000000130-63,P00000001-215A,2,ABC,13.8,0.32000,0.19700,0.04100,4.68300,2.02600,8.68900
216,SIND0216,P0000000130-70,P00000001-216A,4,CA,7.62,0.75500,0.26400,0.48000,7.13300,4.41200,0.86900
217,SIND0217,P0000000130-88,P00000001-217A,4,ABC,23,1.14400,0.09100,0.27800,9.99700,3.99000,6.95100
218,SIND0218,P0000000130-88A,P00000001-218A,3,C,34.5,0.15900,1.21100,0.55900,5.11700,3.87500,1.59200
219,SIND0219,P0000000130-88A-18,P00000001-219A,4,CA,12.47,1.04900,1.03100,0.47800,9.78400,2.34500,0.54000
220,SIND0220,P0000000130-98,P00000001-220A,4,C,69,0.49600,0.90500,1.18400,9.85700,5.02900,8.46600
221,SIND0221,P0000000130-98A,P00000001-221A,4,CA,69,1.26500,0.77100,1.14400,3.18400,1.10000,5.08000
