Count,Shunt Capacitor ID,"Bus Connected 
(Bus ID)",Phase Type,Phasing,Voltage Rating (kV),KVAR Rating Phase A,KVAR Rating Phase B,KVAR Rating Phase C,Power Loss (Watts)
50,F0050,P0000000092-5,4,CA,7.62,350,250,700,4908.00000
51,F0051,P0000000092-7,4,BC,13.8,850,900,300,13283.00000
52,F0052,P0000000092-8,3,CA,23,750,800,150,8956.00000
53,F0053,P0000000092-9,4,CA,7.62,350,850,300,10251.00000
54,F0054,P0000000093,4,ABC,23,900,900,900,9439.00000
55,F0055,P0000000094,4,CA,12.47,100,400,250,6700.00000
56,F0056,P000000094A,4,CA,23,100,350,150,4254.00000
57,F0057,P000000094B,4,AB,34.5,150,750,650,6263.00000
58,F0058,P000000094C,1,CA,13.8,700,350,600,13997.00000
59,F0059,P0000000095,2,CA,4.16,450,750,50,7745.00000
60,F0060,P0000000095-7,1,C,23,550,100,700,4241.00000
61,F0061,P0000000099,1,AB,12.47,450,800,500,13416.00000
62,F0062,P0000000100,4,CA,13.8,650,450,900,11255.00000
63,F0063,P000000100A,4,CA,13.8,550,100,100,3977.00000
64,F0064,P000000100B,4,AB,13.8,400,300,100,6972.00000
65,F0065,P0000000100-1,4,CA,7.62,250,350,650,7554.00000
66,F0066,P0000000100-2,4,BC,7.62,550,300,100,3903.00000
67,F0067,P0000000100-6,3,ABC,12.47,900,900,900,23428.00000
68,F0068,P0000000100-6A,4,AB,13.8,150,350,350,8417.00000
69,F0069,P0000000100-7,1,BC,4.16,200,350,450,3457.00000
70,F0070,P0000000100-13,4,A,4.16,850,400,200,5387.00000
71,F0071,P0000000100-13m,4,AB,13.8,850,300,500,16257.00000
72,F0072,P0000000100-13ag,2,CA,34.5,50,400,250,2393.00000
73,F0073,P0000000100-13ag6,4,B,23,700,450,600,13976.00000
74,F0074,P0000000100-13ar,4,C,4.16,250,600,300,8542.00000
75,F0075,P0000000100-13ax,4,B,4.16,200,150,150,2377.00000
76,F0076,P0000000100-13ax15,1,A,7.62,650,850,600,8675.00000
77,F0077,P0000000100-13bj,4,ABC,12.47,450,450,450,7806.00000
78,F0078,P0000000100-16,4,ABC,13.8,350,350,350,8678.00000
79,F0079,P0000000100-20,4,AB,13.8,200,350,350,8410.00000
80,F0080,P0000000100-28,2,ABC,4.16,800,800,800,23478.00000
81,F0081,P0000000100-30,4,AB,34.5,350,350,850,13581.00000
82,F0082,P0000000100-30i,1,A,4.16,900,650,650,11639.00000
83,F0083,P0000000100-39,4,C,13.8,550,800,850,16859.00000
84,F0084,P0000000100-39h,4,BC,4.16,250,300,550,8391.00000
85,F0085,P0000000100-39X,2,ABC,4.16,850,850,850,20236.00000
86,F0086,P0000000100-42,4,ABC,13.8,800,800,800,14760.00000
87,F0087,P0000000100-43,4,C,7.62,750,750,550,8604.00000
88,F0088,P0000000100-50,4,C,12.47,700,350,700,10987.00000
89,F0089,P0000000100-55,4,C,13.8,400,500,550,9257.00000
90,F0090,P0000000100-55-4,4,A,13.8,300,850,750,11055.00000
91,F0091,P0000000100-58,1,CA,12.47,400,450,500,5701.00000
92,F0092,P0000000100-66,4,ABC,13.8,650,650,650,16115.00000
93,F0093,P0000000100-71,4,AB,13.8,700,350,300,8377.00000
94,F0094,P0000000100-71-3,4,ABC,7.62,750,750,750,12045.00000
95,F0095,P0000000100-72,4,BC,23,700,400,550,6645.00000
96,F0096,P0000000100-72M,1,ABC,13.8,700,700,700,18052.00000
97,F0097,P0000000100-72Q,4,BC,34.5,800,100,300,5495.00000
98,F0098,P0000000100-72Q8,4,CA,4.16,350,500,550,4208.00000
99,F0099,P0000000100-72Q8c,1,BC,12.47,700,550,850,7493.00000
100,F0100,P0000000100-72Q12,4,BC,23,200,900,150,5185.00000
101,F0101,P0000000100-72Y,4,BC,12.47,450,200,850,4724.00000
102,F0102,P0000000100-74,4,C,12.47,100,450,700,5303.00000
103,F0103,P0000000100-79,2,ABC,4.16,900,900,900,9698.00000
104,F0104,P0000000100-85,4,AB,13.8,650,900,150,13085.00000
105,F0105,P0000000102,4,CA,12.47,700,500,800,12813.00000
106,F0106,P0000000106,4,BC,13.8,850,900,850,25092.00000
107,F0107,P000000106A,4,A,12.47,700,900,350,16671.00000
108,F0108,P0000000106-1,4,B,13.8,100,100,200,3228.00000
109,F0109,P0000000106-2,2,B,23,600,850,350,16557.00000
110,F0110,P0000000108,4,AB,13.8,600,650,200,9289.00000
111,F0111,P0000000108-4,4,CA,7.62,700,700,850,20989.00000
112,F0112,P0000000108-4A,4,BC,12.47,50,350,700,8726.00000
113,F0113,P0000000108-4b,4,B,13.8,350,500,550,9535.00000
114,F0114,P0000000108-5,4,AB,13.8,200,750,400,11303.00000
115,F0115,P0000000108-7,4,C,7.62,300,450,900,15211.00000
116,F0116,P0000000108-7A,1,CA,4.16,600,850,300,11754.00000
117,F0117,P0000000108-8,4,AB,4.16,850,700,250,5431.00000
118,F0118,P0000000108-10,4,BC,12.47,150,750,500,8325.00000
119,F0119,P0000000108-11,4,B,4.16,150,750,550,13968.00000
120,F0120,P0000000108-12,4,A,12.47,600,850,250,11337.00000
121,F0121,P0000000108-12b,4,A,23,600,700,450,14443.00000
122,F0122,P0000000108-12f,4,ABC,13.8,600,600,600,17006.00000
123,F0123,P0000000108-12h,4,ABC,12.47,750,750,750,12941.00000
124,F0124,P0000000108-18,4,C,34.5,200,50,850,6333.00000
125,F0125,P0000000108-19,4,B,13.8,800,850,800,20125.00000
126,F0126,P0000000108-20,4,AB,7.62,150,350,500,5862.00000
127,F0127,P0000000108-20C,4,BC,13.8,150,550,800,14850.00000
128,F0128,P0000000108-20O,4,BC,12.47,200,800,650,12722.00000
129,F0129,P0000000108-21,4,BC,7.62,50,750,800,15208.00000
130,F0130,P0000000108-21b,4,C,7.62,300,600,50,7574.00000
131,F0131,P0000000108-24,4,AB,23,800,400,250,7849.00000
132,F0132,P0000000108-24A,1,C,34.5,400,750,150,7905.00000
133,F0133,P0000000108-24-1,2,CA,4.16,250,800,650,8360.00000
134,F0134,P0000000108-30,4,C,34.5,50,200,200,3819.00000
135,F0135,P0000000108-33,4,ABC,13.8,650,650,650,11289.00000
136,F0136,P0000000108-45,4,C,7.62,650,600,650,16975.00000
137,F0137,P0000000108-45H,4,C,4.16,800,200,900,13710.00000
138,F0138,P0000000108-45A,1,ABC,12.47,700,700,700,12117.00000
139,F0139,P0000000108-58,4,CA,4.16,550,400,300,7999.00000
140,F0140,P0000000108-58M,4,C,7.62,700,800,300,15690.00000
141,F0141,P0000000108-58R,4,AB,12.47,100,750,650,9367.00000
142,F0142,P0000000108-58R11,4,C,4.16,700,300,500,6824.00000
143,F0143,P0000000108-58AA,4,C,4.16,200,200,50,1574.00000
144,F0144,P0000000108-58AN,4,B,23,300,900,850,13532.00000
145,F0145,P0000000108-58AN9,4,ABC,7.62,150,150,150,1581.00000
146,F0146,P0000000108-58AO,4,B,23,500,450,550,7361.00000
147,F0147,P0000000108-58AO4,4,AB,7.62,700,500,850,16534.00000
148,F0148,P0000000108-58AV,4,ABC,7.62,700,700,700,8071.00000
149,F0149,P0000000108-59,4,CA,4.16,100,650,800,13020.00000
150,F0150,P0000000108-59A,4,B,7.62,450,400,600,9146.00000
151,F0151,P0000000108-59f,1,ABC,23,300,300,300,4770.00000
152,F0152,P0000000108-59j,4,A,34.5,550,850,650,16384.00000
153,F0153,P0000000108-59p,4,B,4.16,50,150,200,2369.00000
154,F0154,P0000000108-60,4,A,12.47,450,600,700,17122.00000
155,F0155,P0000000108-63,4,A,34.5,200,400,450,6977.00000
156,F0156,P0000000110,4,CA,34.5,650,600,450,10670.00000
157,F0157,P0000000111,4,AB,7.62,550,300,650,9290.00000
158,F0158,P000000111A,4,CA,34.5,450,750,350,14132.00000
159,F0159,P0000000112,4,B,34.5,650,650,200,5890.00000
160,F0160,P0000000113,4,BC,23,750,900,800,23135.00000
161,F0161,P0000000115,4,C,34.5,600,450,200,8222.00000
162,F0162,P000000115A,4,AB,34.5,750,550,450,5852.00000
163,F0163,P000000115B,4,A,12.47,600,850,300,15080.00000
164,F0164,P000000115C,4,B,34.5,700,300,400,10184.00000
165,F0165,P0000000115-4,4,C,34.5,200,550,850,13054.00000
166,F0166,P0000000116,4,AB,4.16,300,250,600,3752.00000
167,F0167,P0000000117,4,AB,13.8,300,100,400,6892.00000
168,F0168,P000000117B,4,CA,7.62,700,900,350,12902.00000
169,F0169,P0000000119,4,C,23,150,250,400,4163.00000
170,F0170,P0000000119-3,4,A,12.47,100,800,750,10196.00000
171,F0171,P0000000121,4,C,12.47,100,700,300,6578.00000
172,F0172,P000000121A,2,AB,4.16,350,450,650,11228.00000
173,F0173,P0000000122,4,B,13.8,100,450,550,8827.00000
174,F0174,P000000122A,4,AB,13.8,450,500,300,7358.00000
175,F0175,P0000000122-3,4,AB,7.62,600,850,850,19294.00000
176,F0176,P0000000122-3b,4,A,12.47,750,500,450,14153.00000
177,F0177,P0000000122-4,4,ABC,34.5,250,250,250,2712.00000
178,F0178,P0000000125,4,B,13.8,100,400,550,5505.00000
179,F0179,P000000125A,4,A,7.62,750,100,200,7575.00000
180,F0180,P0000000126,4,B,12.47,150,750,900,7934.00000
181,F0181,P0000000126-2,4,BC,13.8,450,150,800,9962.00000
182,F0182,P0000000126-6,4,B,12.47,550,650,400,8171.00000
183,F0183,P0000000126-8,4,B,12.47,150,600,150,6847.00000
184,F0184,P0000000126-8A,3,BC,7.62,250,550,250,5806.00000
185,F0185,P0000000126-8B,4,B,34.5,500,150,850,10479.00000
186,F0186,P0000000126-8B1,4,C,34.5,650,500,750,5710.00000
187,F0187,P0000000126-8a,2,A,34.5,550,650,900,9395.00000
188,F0188,P0000000126-8b,4,AB,34.5,500,500,300,10102.00000
189,F0189,P0000000126-10,3,B,23,50,50,100,705.00000
190,F0190,P0000000126-12,1,CA,34.5,550,650,750,16067.00000
191,F0191,P0000000128,3,BC,12.47,150,550,400,10047.00000
192,F0192,P0000000128-4,4,AB,12.47,750,450,300,11034.00000
193,F0193,P0000000128-4A,4,CA,4.16,550,800,200,10942.00000
194,F0194,P0000000129,1,AB,4.16,250,450,600,4208.00000
195,F0195,P0000000130,1,CA,13.8,150,500,850,6496.00000
196,F0196,P0000000130-16,3,BC,12.47,350,450,850,7768.00000
197,F0197,P0000000130-20,4,A,13.8,550,200,450,6803.00000
198,F0198,P0000000130-25,2,B,23,550,200,200,8309.00000
199,F0199,P0000000130-31,2,A,7.62,50,800,350,7178.00000
200,F0200,P0000000130-31A,4,CA,23,200,200,400,4085.00000
201,F0201,P0000000130-31-4,4,AB,12.47,500,150,600,5566.00000
202,F0202,P0000000130-31-9,4,A,12.47,100,900,250,7484.00000
203,F0203,P0000000130-49,4,A,23,550,450,300,12681.00000
204,F0204,P0000000130-53,4,ABC,12.47,150,150,150,2998.00000
205,F0205,P0000000130-53-8,2,A,12.47,400,250,250,8282.00000
206,F0206,P0000000130-53-20,4,A,12.47,300,850,550,14038.00000
207,F0207,P0000000130-53-20F,4,AB,4.16,400,450,750,8220.00000
208,F0208,P0000000130-53-24,4,C,13.8,500,450,150,6004.00000
209,F0209,P0000000130-53-38,4,BC,7.62,500,600,850,9992.00000
210,F0210,P0000000130-53-44,4,B,13.8,50,450,500,9031.00000
211,F0211,P0000000130-56,4,BC,23,350,100,300,3551.00000
212,F0212,P0000000130-56-4,4,AB,34.5,700,300,50,7371.00000
213,F0213,P0000000130-56-12,4,A,23,600,850,100,11858.00000
214,F0214,P0000000130-62,1,AB,23,350,500,700,8968.00000
215,F0215,P0000000130-63,2,AB,7.62,200,350,800,7691.00000
216,F0216,P0000000130-70,4,B,34.5,200,450,350,7471.00000
217,F0217,P0000000130-88,4,BC,34.5,450,800,550,10630.00000
218,F0218,P0000000130-88A,4,A,7.62,700,900,850,14660.00000
219,F0219,P0000000130-88A-18,4,A,12.47,600,400,450,5797.00000
220,F0220,P0000000130-98,1,B,12.47,150,400,650,6712.00000
221,F0221,P0000000130-98A,4,CA,13.8,400,550,150,8189.00000
222,F0222,P0000000130-117,4,AB,7.62,150,750,300,5080.00000
223,F0223,P0000000132,4,ABC,4.16,400,400,400,8860.00000
224,F0224,P0000000132-3,4,ABC,7.62,350,350,350,9744.00000
225,F0225,P0000000132-3B,4,ABC,23,200,200,200,5116.00000
226,F0226,P0000000132-3D,4,ABC,23,500,500,500,10946.00000
227,F0227,P0000000132-3D1,4,B,12.47,500,750,150,10809.00000
228,F0228,P0000000132-3E,4,ABC,13.8,750,750,750,21828.00000
229,F0229,P0000000132-3G,3,A,23,650,550,700,8239.00000
230,F0230,P0000000132-3H,4,BC,7.62,450,350,50,3339.00000
231,F0231,P0000000132-3H1,4,ABC,4.16,500,500,500,9737.00000
232,F0232,P0000000132-3I,1,C,13.8,450,200,750,11408.00000
233,F0233,P0000000132-5,2,C,23,800,750,700,15519.00000
234,F0234,P0000000132-9,4,A,34.5,450,550,300,9411.00000
235,F0235,P0000000132-14,4,B,34.5,750,50,550,4115.00000
236,F0236,P0000000134,4,BC,7.62,300,900,250,12786.00000
237,F0237,P0000000134-2,4,B,13.8,350,200,350,6222.00000
238,F0238,P0000000136,4,BC,34.5,500,200,50,3219.00000
239,F0239,P0000000137,4,B,23,250,700,250,3729.00000
