Count,Secondary Distribution Line ID,From Bus ID,To  Bus ID,Phasing,Installation Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) 
43,UBA0043,S0001-0017-004F,S0001-0017-004G,CN,1,75,ACSR,2,AWG
44,UBA0044,S0001-0017-004G,S0001-0017-004H,CN,1,67,ACSR,2,AWG
45,UBA0045,S0001-0017-004H,S0001-0017-004I,CN,1,62,ACSR,2,AWG
46,UBA0046,S0001-0017-004I,S0001-0017-004J,CN,1,42,ACSR,2,AWG
47,UBA0047,S0001-0017-004J,S0001-0017-004K,CN,1,70,ACSR,2,AWG
48,UBA0048,S0001-0017-004K,S0001-0017-004L,CN,1,99,ACSR,2,AWG
49,UBA0049,S0001-0017-004L,S0001-0017-004M,CN,1,121,ACSR,2,AWG
50,UBA0050,S0001-0017-004M,S0001-0017-004N,CN,1,101,ACSR,2,AWG
51,UBA0051,S0001-0017-004N,S0001-0017-004O,CN,1,85,ACSR,2,AWG
52,UBA0052,S0001-0017-004O,S0001-0017-004P,CN,1,59,ACSR,2,AWG
53,UBA0053,S0001-0017-004P,S0001-0017-004Q,CN,1,68,ACSR,2,AWG
54,UBA0054,S0001-0017-004Q,S0001-0017-004R,CN,1,94,ACSR,2,AWG
55,UBA0055,S0001-0017-004R,S0001-0017-004S,CN,1,80,ACSR,2,AWG
56,OSA0056,S0001-0017-02d1,S0001-0017-02d2,CN,2,69,ACSR,2,AWG
57,OSA0057,S0001-0017-02d2,S0001-0017-02d3,CN,2,79,ACSR,2,AWG
58,UBA0059,DT00000001-19-10,S001-19-10-0005,CN,1,1,ACSR,2,AWG
59,UBA0060,S001-19-10-0002,S001-19-10-0001,CN,1,98,ACSR,2,AWG
60,UBA0061,S001-19-10-0003,S001-19-10-0002,CN,1,113,ACSR,2,AWG
61,UBA0062,S001-19-10-0004,S001-19-10-0003,CN,1,103,ACSR,2,AWG
62,UBA0063,S001-19-10-0005,S001-19-10-0006,CN,1,80,ACSR,2,AWG
63,UBA0064,S001-19-10-0005,S001-19-10-0004,CN,1,69,ACSR,2,AWG
64,UBA0065,S001-19-10-0006,S001-19-10-0007,CN,1,79,ACSR,2,AWG
65,UBA0066,S001-19-10-0007,S001-19-10-0008,CN,1,70,ACSR,2,AWG
66,UBA0067,S001-19-10-0008,S001-19-10-0009,CN,1,62,ACSR,2,AWG
67,UBA0068,S001-19-10-0009,S001-19-10-0010,CN,1,74,ACSR,2,AWG
68,UBA0069,S001-19-10-0010,S001-19-10-0011,CN,1,106,ACSR,2,AWG
69,UBA0070,S001-19-10-0011,S001-19-10-0012,CN,1,58,ACSR,2,AWG
70,UBA0071,S001-19-10-0012,S001-19-10-0013,CN,1,61,ACSR,2,AWG
71,UBA0072,DT00000001-19-38,S001-19-38-0015,CN,1,1,ACSR,2,AWG
72,UBA0073,S001-19-38-0002,S001-19-38-0001,CN,1,90,ACSR,2,AWG
73,UBA0074,S001-19-38-0003,S001-19-38-0002,CN,1,63,ACSR,2,AWG
74,UBA0075,S001-19-38-0004,S001-19-38-0003,CN,1,59,ACSR,2,AWG
75,UBA0076,S001-19-38-0005,S001-19-38-0004,CN,1,55,ACSR,2,AWG
76,UBA0077,S001-19-38-0006,S001-19-38-0005,CN,1,59,ACSR,2,AWG
77,UBA0078,S001-19-38-0007,S001-19-38-0006,CN,1,74,ACSR,2,AWG
78,UBA0079,S001-19-38-0008,S001-19-38-0007,CN,1,63,ACSR,2,AWG
79,OSA0080,S001-19-38-0009,S001-19-38-0008,CN,2,63,ACSR,2,AWG
80,OSA0081,S001-19-38-0010,S001-19-38-0009,CN,2,60,ACSR,2,AWG
81,OSA0082,S001-19-38-0011,S001-19-38-0010,CN,2,71,ACSR,2,AWG
82,OSA0083,S001-19-38-0012,S001-19-38-0011,CN,2,70,ACSR,2,AWG
83,OSA0084,S001-19-38-0013,S001-19-38-0012,CN,2,80,ACSR,2,AWG
84,OSA0085,S001-19-38-0014,S001-19-38-0013,CN,2,58,ACSR,2,AWG
85,UBA0086,S001-19-38-0015,S001-19-38-0016,CN,1,75,ACSR,2,AWG
86,OSA0087,S001-19-38-0015,S001-19-38-0014,CN,2,67,ACSR,2,AWG
87,UBA0088,S001-19-38-0016,S001-19-38-0017,CN,1,62,ACSR,2,AWG
88,UBA0089,S001-19-38-0017,S001-19-38-0018,CN,1,42,ACSR,2,AWG
89,UBA0090,S001-19-38-0018,S001-19-38-0019,CN,1,70,ACSR,2,AWG
90,UBA0091,S001-19-38-0019,S001-19-38-0020,CN,1,99,ACSR,2,AWG
91,UBA0092,S001-19-38-0020,S001-19-38-0021,CN,1,121,ACSR,2,AWG
92,UBA0093,S001-19-38-0021,S001-19-38-0022,CN,1,101,ACSR,2,AWG
93,UBA0094,S001-19-38-0022,S001-19-38-0023,CN,1,117,ACSR,2,AWG
94,UBA0095,S001-19-38-0023,S001-19-38-0024,CN,1,76,ACSR,2,AWG
95,UBA0096,S001-19-38-0024,S001-19-38-0025,CN,1,106,ACSR,2,AWG
96,UBA0097,S001-19-38-0025,S001-19-38-0026,CN,1,110,ACSR,2,AWG
97,UBA0098,S001-19-38-0026,S001-19-38-0027,CN,1,85,ACSR,2,AWG
98,UBA0099,S001-19-38-0027,S001-19-38-0028,CN,1,59,ACSR,2,AWG
99,UBA0100,S001-19-38-0028,S001-19-38-0029,CN,1,68,ACSR,2,AWG
100,UBA0101,S001-19-38-0029,S001-19-38-0030,CN,1,94,ACSR,2,AWG
101,UBA0102,S001-19-38-0030,S001-19-38-0031,CN,1,116,ACSR,2,AWG
102,OSA0103,S001-19-38-0031,S001-19-38-0032,CN,2,96,ACSR,2,AWG
103,OSA0104,S001-19-38-0032,S001-19-38-0033,CN,2,109,ACSR,2,AWG
104,OSA0105,S001-19-38-0033,S001-19-38-0034,CN,2,102,ACSR,2,AWG
105,UBA0106,DT0000000009,S000009-0000008,AN,1,1,ACSR,2,AWG
106,UBA0107,S000009-0000002,S000009-0000001,AN,1,27,ACSR,2,AWG
107,UBA0108,S000009-0000003,S000009-0000002,AN,1,57,ACSR,2,AWG
108,UBA0109,S000009-0000004,S000009-0000003,AN,1,83,ACSR,2,AWG
109,UBA0110,S000009-0000005,S000009-0000004,AN,1,91,ACSR,2,AWG
110,UBA0111,S000009-0000006,S000009-0000005,AN,1,69,ACSR,2,AWG
111,OSA0112,S000009-0000007,S000009-000007a,AN,2,69,ACSR,2,AWG
112,UBA0113,S000009-0000007,S000009-0000006,AN,1,65,ACSR,2,AWG
113,OSA0114,S000009-0000008,S000009-000008a,AN,2,65,ACSR,2,AWG
114,UBA0115,S000009-0000008,S000009-0000009,AN,1,65,ACSR,2,AWG
115,UBA0116,S000009-0000009,S000009-0000010,AN,1,77,ACSR,2,AWG
116,UBA0117,S000009-0000010,S000009-0000011,AN,1,78,ACSR,2,AWG
117,UBA0118,S000009-0000011,S000009-0000007,AN,1,73,ACSR,2,AWG
118,OSA0119,S000009-000008a,S000009-000008b,AN,2,85,ACSR,2,AWG
119,OSA0120,S000009-000008b,S000009-000008c,AN,2,59,ACSR,2,AWG
120,OSA0121,S000009-000008c,S000009-00008c1,AN,2,68,ACSR,2,AWG
121,OSA0122,S000009-000008c,S000009-000008d,AN,2,94,ACSR,2,AWG
122,OSA0123,S000009-000008d,S000009-000008e,AN,2,75,ACSR,2,AWG
123,OSA0124,S000009-000008e,S000009-000008f,AN,2,67,ACSR,2,AWG
124,OSA0125,S000009-000008f,S000009-000008g,AN,2,62,ACSR,2,AWG
125,UBA0126,DT0000000013,S000013-0000001,CN,1,42,ACSR,2,AWG
126,UBA0127,DT0000000015,S000015-0000004,AN,1,1,ACSR,2,AWG
127,UBA0128,S000015-0000002,S000015-0000001,AN,1,77,ACSR,2,AWG
128,UBA0129,S000015-0000003,S000015-0000002,AN,1,81,ACSR,2,AWG
129,OSA0130,S000015-0000004,S000015-000004A,AN,2,20,ACSR,2,AWG
130,UBA0131,S000015-0000004,S000015-0000005,AN,1,83,ACSR,2,AWG
131,UBA0132,S000015-0000004,S000015-0000003,AN,1,102,ACSR,2,AWG
132,OSA0133,S000015-0000005,S000015-000005a,AN,2,83,ACSR,2,AWG
133,UBA0134,S000015-0000005,S000015-0000006,AN,1,49,ACSR,2,AWG
134,UBA0135,S000015-0000006,S000015-0000007,AN,1,69,ACSR,2,AWG
135,UBA0136,S000015-0000007,S000015-0000008,AN,1,88,ACSR,2,AWG
136,OSA0137,S000015-000004A,S000015-000004B,AN,2,39,ACSR,2,AWG
137,OSA0138,S000015-000004B,S000015-000004C,AN,2,56,ACSR,2,AWG
138,OSA0139,S000015-000004C,S000015-000004D,AN,2,58,ACSR,2,AWG
139,OSA0140,S000015-000004D,S000015-000004E,AN,2,63,ACSR,2,AWG
140,OSA0141,S000015-000004E,S000015-000004F,AN,2,66,ACSR,2,AWG
141,OSA0142,S000015-000004F,S000015-000004G,AN,2,62,ACSR,2,AWG
142,OSA0143,S000015-000004G,S000015-000004H,AN,2,67,ACSR,2,AWG
143,UBA0144,DT0000000016-13,S0016-0013-0011,BN,1,1,ACSR,2,AWG
144,OSA0145,S0016-0013-0001,S0016-0013-001A,BN,2,92,ACSR,2,AWG
145,UBA0146,S0016-0013-0002,S0016-0013-0001,BN,1,84,ACSR,2,AWG
146,UBA0147,S0016-0013-0003,S0016-0013-0002,BN,1,68,ACSR,2,AWG
147,UBA0148,S0016-0013-0004,S0016-0013-0003,BN,1,45,ACSR,2,AWG
148,UBA0149,S0016-0013-0005,S0016-0013-0004,BN,1,68,ACSR,2,AWG
149,UBA0150,S0016-0013-0006,S0016-0013-0005,BN,1,73,ACSR,2,AWG
150,UBA0151,S0016-0013-0007,S0016-0013-0006,BN,1,60,ACSR,2,AWG
151,UBA0152,S0016-0013-0008,S0016-0013-0007,BN,1,94,ACSR,2,AWG
152,UBA0153,S0016-0013-0009,S0016-0013-0008,BN,1,67,ACSR,2,AWG
153,UBA0154,S0016-0013-0010,S0016-0013-0009,BN,1,73,ACSR,2,AWG
154,OSA0155,S0016-0013-0011,S0016-0013-011A,BN,2,51,ACSR,2,AWG
155,UBA0156,S0016-0013-0011,S0016-0013-0012,BN,1,56,ACSR,2,AWG
156,UBA0157,S0016-0013-0011,S0016-0013-0010,BN,1,74,ACSR,2,AWG
157,UBA0158,S0016-0013-0012,S0016-0013-0013,BN,1,65,ACSR,2,AWG
158,UBA0159,S0016-0013-0013,S0016-0013-0014,BN,1,78,ACSR,2,AWG
159,UBA0160,S0016-0013-0014,S0016-0013-0015,BN,1,59,ACSR,2,AWG
160,UBA0161,S0016-0013-0015,S0016-0013-0016,BN,1,81,ACSR,2,AWG
161,UBA0162,S0016-0013-0016,S0016-0013-0017,BN,1,111,ACSR,2,AWG
162,UBA0163,S0016-0013-0017,S0016-0013-0018,BN,1,63,ACSR,2,AWG
163,UBA0164,S0016-0013-0018,S0016-0013-0019,BN,1,86,ACSR,2,AWG
164,UBA0165,S0016-0013-0019,S0016-0013-0020,BN,1,139,ACSR,2,AWG
165,OSA0166,S0016-0013-0020,S0016-0013-020A,BN,2,37,ACSR,2,AWG
166,UBA0167,S0016-0013-0020,S0016-0013-0021,BN,1,68,ACSR,2,AWG
167,UBA0168,S0016-0013-0021,S0016-0013-0022,BN,1,76,ACSR,2,AWG
168,UBA0169,S0016-0013-0022,S0016-0013-0023,BN,1,83,ACSR,2,AWG
169,UBA0170,S0016-0013-0023,S0016-0013-0024,BN,1,58,ACSR,2,AWG
170,UBA0171,S0016-0013-0024,S0016-0013-0025,BN,1,65,ACSR,2,AWG
171,UBA0172,S0016-0013-0025,S0016-0013-0026,BN,1,64,ACSR,2,AWG
172,UBA0173,S0016-0013-0026,S0016-0013-0027,BN,1,96,ACSR,2,AWG
173,UBA0174,S0016-0013-0027,S0016-0013-0028,BN,1,104,ACSR,2,AWG
174,UBA0175,S0016-0013-0028,S0016-0013-0029,BN,1,66,ACSR,2,AWG
175,UBA0176,S0016-0013-0029,S0016-0013-0030,BN,1,67,ACSR,2,AWG
176,UBA0177,S0016-0013-0030,S0016-0013-0031,BN,1,83,ACSR,2,AWG
177,UBA0178,S0016-0013-0031,S0016-0013-0032,BN,1,113,ACSR,2,AWG
178,UBA0179,S0016-0013-0032,S0016-0013-0033,BN,1,95,ACSR,2,AWG
179,OSA0180,S0016-0013-011A,S0016-0013-011B,BN,2,84,ACSR,2,AWG
180,OSA0181,S0016-0013-020A,S0016-0013-020B,BN,2,64,ACSR,2,AWG
181,OSA0182,S0016-0013-020B,S0016-0013-020C,BN,2,43,ACSR,2,AWG
182,OSA0183,S0016-0013-020C,S0016-0013-020D,BN,2,53,ACSR,2,AWG
183,UBA0184,DT0000000025,S000025-0000005,AN,1,1,ACSR,2,AWG
184,UBA0185,S000025-0000002,S000025-0000001,AN,1,106,ACSR,2,AWG
185,OSA0186,S000025-0000003,S000025-000003A,AN,2,62,ACSR,2,AWG
186,UBA0187,S000025-0000003,S000025-0000002,AN,1,75,ACSR,2,AWG
187,UBA0188,S000025-0000004,S000025-0000003,AN,1,62,ACSR,2,AWG
188,UBA0189,S000025-0000005,S000025-0000006,AN,1,69,ACSR,2,AWG
189,UBA0190,S000025-0000005,S000025-0000004,AN,1,64,ACSR,2,AWG
190,OSA0191,S000025-0000006,S000025-000006A,AN,2,64,ACSR,2,AWG
191,UBA0192,S000025-0000006,S000025-0000007,AN,1,72,ACSR,2,AWG
192,UBA0193,S000025-0000007,S000025-0000008,AN,1,94,ACSR,2,AWG
193,UBA0194,S000025-0000008,S000025-0000009,AN,1,89,ACSR,2,AWG
194,UBA0195,S000025-0000009,S000025-0000010,AN,1,92,ACSR,2,AWG
195,UBA0196,S000025-0000010,S000025-0000011,AN,1,69,ACSR,2,AWG
196,UBA0197,S000025-0000011,S000025-0000012,AN,1,65,ACSR,2,AWG
197,OSA0198,S000025-000003A,S000025-000003B,AN,2,69,ACSR,2,AWG
198,UBA0199,DT0000000034,S000034-0000001,CN,1,69,ACSR,2,AWG
199,UBA0200,DT0000000034-7A,S0034-007A-0002,BN,1,1,ACSR,2,AWG
200,UBA0201,DT0000000034-9a,S0034-009a-0002,BN,1,1,ACSR,2,AWG
201,UBA0202,DT0000000034-18,S0034-0018-0008,BN,1,1,ACSR,2,AWG
202,UBA0203,DT0000000034-29,S0034-0029-0005,BN,1,1,ACSR,2,AWG
203,UBA0204,S0034-0018-0002,S0034-0018-0001,BN,1,80,ACSR,2,AWG
204,UBA0205,S0034-0018-0003,S0034-0018-0002,BN,1,110,ACSR,2,AWG
205,UBA0206,S0034-0018-0004,S0034-0018-0003,BN,1,71,ACSR,2,AWG
206,UBA0207,S0034-0018-0005,S0034-0018-0004,BN,1,103,ACSR,2,AWG
207,UBA0208,S0034-0018-0006,S0034-0018-0005,BN,1,91,ACSR,2,AWG
208,UBA0209,S0034-0018-0007,S0034-0018-0006,BN,1,70,ACSR,2,AWG
209,UBA0210,S0034-0018-0008,S0034-0018-0009,BN,1,110,ACSR,2,AWG
210,UBA0211,S0034-0018-0008,S0034-0018-0007,BN,1,76,ACSR,2,AWG
211,UBA0212,S0034-0018-0009,S0034-0018-0010,BN,1,94,ACSR,2,AWG
212,OSA0213,S0034-0018-0010,S0034-0018-010A,BN,2,77,ACSR,2,AWG
213,UBA0214,S0034-0018-0010,S0034-0018-0011,BN,1,109,ACSR,2,AWG
214,UBA0215,S0034-0018-0011,S0034-0018-0012,BN,1,83,ACSR,2,AWG
215,UBA0216,S0034-0018-0012,S0034-0018-0013,BN,1,79,ACSR,2,AWG
216,UBA0217,S0034-0018-0013,S0034-0018-0014,BN,1,95,ACSR,2,AWG
217,UBA0218,S0034-0018-0014,S0034-0018-0015,BN,1,74,ACSR,2,AWG
218,UBA0219,S0034-0018-0015,S0034-0018-0016,BN,1,88,ACSR,2,AWG
219,UBA0220,S0034-0018-0016,S0034-0018-0017,BN,1,87,ACSR,2,AWG
220,UBA0221,S0034-0018-0017,S0034-0018-0018,BN,1,106,ACSR,2,AWG
221,UBA0222,S0034-0018-0018,S0034-0018-0019,BN,1,106,ACSR,2,AWG
222,OSA0223,S0034-0018-010A,S0034-0018-010B,BN,2,25,ACSR,2,AWG
223,OSA0224,S0034-0018-010B,S0034-0018-010C,BN,2,18,ACSR,2,AWG
224,UBA0225,S0034-0029-0002,S0034-0029-0001,BN,1,57,ACSR,2,AWG
225,UBA0226,S0034-0029-0003,S0034-0029-0002,BN,1,85,ACSR,2,AWG
226,UBA0227,S0034-0029-0004,S0034-0029-0003,BN,1,72,ACSR,2,AWG
227,OSA0228,S0034-0029-0005,S0034-0029-005A,BN,2,64,ACSR,2,AWG
228,UBA0229,S0034-0029-0005,S0034-0029-0006,BN,1,50,ACSR,2,AWG
229,UBA0230,S0034-0029-0005,S0034-0029-0004,BN,1,75,ACSR,2,AWG
230,UBA0231,S0034-0029-0006,S0034-0029-0007,BN,1,87,ACSR,2,AWG
231,OSA0232,S0034-0029-005A,S0034-0029-005B,BN,2,72,ACSR,2,AWG
232,OSA0233,S0034-007A-0001,S0034-007A-001a,BN,2,89,ACSR,2,AWG
233,OSA0234,S0034-007A-0002,S0034-007A-002A,BN,2,23,ACSR,2,AWG
234,UBA0235,S0034-007A-0002,S0034-007A-0003,BN,1,49,ACSR,2,AWG
235,UBA0236,S0034-007A-0002,S0034-007A-0001,BN,1,38,ACSR,2,AWG
236,OSA0237,S0034-007A-002A,S0034-007A-002B,BN,2,21,ACSR,2,AWG
237,UBA0238,S0034-007A-002B,S0034-007A-02B1,BN,1,46,ACSR,2,AWG
238,OSA0239,S0034-007A-002B,S0034-007A-002C,BN,2,24,ACSR,2,AWG
239,OSA0240,S0034-007A-002C,S0034-007A-002D,BN,2,39,ACSR,2,AWG
240,OSA0241,S0034-007A-002D,S0034-007A-002E,BN,2,23,ACSR,2,AWG
241,UBA0242,S0034-007A-02B1,S0034-007A-02B2,BN,1,27,ACSR,2,AWG
242,UBA0243,S0034-007A-02B2,S0034-007A-02B3,BN,1,28,ACSR,2,AWG
243,OSA0244,S0034-009a-0002,S0034-009a-002a,BN,2,143,ACSR,2,AWG
244,UBA0245,S0034-009a-0002,S0034-009a-0003,BN,1,49,ACSR,2,AWG
245,UBA0246,S0034-009a-0002,S0034-009a-0001,BN,1,46,ACSR,2,AWG
246,UBA0247,S0034-009a-0003,S0034-009a-0004,BN,1,34,ACSR,2,AWG
247,UBA0248,S0034-009a-0004,S0034-009a-0005,BN,1,50,ACSR,2,AWG
248,UBA0249,S0034-009a-0005,S0034-009a-0006,BN,1,28,ACSR,2,AWG
249,UBA0250,S0034-009a-0006,S0034-009a-0007,BN,1,50,ACSR,2,AWG
250,OSA0251,S0034-009a-002a,S0034-009a-002b,BN,2,78,ACSR,2,AWG
251,OSA0252,S0034-009a-002b,S0034-009a-002c,BN,2,98,ACSR,2,AWG
252,OSA0253,S0034-009a-002c,S0034-009a-002d,BN,2,81,ACSR,2,AWG
253,UBA0254,DT0000000038,S000038-0000005,AN,1,1,ACSR,2,AWG
254,OSA0255,S000038-0000001,S000038-000001A,AN,2,71,ACSR,2,AWG
255,UBA0256,S000038-0000002,S000038-0000001,AN,1,62,ACSR,2,AWG
256,UBA0257,S000038-0000003,S000038-0000002,AN,1,83,ACSR,2,AWG
257,UBA0258,S000038-0000004,S000038-0000003,AN,1,60,ACSR,2,AWG
258,UBA0259,S000038-0000005,S000038-0000006,AN,1,105,ACSR,2,AWG
259,UBA0260,S000038-0000005,S000038-0000004,AN,1,103,ACSR,2,AWG
260,OSA0261,S000038-0000006,S000038-000006a,AN,2,103,ACSR,2,AWG
261,UBA0262,S000038-0000006,S000038-0000007,AN,1,68,ACSR,2,AWG
262,UBA0263,S000038-0000007,S000038-0000008,AN,1,66,ACSR,2,AWG
263,UBA0264,S000038-0000008,S000038-0000009,AN,1,68,ACSR,2,AWG
264,OSA0265,S000038-0000009,S000038-000009a,AN,2,84,ACSR,2,AWG
265,OSA0266,S000038-000001A,S000038-000001B,AN,2,79,ACSR,2,AWG
266,OSA0267,S000038-000001B,S000038-000001C,AN,2,84,ACSR,2,AWG
267,OSA0268,S000038-000001C,S000038-000001D,AN,2,86,ACSR,2,AWG
268,OSA0269,S000038-000001D,S000038-000001E,AN,2,88,ACSR,2,AWG
269,OSA0270,S000038-000001E,S000038-000001F,AN,2,116,ACSR,2,AWG
270,UBA0271,DT0000000044-29,S0044-0029-0020,AN,1,1,ACSR,2,AWG
271,UBA0272,DT0000000044-64,S0044-0064-0013,AN,1,1,ACSR,2,AWG
272,UBA0273,S0044-0029-0002,S0044-0029-0001,AN,1,70,ACSR,2,AWG
273,UBA0274,S0044-0029-0003,S0044-0029-0002,AN,1,56,ACSR,2,AWG
274,UBA0275,S0044-0029-0004,S0044-0029-0003,AN,1,52,ACSR,2,AWG
275,UBA0276,S0044-0029-0005,S0044-0029-0004,AN,1,73,ACSR,2,AWG
276,UBA0277,S0044-0029-0006,S0044-0029-0005,AN,1,48,ACSR,2,AWG
277,UBA0278,S0044-0029-0007,S0044-0029-0006,AN,1,65,ACSR,2,AWG
278,UBA0279,S0044-0029-0008,S0044-0029-0007,AN,1,77,ACSR,2,AWG
279,UBA0280,S0044-0029-0009,S0044-0029-0008,AN,1,147,ACSR,2,AWG
280,UBA0281,S0044-0029-0010,S0044-0029-0009,AN,1,111,ACSR,2,AWG
281,UBA0282,S0044-0029-0011,S0044-0029-0010,AN,1,73,ACSR,2,AWG
282,UBA0283,S0044-0029-0012,S0044-0029-0011,AN,1,74,ACSR,2,AWG
283,UBA0284,S0044-0029-0013,S0044-0029-0012,AN,1,76,ACSR,2,AWG
284,UBA0285,S0044-0029-0014,S0044-0029-0013,AN,1,103,ACSR,2,AWG
285,UBA0286,S0044-0029-0015,S0044-0029-0014,AN,1,67,ACSR,2,AWG
286,UBA0287,S0044-0029-0016,S0044-0029-0015,AN,1,60,ACSR,2,AWG
287,UBA0288,S0044-0029-0017,S0044-0029-0016,AN,1,96,ACSR,2,AWG
288,UBA0289,S0044-0029-0018,S0044-0029-0017,AN,1,103,ACSR,2,AWG
289,OSA0290,S0044-0029-0019,S0044-0029-019A,AN,2,99,ACSR,2,AWG
290,UBA0291,S0044-0029-0019,S0044-0029-0018,AN,1,178,ACSR,2,AWG
291,UBA0292,S0044-0029-0020,S0044-0029-0021,AN,1,105,ACSR,2,AWG
292,UBA0293,S0044-0029-0020,S0044-0029-0019,AN,1,108,ACSR,2,AWG
293,UBA0294,S0044-0029-0021,S0044-0029-0022,AN,1,106,ACSR,2,AWG
294,UBA0295,S0044-0029-0022,S0044-0029-0023,AN,1,94,ACSR,2,AWG
295,UBA0296,S0044-0029-0023,S0044-0029-0024,AN,1,93,ACSR,2,AWG
296,UBA0297,S0044-0029-0024,S0044-0029-0025,AN,1,55,ACSR,2,AWG
297,UBA0298,S0044-0029-0025,S0044-0029-0026,AN,1,67,ACSR,2,AWG
298,UBA0299,S0044-0029-0026,S0044-0029-0027,AN,1,48,ACSR,2,AWG
299,UBA0300,S0044-0029-0027,S0044-0029-0028,AN,1,53,ACSR,2,AWG
300,UBA0301,S0044-0029-0028,S0044-0029-0029,AN,1,57,ACSR,2,AWG
301,UBA0302,S0044-0029-0029,S0044-0029-0030,AN,1,59,ACSR,2,AWG
302,UBA0303,S0044-0029-0030,S0044-0029-0031,AN,1,70,ACSR,2,AWG
303,UBA0304,S0044-0029-0031,S0044-0029-0032,AN,1,65,ACSR,2,AWG
304,UBA0305,S0044-0029-0032,S0044-0029-0033,AN,1,61,ACSR,2,AWG
305,UBA0306,S0044-0029-0033,S0044-0029-0034,AN,1,70,ACSR,2,AWG
306,UBA0307,S0044-0029-0034,S0044-0029-0035,AN,1,63,ACSR,2,AWG
307,UBA0308,S0044-0029-0035,S0044-0029-0036,AN,1,50,ACSR,2,AWG
