Count,Secondary Customer Service Drop ID,"From 
Bus ID","To  
Customer ID",Phasing,Installation Type,Length-1         (meters),Length-2         (meters),Conductor Type,"Conductor
Size",Unit (C) 
23,KSA2020010126,S000100-0000004,2020010126,AN,1,0.5,0,CU,10,AWG
24,KSA2020010130,S000100-0000004,2020010130,AN,1,0.5,0,CU,10,AWG
25,KSA2020010132,S000100-0000003,2020010132,AN,1,0.5,0,CU,10,AWG
26,KSA2020010133,S000100-0000003,2020010133,AN,1,0.5,0,CU,10,AWG
27,KSA2020010140,S000100-0000004,2020010140,AN,1,0.5,0,CU,10,AWG
28,KSA2020010145,S000100-0000004,2020010145,AN,1,0.5,0,CU,10,AWG
29,KSA2020010150,S000100-0000004,2020010150,AN,1,0.5,0,CU,10,AWG
30,KSA2020010160,S000100-0000004,2020010160,AN,1,0.5,0,CU,10,AWG
31,KSA2020010170,S000100-0000004,2020010170,AN,1,0.5,0,CU,10,AWG
32,KSA2020010171,S000100-0000004,2020010171,AN,1,0.5,0,CU,10,AWG
33,KSA2020010175,S0108-004b-002B,2020010175,AN,1,0.5,0,CU,10,AWG
34,KSA2020010180,S000100-0000004,2020010180,AN,1,0.5,0,CU,10,AWG
35,KSA2020010185,S000100-0000004,2020010185,AN,1,0.5,0,CU,10,AWG
36,KSA2020010195,S000100-0000005,2020010195,AN,1,0.5,0,CU,10,AWG
37,KSA2020010210,S000100-0000006,2020010210,AN,1,0.5,0,CU,10,AWG
38,KSA2020010215,S0108-004b-002A,2020010215,AN,1,0.5,0,CU,10,AWG
39,KSA2020010220,S000100-0000006,2020010220,AN,1,0.5,0,CU,10,AWG
40,KSA2020010221,S000100-0000006,2020010221,AN,1,0.5,0,CU,10,AWG
41,KSA2020010235,S0108-0004-0004,2020010235,CN,1,0.5,0,CU,10,AWG
42,KSA2020010240,S000100-0000006,2020010240,AN,1,0.5,0,CU,10,AWG
43,KSA2020010245,S000100-000007A,2020010245,AN,1,0.5,0,CU,10,AWG
44,KSA2020010250,S000100-000007A,2020010250,AN,1,0.5,0,CU,10,AWG
45,KSA2020010255,S000100-000007A,2020010255,AN,1,0.5,0,CU,10,AWG
46,KSA2020010260,S000100-0000007,2020010260,AN,1,0.5,0,CU,10,AWG
47,KSA2020010270,S000100-0000007,2020010270,AN,1,0.5,0,CU,10,AWG
48,KSA2020010275,S000100-000007A,2020010275,AN,1,0.5,0,CU,10,AWG
49,KSA2020010280,S000100-0000007,2020010280,AN,1,0.5,0,CU,10,AWG
50,KSA2020010283,S0100-0006-0001,2020010283,CN,1,0.5,0,CU,10,AWG
51,KSA2020010290,S000100-0000008,2020010290,AN,1,0.5,0,CU,10,AWG
52,KSA2020010295,S000100-0000007,2020010295,AN,1,0.5,0,CU,10,AWG
53,KSA2020010296,S0100-0006-0001,2020010296,CN,1,0.5,0,CU,10,AWG
54,KSA2020010300,S000100-0000008,2020010300,AN,1,0.5,0,CU,10,AWG
55,KSA2020010310,S000100-0000008,2020010310,AN,1,0.5,0,CU,10,AWG
56,KSA2020010315,S000100-000007A,2020010315,AN,1,0.5,0,CU,10,AWG
57,KSA2020010320,S000100-0000008,2020010320,AN,1,0.5,0,CU,10,AWG
58,KSA2020010321,S000100-0000008,2020010321,AN,1,0.5,0,CU,10,AWG
59,KSA2020010325,S000100-000007A,2020010325,AN,1,0.5,0,CU,10,AWG
60,KSA2020010330,S000100-0000008,2020010330,AN,1,0.5,0,CU,10,AWG
61,KSA2020010340,S000100-0000008,2020010340,AN,1,0.5,0,CU,10,AWG
62,KSA2020010350,S000100-0000008,2020010350,AN,1,0.5,0,CU,10,AWG
63,KSA2020010360,S000100-0000008,2020010360,AN,1,0.5,0,CU,10,AWG
64,KSA2020010366,S000100-0000008,2020010366,AN,1,0.5,0,CU,10,AWG
65,KSA2020010368,S000100-0000008,2020010368,AN,1,0.5,0,CU,10,AWG
66,KSA2020010375,S000100-0000008,2020010375,AN,1,0.5,0,CU,10,AWG
67,KSA2020010380,S000100-0000008,2020010380,AN,1,0.5,0,CU,10,AWG
68,KSA2020010385,S000106-0000008,2020010385,AN,1,0.5,0,CU,10,AWG
69,KSA2020010390,S000100-0000009,2020010390,AN,1,0.5,0,CU,10,AWG
70,KSA2020010395,S0108-004b-002b,2020010395,AN,1,0.5,0,CU,10,AWG
71,KSA2020010400,S000100-0000009,2020010400,AN,1,0.5,0,CU,10,AWG
72,KSA2020010405,S0108-0010-0002,2020010405,CN,1,0.5,0,CU,10,AWG
73,KSA2020010410,S000100-0000009,2020010410,AN,1,0.5,0,CU,10,AWG
74,KSA2020010415,S0108-0010-0002,2020010415,CN,1,0.5,0,CU,10,AWG
75,KSA2020010420,S000100-000009a,2020010420,AN,1,0.5,0,CU,10,AWG
76,KSA2020010425,S0108-004b-002d,2020010425,AN,1,0.5,0,CU,10,AWG
77,KSA2020010430,S000100-000009a,2020010430,AN,1,0.5,0,CU,10,AWG
78,KSA2020010435,S0108-004b-002c,2020010435,AN,1,0.5,0,CU,10,AWG
79,KSA2020010440,S000100-000009a,2020010440,AN,1,0.5,0,CU,10,AWG
80,KSA2020010447,S000100-0000003,2020010447,AN,1,0.5,0,CU,10,AWG
81,KSA2020010450,S000100-0000009,2020010450,AN,1,0.5,0,CU,10,AWG
82,KSA2020010455,S000100-000009a,2020010455,AN,1,0.5,0,CU,10,AWG
83,KSA2020010460,S000100-000009a,2020010460,AN,1,0.5,0,CU,10,AWG
84,KSA2020010465,S000100-0000004,2020010465,AN,1,0.5,0,CU,10,AWG
85,KSA2020010470,S000100-0000009,2020010470,AN,1,0.5,0,CU,10,AWG
86,KSA2020010473,S000100-0000009,2020010473,AN,1,0.5,0,CU,10,AWG
87,KSA2020010480,S000100-0000009,2020010480,AN,1,0.5,0,CU,10,AWG
88,KSA2020010485,S000100-000009a,2020010485,AN,1,0.5,0,CU,10,AWG
89,KSA2020010490,S000106-00004BC,2020010490,AN,1,0.5,0,CU,10,AWG
90,KSA2020010495,S000100-0000008,2020010495,AN,1,0.5,0,CU,10,AWG
91,KSA2020010500,S000106-00004BC,2020010500,AN,1,0.5,0,CU,10,AWG
92,KSA2020010505,S0108-0010-0002,2020010505,CN,1,0.5,0,CU,10,AWG
93,KSA2020010510,S000100-0000009,2020010510,AN,1,0.5,0,CU,10,AWG
94,KSA2020010515,S000106-0000008,2020010515,AN,1,0.5,0,CU,10,AWG
95,KSA2020010525,S000106-00004BC,2020010525,AN,1,0.5,0,CU,10,AWG
96,KSA2020010526,S000106-00004BC,2020010526,AN,1,0.5,0,CU,10,AWG
97,KSA2020010532,S000106-00004BC,2020010532,AN,1,0.5,0,CU,10,AWG
98,KSA2020010535,S000106-00004BB,2020010535,AN,1,0.5,0,CU,10,AWG
99,KSA2020010536,S000106-00004Bb,2020010536,AN,1,0.5,0,CU,10,AWG
100,KSA2020010537,S000106-00004BC,2020010537,AN,1,0.5,0,CU,10,AWG
101,KSA2020010538,S000106-00004BC,2020010538,AN,1,0.5,0,CU,10,AWG
102,KSA2020010540,S000106-00004BC,2020010540,AN,1,0.5,0,CU,10,AWG
103,KSA2020010541,S000106-00004BB,2020010541,AN,1,0.5,0,CU,10,AWG
104,KSA2020010545,S000106-00004BB,2020010545,AN,1,0.5,0,CU,10,AWG
105,KSA2020010550,S000106-00004BB,2020010550,AN,1,0.5,0,CU,10,AWG
106,KSA2020010560,S000106-00004BB,2020010560,AN,1,0.5,0,CU,10,AWG
107,KSA2020010565,S0108-004b-002A,2020010565,AN,1,0.5,0,CU,10,AWG
108,KSA2020010570,S000106-00004BB,2020010570,AN,1,0.5,0,CU,10,AWG
109,KSA2020010572,S000106-00004BB,2020010572,AN,1,0.5,0,CU,10,AWG
110,KSA2020010575,S000106-00004BB,2020010575,AN,1,0.5,0,CU,10,AWG
111,KSA2020010580,S000106-00004BB,2020010580,AN,1,0.5,0,CU,10,AWG
112,KSA2020010585,S000106-00004BA,2020010585,AN,1,0.5,0,CU,10,AWG
113,KSA2020010586,S000106-00004BA,2020010586,AN,1,0.5,0,CU,10,AWG
114,KSA2020010590,S000106-00004BA,2020010590,AN,1,0.5,0,CU,10,AWG
115,KSA2020010595,S000106-00004BA,2020010595,AN,1,0.5,0,CU,10,AWG
116,KSA2020010600,S000106-00004BA,2020010600,AN,1,0.5,0,CU,10,AWG
117,KSA2020010605,S0108-004b-002A,2020010605,AN,1,0.5,0,CU,10,AWG
118,KSA2020010610,S000106-00004BA,2020010610,AN,1,0.5,0,CU,10,AWG
119,KSA2020010615,S000106-00004Bc,2020010615,AN,1,0.5,0,CU,10,AWG
120,KSA2020010620,S000106-000004B,2020010620,AN,1,0.5,0,CU,10,AWG
121,KSA2020010625,S000106-00004Bb,2020010625,AN,1,0.5,0,CU,10,AWG
122,KSA2020010630,S000106-000004B,2020010630,AN,1,0.5,0,CU,10,AWG
123,KSA2020010640,S000106-00004Ba,2020010640,AN,1,0.5,0,CU,10,AWG
124,KSA2020010645,S000106-0000008,2020010645,AN,1,0.5,0,CU,10,AWG
125,KSA2020010650,S0108-004b-002C,2020010650,AN,1,0.5,0,CU,10,AWG
126,KSA2020010665,S0108-004b-002b,2020010665,AN,1,0.5,0,CU,10,AWG
127,KSA2020010666,S000106-00004Ba,2020010666,AN,1,0.5,0,CU,10,AWG
128,KSA2020010670,S000106-00004Ba,2020010670,AN,1,0.5,0,CU,10,AWG
129,KSA2020010674,S0108-004b-002C,2020010674,AN,1,0.5,0,CU,10,AWG
130,KSA2020010675,S000106-00004Bb,2020010675,AN,1,0.5,0,CU,10,AWG
131,KSA2020010676,S000106-00004Bb,2020010676,AN,1,0.5,0,CU,10,AWG
132,KSA2020010680,S000106-00004Bb,2020010680,AN,1,0.5,0,CU,10,AWG
133,KSA2020010685,S0108-004b-002C,2020010685,AN,1,0.5,0,CU,10,AWG
134,KSA2020010690,S0108-004b-002d,2020010690,AN,1,0.5,0,CU,10,AWG
135,KSA2020010695,S000106-00004Bb,2020010695,AN,1,0.5,0,CU,10,AWG
136,KSA2020010696,S000106-00004Bb,2020010696,AN,1,0.5,0,CU,10,AWG
137,KSA2020010698,S000106-00004Bb,2020010698,AN,1,0.5,0,CU,10,AWG
138,KSA2020010700,S000106-00004Bb,2020010700,AN,1,0.5,0,CU,10,AWG
139,KSA2020010705,S000106-0000006,2020010705,AN,1,0.5,0,CU,10,AWG
140,KSA2020010710,S000106-00004Bc,2020010710,AN,1,0.5,0,CU,10,AWG
141,KSA2020010715,S0108-004b-002B,2020010715,AN,1,0.5,0,CU,10,AWG
142,KSA2020010720,S0108-004b-002D,2020010720,AN,1,0.5,0,CU,10,AWG
143,KSA2020010730,S000106-00004Bc,2020010730,AN,1,0.5,0,CU,10,AWG
144,KSA2020010732,S000106-00004Bc,2020010732,AN,1,0.5,0,CU,10,AWG
145,KSA2020010735,S000106-00004Bc,2020010735,AN,1,0.5,0,CU,10,AWG
146,KSA2020010740,S000106-00004Bc,2020010740,AN,1,0.5,0,CU,10,AWG
147,KSA2020010745,S000106-00004Bc,2020010745,AN,1,0.5,0,CU,10,AWG
148,KSA2020010750,S000106-00004Bc,2020010750,AN,1,0.5,0,CU,10,AWG
149,KSA2020010755,S0108-004b-002d,2020010755,AN,1,0.5,0,CU,10,AWG
150,KSA2020010765,S0108-0004-0002,2020010765,CN,1,0.5,0,CU,10,AWG
151,KSA2020010770,S0108-0004-0003,2020010770,CN,1,0.5,0,CU,10,AWG
152,KSA2020010776,S0108-0004-0003,2020010776,CN,1,0.5,0,CU,10,AWG
153,KSA2020010780,S0108-0004-0003,2020010780,CN,1,0.5,0,CU,10,AWG
154,KSA2020010785,S0108-0004-0003,2020010785,CN,1,0.5,0,CU,10,AWG
155,KSA2020010793,S000106-00004Bc,2020010793,AN,1,0.5,0,CU,10,AWG
156,KSA2020010795,S0108-0004-0003,2020010795,CN,1,0.5,0,CU,10,AWG
157,KSA2020010810,S0108-0004-0003,2020010810,CN,1,0.5,0,CU,10,AWG
158,KSA2020010820,S0108-0004-0003,2020010820,CN,1,0.5,0,CU,10,AWG
159,KSA2020010830,S0108-0004-0004,2020010830,CN,1,0.5,0,CU,10,AWG
160,KSA2020010834,S0108-0004-0004,2020010834,CN,1,0.5,0,CU,10,AWG
161,KSA2020010835,S0108-0004-0004,2020010835,CN,1,64.0,0,ACSR,2,AWG
162,KSA2020010840,S0108-0004-0004,2020010840,CN,1,0.5,0,CU,10,AWG
163,KSA2020010845,S000100-0000003,2020010845,AN,1,0.5,0,CU,10,AWG
164,KSA2020010850,S0108-0004-0004,2020010850,CN,1,0.5,0,CU,10,AWG
165,KSA2020010860,S0108-0004-0004,2020010860,CN,1,0.5,0,CU,10,AWG
166,KSA2020010865,S000100-000007A,2020010865,AN,1,0.5,0,CU,10,AWG
167,KSA2020010870,S0108-0004-0004,2020010870,CN,1,0.5,0,CU,10,AWG
168,KSA2020010875,S0108-0004-0003,2020010875,CN,1,0.5,0,CU,10,AWG
169,KSA2020010880,S0108-0004-0005,2020010880,CN,1,0.5,0,CU,10,AWG
170,KSA2020010890,S0108-0004-0005,2020010890,CN,1,0.5,0,CU,10,AWG
171,KSA2020010895,S0108-004b-002b,2020010895,AN,1,0.5,0,CU,10,AWG
172,KSA2020010911,S0108-0004-0004,2020010911,CN,1,0.5,0,CU,10,AWG
173,KSA2020010914,S0108-0004-0004,2020010914,CN,1,0.5,0,CU,10,AWG
174,KSA2020010915,S0108-0004-0005,2020010915,CN,1,0.5,0,CU,10,AWG
175,KSA2020010920,S0108-0004-0005,2020010920,CN,1,0.5,0,CU,10,AWG
176,KSA2020010925,S0108-0004-0005,2020010925,CN,1,0.5,0,CU,10,AWG
177,KSA2020010926,S0108-0004-0005,2020010926,CN,1,0.5,0,CU,10,AWG
178,KSA2020010930,S0108-0004-0005,2020010930,CN,1,0.5,0,CU,10,AWG
179,KSA2020010940,S0108-0004-0005,2020010940,CN,1,0.5,0,CU,10,AWG
180,KSA2020010945,S0108-004b-002c,2020010945,AN,1,0.5,0,CU,10,AWG
181,KSA2020010950,S0108-0004-0005,2020010950,CN,1,0.5,0,CU,10,AWG
182,KSA2020010955,S0108-0004-0006,2020010955,CN,1,0.5,0,CU,10,AWG
183,KSA2020010960,S0108-0004-0005,2020010960,CN,1,0.5,0,CU,10,AWG
184,KSA2020010970,S0108-004b-0001,2020010970,AN,1,0.5,0,CU,10,AWG
185,KSA2020010975,S0108-004b-0001,2020010975,AN,1,0.5,0,CU,10,AWG
186,KSA2020010980,S0108-0004-0005,2020010980,CN,1,0.5,0,CU,10,AWG
187,KSA2020010990,S0108-004b-0001,2020010990,AN,1,0.5,0,CU,10,AWG
188,KSA2020010995,S000110-00003BA,2020010995,BN,1,0.5,0,CU,10,AWG
189,KSA2020011001,S0108-004b-0001,2020011001,AN,1,0.5,0,CU,10,AWG
190,KSA2020011010,S0108-0004-0005,2020011010,CN,1,0.5,0,CU,10,AWG
191,KSA2020011015,S000100-000002c,2020011015,AN,1,0.5,0,CU,10,AWG
192,KSA2020011040,S0108-0004-0004,2020011040,CN,1,0.5,0,CU,10,AWG
193,KSA2020011045,S000100-0000004,2020011045,AN,1,0.5,0,CU,10,AWG
194,KSA2020011050,S0108-0004-0004,2020011050,CN,1,0.5,0,CU,10,AWG
195,KSA2020011055,S0108-0004-0004,2020011055,CN,1,0.5,0,CU,10,AWG
196,KSA2020011060,S0108-004b-002c,2020011060,AN,1,0.5,0,CU,10,AWG
197,KSA2020011085,S000100-000003A,2020011085,AN,1,0.5,0,CU,10,AWG
198,KSA2020011088,S0108-004b-002d,2020011088,AN,1,0.5,0,CU,10,AWG
199,KSA2020011090,S0108-004b-002b,2020011090,AN,1,0.5,0,CU,10,AWG
200,KSA2020011092,S0108-004b-002c,2020011092,AN,1,0.5,0,CU,10,AWG
201,KSA2020011093,S0108-004b-002c,2020011093,AN,1,0.5,0,CU,10,AWG
202,KSA2020011095,S0108-004b-002c,2020011095,AN,1,0.5,0,CU,10,AWG
203,KSA2020011096,S0108-004b-002d,2020011096,AN,1,0.5,0,CU,10,AWG
204,KSA2020011098,S0108-004b-002d,2020011098,AN,1,0.5,0,CU,10,AWG
205,KSA2020011099,S0108-004b-002d,2020011099,AN,1,0.5,0,CU,10,AWG
206,KSA2020011100,S0108-004b-002c,2020011100,AN,1,0.5,0,CU,10,AWG
207,KSA2020011101,S0108-004b-002c,2020011101,AN,1,0.5,0,CU,10,AWG
208,KSA2020011105,S0108-004b-002c,2020011105,AN,1,0.5,0,CU,10,AWG
209,KSA2020011107,S0108-004b-002c,2020011107,AN,1,0.5,0,CU,10,AWG
210,KSA2020011108,S0108-004b-002c,2020011108,AN,1,0.5,0,CU,10,AWG
211,KSA2020011109,S0108-004b-002d,2020011109,AN,1,0.5,0,CU,10,AWG
212,KSA2020011110,S0108-004b-002d,2020011110,AN,1,0.5,0,CU,10,AWG
213,KSA2020011111,S0108-0004-0004,2020011111,CN,1,0.5,0,CU,10,AWG
214,KSA2020011112,S0108-004b-002d,2020011112,AN,1,0.5,0,CU,10,AWG
215,KSA2020011114,S0108-004b-002d,2020011114,AN,1,0.5,0,CU,10,AWG
216,KSA2020011115,S0108-004b-002b,2020011115,AN,1,0.5,0,CU,10,AWG
217,KSA2020011117,S0108-004b-002c,2020011117,AN,1,0.5,0,CU,10,AWG
218,KSA2020011120,S0108-004b-002b,2020011120,AN,1,0.5,0,CU,10,AWG
219,KSA2020011123,S0108-004b-002d,2020011123,AN,1,0.5,0,CU,10,AWG
220,KSA2020011124,S0108-004b-002c,2020011124,AN,1,0.5,0,CU,10,AWG
221,KSA2020011125,S0108-004b-002c,2020011125,AN,1,0.5,0,CU,10,AWG
222,KSA2020011126,S0108-004b-002d,2020011126,AN,1,0.5,0,CU,10,AWG
223,KSA2020011135,S0108-004b-002B,2020011135,AN,1,0.5,0,CU,10,AWG
224,KSA2020011145,S0108-004b-002b,2020011145,AN,1,0.5,0,CU,10,AWG
225,KSA2020011150,S0108-004b-002b,2020011150,AN,1,0.5,0,CU,10,AWG
226,KSA2020011160,S0108-004b-002a,2020011160,AN,1,0.5,0,CU,10,AWG
227,KSA2020011163,S0108-004b-002b,2020011163,AN,1,0.5,0,CU,10,AWG
228,KSA2020011164,S0108-004b-002a,2020011164,AN,1,0.5,0,CU,10,AWG
229,KSA2020011165,S0108-004b-002a,2020011165,AN,1,0.5,0,CU,10,AWG
230,KSA2020011166,S0108-004b-002a,2020011166,AN,1,0.5,0,CU,10,AWG
231,KSA2020011170,S0108-004b-002a,2020011170,AN,1,0.5,0,CU,10,AWG
232,KSA2020011175,S0108-004b-002C,2020011175,AN,1,0.5,0,CU,10,AWG
233,KSA2020011180,S0108-004b-002a,2020011180,AN,1,0.5,0,CU,10,AWG
234,KSA2020011185,S0108-004b-002b,2020011185,AN,1,0.5,0,CU,10,AWG
235,KSA2020011190,S0108-004b-002a,2020011190,AN,1,0.5,0,CU,10,AWG
236,KSA2020011195,S000106-00004Bb,2020011195,AN,1,0.5,0,CU,10,AWG
237,KSA2020011200,S0108-004b-0002,2020011200,AN,1,0.5,0,CU,10,AWG
238,KSA2020011205,S0108-004b-002b,2020011205,AN,1,0.5,0,CU,10,AWG
239,KSA2020011210,S0108-004b-0002,2020011210,AN,1,0.5,0,CU,10,AWG
240,KSA2020011220,S0108-004b-002a,2020011220,AN,1,0.5,0,CU,10,AWG
241,KSA2020011230,S0108-004b-0002,2020011230,AN,1,0.5,0,CU,10,AWG
242,KSA2020011235,S0108-004b-002C,2020011235,AN,1,0.5,0,CU,10,AWG
243,KSA2020011240,S0108-004b-0003,2020011240,AN,1,0.5,0,CU,10,AWG
244,KSA2020011245,S0108-004b-0003,2020011245,AN,1,0.5,0,CU,10,AWG
245,KSA2020011250,S0108-004b-002a,2020011250,AN,1,0.5,0,CU,10,AWG
246,KSA2020011255,S000100-0000009,2020011255,AN,1,0.5,0,CU,10,AWG
247,KSA2020011260,S0108-004b-0002,2020011260,AN,1,0.5,0,CU,10,AWG
248,KSA2020011265,S0108-004b-002C,2020011265,AN,1,0.5,0,CU,10,AWG
249,KSA2020011270,S0108-004b-0002,2020011270,AN,1,0.5,0,CU,10,AWG
250,KSA2020011271,S0108-004b-0002,2020011271,AN,1,0.5,0,CU,10,AWG
251,KSA2020011272,S0108-004b-0002,2020011272,AN,1,0.5,0,CU,10,AWG
252,KSA2020011275,S0108-004b-002A,2020011275,AN,1,0.5,0,CU,10,AWG
253,KSA2020011276,S0108-004b-0002,2020011276,AN,1,0.5,0,CU,10,AWG
254,KSA2020011280,S0108-004b-0002,2020011280,AN,1,0.5,0,CU,10,AWG
255,KSA2020011281,S0108-004b-0001,2020011281,AN,1,0.5,0,CU,10,AWG
256,KSA2020011283,S0108-004b-0002,2020011283,AN,1,0.5,0,CU,10,AWG
257,KSA2020011284,S0108-004b-0001,2020011284,AN,1,0.5,0,CU,10,AWG
258,KSA2020011285,S0108-004b-0002,2020011285,AN,1,0.5,0,CU,10,AWG
259,KSA2020011286,S0108-004b-0002,2020011286,AN,1,0.5,0,CU,10,AWG
260,KSA2020011287,S0108-004b-0002,2020011287,AN,1,0.5,0,CU,10,AWG
261,KSA2020011288,S0108-004b-0002,2020011288,AN,1,0.5,0,CU,10,AWG
262,KSA2020011289,S0108-004b-002A,2020011289,AN,1,0.5,0,CU,10,AWG
263,KSA2020011290,S0108-004b-0002,2020011290,AN,1,0.5,0,CU,10,AWG
264,KSA2020011295,S0108-004b-0002,2020011295,AN,1,0.5,0,CU,10,AWG
265,KSA2020011300,S0108-0004-0005,2020011300,CN,1,0.5,0,CU,10,AWG
266,KSA2020011310,S0108-004b-0003,2020011310,AN,1,0.5,0,CU,10,AWG
267,KSA2020011325,S000106-00004Bb,2020011325,AN,1,0.5,0,CU,10,AWG
268,KSA2020011330,S0108-004b-0003,2020011330,AN,1,0.5,0,CU,10,AWG
269,KSA2020011335,S0108-004b-0002,2020011335,AN,1,0.5,0,CU,10,AWG
270,KSA2020011340,S0108-004b-002A,2020011340,AN,1,0.5,0,CU,10,AWG
271,KSA2020011350,S0108-004b-002A,2020011350,AN,1,0.5,0,CU,10,AWG
272,KSA2020011351,S0108-004b-002B,2020011351,AN,1,0.5,0,CU,10,AWG
273,KSA2020011352,S0108-004b-002A,2020011352,AN,1,0.5,0,CU,10,AWG
274,KSA2020011353,S0108-004b-002A,2020011353,AN,1,0.5,0,CU,10,AWG
275,KSA2020011354,S0108-004b-0003,2020011354,AN,1,0.5,0,CU,10,AWG
276,KSA2020011355,S0108-004b-002A,2020011355,AN,1,0.5,0,CU,10,AWG
277,KSA2020011360,S0108-004b-002A,2020011360,AN,1,0.5,0,CU,10,AWG
278,KSA2020011363,S0108-004b-002A,2020011363,AN,1,0.5,0,CU,10,AWG
279,KSA2020011364,S0108-004b-002C,2020011364,AN,1,0.5,0,CU,10,AWG
280,KSA2020011365,S0108-004b-002B,2020011365,AN,1,0.5,0,CU,10,AWG
281,KSA2020011366,S0108-004b-002B,2020011366,AN,1,0.5,0,CU,10,AWG
282,KSA2020011367,S0108-004b-002B,2020011367,AN,1,0.5,0,CU,10,AWG
283,KSA2020011368,S0108-004b-002B,2020011368,AN,1,0.5,0,CU,10,AWG
284,KSA2020011369,S0108-004b-002A,2020011369,AN,1,0.5,0,CU,10,AWG
285,KSA2020011370,S0108-004b-002B,2020011370,AN,1,0.5,0,CU,10,AWG
286,KSA2020011383,S0108-004b-002C,2020011383,AN,1,0.5,0,CU,10,AWG
287,KSA2020011385,S0108-004b-002A,2020011385,AN,1,0.5,0,CU,10,AWG
288,KSA2020011386,S0108-004b-002C,2020011386,AN,1,0.5,0,CU,10,AWG
289,KSA2020011390,S0108-004b-002A,2020011390,AN,1,0.5,0,CU,10,AWG
290,KSA2020011391,S0108-004b-002B,2020011391,AN,1,0.5,0,CU,10,AWG
291,KSA2020011395,S0108-004b-002B,2020011395,AN,1,0.5,0,CU,10,AWG
292,KSA2020011400,S0108-004b-002B,2020011400,AN,1,0.5,0,CU,10,AWG
293,KSA2020011410,S0108-004b-002B,2020011410,AN,1,0.5,0,CU,10,AWG
294,KSA2020011415,S0108-004b-002B,2020011415,AN,1,0.5,0,CU,10,AWG
295,KSA2020011420,S0108-004b-002B,2020011420,AN,1,0.5,0,CU,10,AWG
296,KSA2020011425,S000100-000002c,2020011425,AN,1,0.5,0,CU,10,AWG
297,KSA2020011430,S0108-004b-002B,2020011430,AN,1,0.5,0,CU,10,AWG
298,KSA2020011435,S0108-004b-002C,2020011435,AN,1,0.5,0,CU,10,AWG
299,KSA2020011445,S0108-004b-002A,2020011445,AN,1,0.5,0,CU,10,AWG
300,KSA2020011450,S0108-004b-002B,2020011450,AN,1,0.5,0,CU,10,AWG
301,KSA2020011455,S000106-00004Bb,2020011455,AN,2,31.0,0,ACSR,2,AWG
302,KSA2020011460,S0108-004b-002B,2020011460,AN,1,0.5,0,CU,10,AWG
303,KSA2020011465,S0108-004b-002C,2020011465,AN,1,0.5,0,CU,10,AWG
304,KSA2020011470,S0108-004b-002B,2020011470,AN,1,0.5,0,CU,10,AWG
305,KSA2020011480,S0108-004b-002B,2020011480,AN,1,0.5,0,CU,10,AWG
306,KSA2020011490,S0108-004b-002B,2020011490,AN,1,0.5,0,CU,10,AWG
307,KSA2020011495,S000100-000003A,2020011495,AN,1,0.5,0,CU,10,AWG
308,KSA2020011500,S0108-004b-002B,2020011500,AN,1,0.5,0,CU,10,AWG
309,KSA2020011505,S0108-004b-002C,2020011505,AN,1,0.5,0,CU,10,AWG
310,KSA2020011506,S0108-004b-002A,2020011506,AN,1,0.5,0,CU,10,AWG
311,KSA2020011510,S0108-004b-002C,2020011510,AN,1,0.5,0,CU,10,AWG
