From_Bus,To_Bus,Connection_Type,Feeder,Circuit
146,147,Primary_to_Primary,F7,3 Phase
147,148,Primary_to_Primary,F7,3 Phase
148,149,Primary_to_Primary,F7,3 Phase
149,72,Primary_to_Primary,F7,3 Phase
72,74,Primary_to_Primary,F7,3 Phase
74,75,Primary_to_Primary,F7,3 Phase
75,76,Primary_to_Primary,F7,3 Phase
76,77,Primary_to_Primary,F7,3 Phase
77,78,Primary_to_Primary,F7,3 Phase
81,82,Primary_to_Primary,F7,3 Phase
82,83,Primary_to_Primary,F7,3 Phase
83,84,Primary_to_Primary,F7,3 Phase
84,85,Primary_to_Primary,F7,3 Phase
85,86,Primary_to_Primary,F7,3 Phase
86,87,Primary_to_Primary,F7,3 Phase
87,88,Primary_to_Primary,F7,3 Phase
88,89,Primary_to_Primary,F7,3 Phase
89,90,Primary_to_Primary,F7,3 Phase
90,91,Primary_to_Primary,F7,3 Phase
91,92,Primary_to_Primary,F7,3 Phase
92,93,Primary_to_Primary,F7,3 Phase
93,94,Primary_to_Primary,F7,3 Phase
94,95,Primary_to_Primary,F7,3 Phase
95,96,Primary_to_Primary,F7,3 Phase
96,97,Primary_to_Primary,F7,3 Phase
97,98,Primary_to_Primary,F7,3 Phase
98,99,Primary_to_Primary,F7,3 Phase
123-1,123-2,Primary_to_Primary,F7,Single Phase
123-2,123-3,Primary_to_Primary,F7,Single Phase
123-3,128-1,Primary_to_Primary,F7,Single Phase
128-1,131-a,Primary_to_Primary,F7,Single Phase
131-a,131-b,Primary_to_Primary,F7,Single Phase
131-b,131-c,Primary_to_Primary,F7,Single Phase
131-c,131-d,Primary_to_Primary,F7,Single Phase
131-d,131-e,Primary_to_Primary,F7,Single Phase
131-e,131-f,Primary_to_Primary,F7,Single Phase
131-f,131-g,Primary_to_Primary,F7,Single Phase
131-g,131-g-1,Primary_to_Primary,F7,Single Phase
131-g-1,131-g-2,Primary_to_Primary,F7,Single Phase
131-g-2,131-g-3,Primary_to_Primary,F7,Single Phase
131-g-3,131-g-4,Primary_to_Primary,F7,Single Phase
131-g-4,131-g-5,Primary_to_Primary,F7,Single Phase
131-g-5,131-g-6,Primary_to_Primary,F7,Single Phase
131-g-6,131-g-7,Primary_to_Primary,F7,Single Phase
131-g-7,131-g-8,Primary_to_Primary,F7,Single Phase
131-g-8,135-10--a,Primary_to_Primary,F7,Single Phase
135-10--a,135-10--b,Primary_to_Primary,F7,Single Phase
135-10--b,135-10--b-1,Primary_to_Primary,F7,Single Phase
135-10--b-1,135-10--b-2,Primary_to_Primary,F7,Single Phase
135-10--b-2,135-10--b-3,Primary_to_Primary,F7,Single Phase
135-10--b-3,135-10--b-4,Primary_to_Primary,F7,Single Phase
135-10--b-4,135-10--b-5,Primary_to_Primary,F7,Single Phase
135-10--b-5,99-A,Primary_to_Primary,F7,Single Phase
99-A,99-B,Primary_to_Primary,F7,Single Phase
99-B,99-C,Primary_to_Primary,F7,Single Phase
99-C,99-D,Primary_to_Primary,F7,Single Phase
99-D,99-E,Primary_to_Primary,F7,Single Phase
99-E,99-F,Primary_to_Primary,F7,Single Phase
99-F,99-G,Primary_to_Primary,F7,Single Phase
99-G,99-H,Primary_to_Primary,F7,Single Phase
99-H,99-I,Primary_to_Primary,F7,Single Phase
74,74,Primary_to_Transformer,F6,3 Phase
73,73,Primary_to_Transformer,F6,3 Phase
73,73-A,Primary_to_Transformer,F6,3 Phase
64,63,Primary_to_Transformer,F6,3 Phase
64-b,63-b,Primary_to_Transformer,F6,Single Phase
64-j,64-j,Primary_to_Transformer,F6,Single Phase
64-n-b,63-n-b,Primary_to_Transformer,F6,Single Phase
63,63,Primary_to_Transformer,F6,3 Phase
60,60,Primary_to_Transformer,F6,3 Phase
57,57,Primary_to_Transformer,F6,3 Phase
55,54,Primary_to_Transformer,F6,3 Phase
48,48,Primary_to_Transformer,F6,3 Phase
48-a,48,Primary_to_Transformer,F6,3 Phase
47,47,Primary_to_Transformer,F6,3 Phase
47-a,47-a,Primary_to_Transformer,F6,Single Phase
46-a-b-B,46-a-b-B,Primary_to_Transformer,F6,Single Phase
47-a-e-K,47-a-e-K,Primary_to_Transformer,F6,Single Phase
47-a-e-L,47-a-e-K,Primary_to_Transformer,F6,Single Phase
47-a-e-S-B,47-a-e-S-B,Primary_to_Transformer,F6,Single Phase
47-a-e-S-C,47-a-e-S-B,Primary_to_Transformer,F6,Single Phase
47-a-e-S-D,47-a-e-S-B,Primary_to_Transformer,F6,Single Phase
47-a-e-S-E,47-a-e-S-B,Primary_to_Transformer,F6,Single Phase
133-4,133-4,Primary_to_Transformer,F1,3 Phase
133-4-a,133-4,Primary_to_Transformer,F1,Single Phase
133-4-a,133-4-a,Primary_to_Transformer,F1,Single Phase
133-4-b,133-4-a,Primary_to_Transformer,F1,Single Phase
133-4-b,133-4-b,Primary_to_Transformer,F1,Single Phase
133-5,133-4-b,Primary_to_Transformer,F1,3 Phase
133-5,133-5,Primary_to_Transformer,F1,3 Phase
133-5,133,Primary_to_Transformer,F1,3 Phase
133-7,133-7,Primary_to_Transformer,F1,3 Phase
133-8,133-8,Primary_to_Transformer,F1,3 Phase
133-9,133-8,Primary_to_Transformer,F1,3 Phase
133-10,133-10,Primary_to_Transformer,F1,3 Phase
133-4-b-2,133-4-a,Primary_to_Transformer,F1,3 Phase
133-4-b-2,133-4-b-2,Primary_to_Transformer,F1,3 Phase
133-4-b-1,133-4-b-2,Primary_to_Transformer,F1,3 Phase
133-4-b-1,133-4-b-1,Primary_to_Transformer,F1,3 Phase
133-4-b,133-4-b-1,Primary_to_Transformer,F1,3 Phase
133-4-b-3,133-4-b-3,Primary_to_Transformer,F1,3 Phase
133-4-b-3-a,133-4-b-3,Primary_to_Transformer,F1,3 Phase
133-12-b,1133-12-b,Primary_to_Transformer,F1,Single Phase
133-12-b-1,1133-12-b,Primary_to_Transformer,F1,Single Phase
133-12-F,133-12-F,Primary_to_Transformer,F1,Single Phase
133-12-H,133-12-H,Primary_to_Transformer,F1,Single Phase
133-12-I,133-12-H,Primary_to_Transformer,F1,Single Phase
133-12-J,133-12-H,Primary_to_Transformer,F1,Single Phase
99-3,99-3,Primary_to_Transformer,F1,V Phase
99-4,99-3,Primary_to_Transformer,F6,V Phase
99-6,99-6,Primary_to_Transformer,F6,V Phase
99-9A,99-A,Primary_to_Transformer,F6,3 Phase
99-10A,99-10B,Primary_to_Transformer,F6,Single Phase
99-10A-a,99-10B,Primary_to_Transformer,F6,Single Phase
99-a,99-8-a,Primary_to_Transformer,F6,Single Phase
99-8-b,99-8-a,Primary_to_Transformer,F6,Single Phase
99-8-b,99-8-b,Primary_to_Transformer,F6,Single Phase
99-8-c,99-8-b,Primary_to_Transformer,F6,Single Phase
99-12,99-12,Primary_to_Transformer,F6,Single Phase
99-13,99-12,Primary_to_Transformer,F6,Single Phase
99-13a,99-12,Primary_to_Transformer,F6,Single Phase
99-15a,99-15a,Primary_to_Transformer,F6,Single Phase
99-17,99-17,Primary_to_Transformer,F6,Single Phase
99-18,99-17,Primary_to_Transformer,F6,Single Phase
99-18,99-18,Primary_to_Transformer,F6,Single Phase
100,100,Primary_to_Transformer,F6,3 Phase
101,100,Primary_to_Transformer,F6,3 Phase
147,147,Primary_to_Transformer,F1,3 Phase
146,146,Primary_to_Transformer,F1,3 Phase
86,86,Primary_to_Transformer,F7,3 Phase
87,86,Primary_to_Transformer,F7,3 Phase
99,99,Primary_to_Transformer,F7,3 Phase
99-I,99-I,Primary_to_Transformer,F7,Single Phase
123-3,123-3,Primary_to_Transformer,F7,Single Phase
124,123-3,Primary_to_Transformer,F7,3 Phase
126,126,Primary_to_Transformer,F7,3 Phase
127,126,Primary_to_Transformer,F7,3 Phase
128-1,128-1,Primary_to_Transformer,F7,Single Phase
129,128-1,Primary_to_Transformer,F7,3 Phase
131-g,131-g,Primary_to_Transformer,F7,Single Phase
135-4,mmk yes iiobv good gonna bb BB na,Primary_to_Transformer,F7,3 Phase
135-10,135-10,Primary_to_Transformer,F7,3 Phase
135-10--a,135-10,Primary_to_Transformer,F7,Single Phase
135-10--b,135_10-b,Primary_to_Transformer,F7,Single Phase
135-10--b-1,135_10-b,Primary_to_Transformer,F7,Single Phase
135-16,135-16,Primary_to_Transformer,F7,3 Phase
135-17,135-16,Primary_to_Transformer,F7,3 Phase
135-20--d,1335-20-d,Primary_to_Transformer,F7,3 Phase
138,138,Primary_to_Transformer,F7,3 Phase
140,140,Primary_to_Transformer,F7,3 Phase
141,140,Primary_to_Transformer,F7,3 Phase
74,4,Transformer_to_Secondary,F6,3 Phase
73,5,Transformer_to_Secondary,F6,3 Phase
73-A,5,Transformer_to_Secondary,F6,3 Phase
63,4,Transformer_to_Secondary,F6,3 Phase
64-j,8,Transformer_to_Secondary,F6,Single Phase
63,5,Transformer_to_Secondary,F6,3 Phase
60,8,Transformer_to_Secondary,F6,3 Phase
57,2,Transformer_to_Secondary,F6,3 Phase
54,4,Transformer_to_Secondary,F6,3 Phase
48,48,Transformer_to_Secondary,F6,3 Phase
48,48-a,Transformer_to_Secondary,F6,3 Phase
47,47,Transformer_to_Secondary,F6,3 Phase
47-a,47-a,Transformer_to_Secondary,F6,Single Phase
46-a-b-B,46-a-b-B,Transformer_to_Secondary,F6,Single Phase
47-a-e-K,47-a-e-K,Transformer_to_Secondary,F6,Single Phase
47-a-e-S-B,47-a-e-S-B,Transformer_to_Secondary,F6,Single Phase
47-a-e-S-B,47-a-e-S-C,Transformer_to_Secondary,F6,Single Phase
47-a-e-S-B,47-a-e-S-D,Transformer_to_Secondary,F6,Single Phase
133-4,133-4,Transformer_to_Secondary,F1,3 Phase
133-4,133-4-a,Transformer_to_Secondary,F1,Single Phase
133-4-a,133-4-a,Transformer_to_Secondary,F1,Single Phase
133-4-a,133-4-b,Transformer_to_Secondary,F1,Single Phase
133-4-b,133-4-b,Transformer_to_Secondary,F1,Single Phase
133-4-b,133-5,Transformer_to_Secondary,F1,3 Phase
133-5,133-5,Transformer_to_Secondary,F1,3 Phase
133,133-6,Transformer_to_Secondary,F1,3 Phase
133,133-5,Transformer_to_Secondary,F1,3 Phase
133-7,133-7,Transformer_to_Secondary,F1,3 Phase
133-8,133-8,Transformer_to_Secondary,F1,3 Phase
133-10,133-10,Transformer_to_Secondary,F1,3 Phase
133-4-b-2,133-4-b-2,Transformer_to_Secondary,F1,3 Phase
133-4-b-1,133-4-b-1,Transformer_to_Secondary,F1,3 Phase
133-4-b,133-4-b-1,Transformer_to_Secondary,F1,3 Phase
133-4-b-3,133-4-b-1,Transformer_to_Secondary,F1,3 Phase
