Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter)
20,DXTUNGAF1A0034-9,P0000000034-7,P0000000034-9,BN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
21,DXTUNGAF1A0034-9a,P0000000034-9,P0000000034-9a,BN,Vertical,Multi-grounded,46,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
22,DXTUNGAF1A0034-18,P0000000034-9,P0000000034-18,BN,Vertical,Multi-grounded,778,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
23,DXTUNGAF1A0034-29,P0000000034-18,P0000000034-29,BN,Vertical,Multi-grounded,783,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
24,DXTUNGAF1C038,P0000000034,P0000000038,ABCN,Triangular,Multi-grounded,308,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
25,DXTUNGAF1C044,P0000000038,P0000000044,ABCN,Triangular,Multi-grounded,419,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
26,DXTUNGAF1A0044-29,P0000000044,P0000000044-29,AN,Vertical,Multi-grounded,2672,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
27,DXTUNGAF1A0044-64,P0000000044-29,P0000000044-64,AN,Vertical,Multi-grounded,1040,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
28,DXTUNGAF1C0045,P0000000044,P0000000045,ABCN,Triangular,Multi-grounded,56,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
29,DXTUNGAF1C0046,P0000000045,P0000000046,ABCN,Triangular,Multi-grounded,56,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
30,DXTUNGAF1A0046-22,P0000000046,P0000000046-22,AN,Vertical,Multi-grounded,1338,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
31,DXTUNGAF1C0049,P0000000046,P0000000049,ABCN,Triangular,Multi-grounded,307,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
32,DXTUNGAF1C0049A,P0000000049,P0000000049A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
33,DXTUNGAF1A0049-3,P0000000049,P0000000049-3,BN,Vertical,Multi-grounded,250,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
34,DXTUNGAF1C0054,P0000000049,P0000000054,ABCN,Triangular,Multi-grounded,363,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
35,DXTUNGAF1C054A,P0000000054,P000000054A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
36,DXTUNGAF1C054-20,P0000000054,P0000000054-20,BN,Vertical,Multi-grounded,1443,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
37,DXTUNGAF1C0065,P0000000054,P0000000065,ABCN,Triangular,Multi-grounded,834,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
38,DXTUNGAF1C072,P0000000065,P0000000072,ABCN,Triangular,Multi-grounded,536,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
39,DXTUNGAF1A0072-7,P0000000072,P0000000072-7,AN,Vertical,Multi-grounded,433,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
40,DXTUNGAF1A0073,P0000000072,P0000000073,ABCN,Triangular,Multi-grounded,45,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
41,DXTUNGAF1A0076,P0000000073,P0000000076,ABCN,Triangular,Multi-grounded,240,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
42,DXTUNGAF1C090,P0000000073,P0000000090,ABCN,Triangular,Multi-grounded,1404,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
43,DXTUNGAF1C091A,P0000000090,P0000000091,ABCN,Triangular,Multi-grounded,26,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
44,DXTUNGAF1A091,P0000000091,P000000091A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
45,DXTUNGAF1C091B,P000000091A,P000000091B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
46,DXTUNGAF1C0092,P0000000091,P0000000092,ABCN,Triangular,Multi-grounded,60,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
47,DXTUNGAF1C092A,P0000000092,P000000092A,ABCN,Triangular,Multi-grounded,40,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
48,DXTUNGAF1C092B,P000000092A,P000000092B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
49,DXTUNGAF1C0092-2,P0000000092,P0000000092-2,ABCN,Triangular,Multi-grounded,98,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
50,DXTUNGAF1A0092-5,P0000000092-2,P0000000092-5,BN,Vertical,Multi-grounded,140,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
51,DXTUNGAF1A0092-7,P0000000092-5,P0000000092-7,BN,Vertical,Multi-grounded,75,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
52,DXTUNGAF1A0092-8,P0000000092-7,P0000000092-8,BN,Vertical,Multi-grounded,127,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
53,DXTUNGAF1A0092-9,P0000000092-8,P0000000092-9,BN,Vertical,Multi-grounded,72,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
54,DXTUNGAF1C0093,P0000000092,P0000000093,ABCN,Triangular,Multi-grounded,82,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
55,DXTUNGAF1C094A,P0000000093,P0000000094,ABCN,Triangular,Multi-grounded,95,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
56,DXTUNGAF1C0094,P0000000094,P000000094A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
57,DXTUNGAF1C094B,P000000094A,P000000094B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
58,DXTUNGAF1C094C,P000000094B,P000000094C,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
59,DXTUNGAF1C095,P0000000094,P0000000095,ABCN,Triangular,Multi-grounded,88,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
60,DXTUNGAF1A0095-7,P0000000095,P0000000095-7,CN,Vertical,Multi-grounded,356,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
61,DXTUNGAF1A0099,P0000000095,P0000000099,ABCN,Triangular,Multi-grounded,288,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
62,DXTUNGAF1C0100,P0000000099,P0000000100,ABCN,Triangular,Multi-grounded,44,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
63,DXTUNGAF1C0100A,P0000000100,P000000100A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
64,DXTUNGAF1C0100B,P000000100A,P000000100B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
65,DXTUNGAF1C0100-1,P0000000100,P0000000100-1,CN,Vertical,Multi-grounded,58,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
66,DXTUNGAF1A0100-2,P0000000100-1,P0000000100-2,CN,Vertical,Multi-grounded,67,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
67,DXTUNGAF1A0100-6,P0000000100-2,P0000000100-6,CN,Vertical,Multi-grounded,270,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
68,DXTUNGAF1A0100-6A,P0000000100-6,P0000000100-6A,CN,Vertical,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
69,DXTUNGAF1A0100-7,P0000000100-6,P0000000100-7,CN,Vertical,Multi-grounded,63,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
70,DXTUNGAF1A0100-13,P0000000100-7,P0000000100-13,CN,Vertical,Multi-grounded,493,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
71,DXTUNGAF1A0100-13m,P0000000100-13,P0000000100-13m,CN,Vertical,Multi-grounded,885,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
72,DXTUNGAF1A0100-13ag,P0000000100-13m,P0000000100-13ag,CN,Vertical,Multi-grounded,1741,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
73,DXTUNGAF1A0100-13ag6,P0000000100-13ag,P0000000100-13ag6,CN,Vertical,Multi-grounded,491,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
74,DXTUNGAF1A0100-13ar,P0000000100-13ag,P0000000100-13ar,CN,Vertical,Multi-grounded,937,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
75,DXTUNGAF1A0100-13ax,P0000000100-13ar,P0000000100-13ax,CN,Vertical,Multi-grounded,429,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
76,DXTUNGAF1A0100-13ax15,P0000000100-13ax,P0000000100-13ax15,CN,Vertical,Multi-grounded,1106,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
77,DXTUNGAF1A0100-13bj,P0000000100-13ax,P0000000100-13bj,CN,Vertical,Multi-grounded,1098,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
78,DXTUNGAF1A0100-16,P0000000100-13,P0000000100-16,CN,Vertical,Multi-grounded,187,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
79,DXTUNGAF1A0100-20,P0000000100-16,P0000000100-20,CN,Vertical,Multi-grounded,220,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
80,DXTUNGAF1A0100-28,P0000000100-20,P0000000100-28,CN,Vertical,Multi-grounded,531,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
81,DXTUNGAF1A0100-30,P0000000100-28,P0000000100-30,CN,Vertical,Multi-grounded,138,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
82,DXTUNGAF1A0100-30i,P0000000100-30,P0000000100-30i,CN,Vertical,Multi-grounded,766,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
83,DXTUNGAF1A0100-39,P0000000100-30,P0000000100-39,CN,Vertical,Multi-grounded,643,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
84,DXTUNGAF1A0100-39h,P0000000100-39,P0000000100-39h,CN,Vertical,Multi-grounded,616,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
85,DXTUNGAF1A0100-39x,P0000000100-39h,P0000000100-39X,CN,Vertical,Multi-grounded,1342,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
86,DXTUNGAF1A0100-42,P0000000100-39,P0000000100-42,CN,Vertical,Multi-grounded,180,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
87,DXTUNGAF1A0100-43,P0000000100-42,P0000000100-43,CN,Vertical,Multi-grounded,67,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
88,DXTUNGAF1A0100-50,P0000000100-43,P0000000100-50,CN,Vertical,Multi-grounded,465,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
89,DXTUNGAF1A0100-55,P0000000100-50,P0000000100-55,CN,Vertical,Multi-grounded,403,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
90,DXTUNGAF1A0100-55-4,P0000000100-55,P0000000100-55-4,CN,Vertical,Multi-grounded,260,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
91,DXTUNGAF1A0100-58,P0000000100-55,P0000000100-58,CN,Vertical,Multi-grounded,182,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
92,DXTUNGAF1A0100-66,P0000000100-58,P0000000100-66,CN,Vertical,Multi-grounded,506,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
93,DXTUNGAF1A0100-71,P0000000100-66,P0000000100-71,CN,Vertical,Multi-grounded,341,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
94,DXTUNGAF1A0100-71-3,P0000000100-71,P0000000100-71-3,CN,Vertical,Multi-grounded,161,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
95,DXTUNGAF1A0100-72,P0000000100-71,P0000000100-72,CN,Vertical,Multi-grounded,73,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
96,DXTUNGAF1A0100-72M,P0000000100-72,P0000000100-72M,CN,Vertical,Multi-grounded,972,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
97,DXTUNGAF1A0100-72Q,P0000000100-72M,P0000000100-72Q,CN,Vertical,Multi-grounded,403,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
98,DXTUNGAF1A0100-72Q8,P0000000100-72Q,P0000000100-72Q8,CN,Vertical,Multi-grounded,528,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
99,DXTUNGAF1A0100-72Q8c,P0000000100-72Q8,P0000000100-72Q8c,CN,Vertical,Multi-grounded,193,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
100,DXTUNGAF1A0100-72Q12,P0000000100-72Q8,P0000000100-72Q12,CN,Vertical,Multi-grounded,238,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
101,DXTUNGAF1A0100-72Y,P0000000100-72Q,P0000000100-72Y,CN,Vertical,Multi-grounded,703,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
102,DXTUNGAF1A0100-74,P0000000100-72,P0000000100-74,CN,Vertical,Multi-grounded,114,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
103,DXTUNGAF1A0100-79,P0000000100-74,P0000000100-79,CN,Vertical,Multi-grounded,298,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
104,DXTUNGAF1A0100-85,P0000000100-79,P0000000100-85,CN,Vertical,Multi-grounded,349,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
105,DXTUNGAF1C0102,P0000000100,P0000000102,ABCN,Triangular,Multi-grounded,146,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
106,DXTUNGAF1C0106,P0000000102,P0000000106,ABCN,Triangular,Multi-grounded,250,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
