Count,Distribution Transformer ID,"From 
Primary Bus ID","To  
Secondary Bus ID",Primary Phasing,Secondary Phasing,Installation Type,No. DTs in Bank, Connection,KVA Rating,Primary Voltage Rating(kV),Secondary Voltage Rating (kV),Primary Tap Voltage (kV),Secondary Tap Voltage (kV),%Z,X/R Ratio,No-Load Loss (kW),Exciting Current (%)
16,DT0000000034-29U,P0000000034-29,DT0000000034-29,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
17,DT0000000038U,P0000000038,DT0000000038,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
18,DT0000000044-29U,P0000000044-29,DT0000000044-29,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
19,DT0000000044-64U,P0000000044-64,DT0000000044-64,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
20,DT0000000045U,P0000000045,DT0000000045,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
21,DT0000000046-22U,P0000000046-22,DT0000000046-22,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
22,DT0000000049U,P0000000049,DT0000000049,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
23,DT0000000049-3U,P0000000049-3,DT0000000049-3,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
24,DT0000000054U,P0000000054,DT0000000054,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
25,DT0000000054-20U,P0000000054-20,DT0000000054-20,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
26,DT0000000065U,P0000000065,DT0000000065,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
27,DT0000000072-7U,P0000000072-7,DT0000000072-7,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
28,DT0000000073U,P0000000073,DT0000000073,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
29,DT0000000090U,P0000000090,DT0000000090,BN,BN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
30,DT0000000091U,P0000000091,DT0000000091,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
31,DT000000091AU,P000000091A,DT000000091A,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
32,DT0000000092U,P0000000092,DT0000000092,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
33,DT0000000092-2U,P0000000092-2,DT0000000092-2,ACN,ABC,Pole-mounted,2,12,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
34,DT0000000092-5U,P0000000092-5,DT0000000092-5,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
35,DT0000000092-7U,P0000000092-7,DT0000000092-7,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
36,DT0000000092-8U,P0000000092-8,DT0000000092-8,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
37,DT0000000092-9U,P0000000092-9,DT0000000092-9,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
38,DT0000000093U,P0000000093,DT0000000093,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
39,DT0000000094U,P0000000094,DT0000000094,AN,AN,Pad-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
40,DT000000094AU,P000000094A,DT000000094A,CN,CN,Pad-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
41,DT000000094BU,P000000094B,DT000000094B,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
42,DT000000094CU,P000000094C,DT000000094C,BN,BN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
43,DT0000000095-7U,P0000000095-7,DT0000000095-7,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
44,DT0000000099U,P0000000099,DT0000000099,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
45,DT0000000100U,P0000000100,DT0000000100,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
46,DT000000100AU,P000000100A,DT000000100A,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
47,DT0000000100-1U,P0000000100-1,DT0000000100-1,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
48,DT0000000100-2U,P0000000100-2,DT0000000100-2,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
49,DT0000000100-6U,P0000000100-6,DT0000000100-6,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
50,DT0000000100-6AU,P0000000100-6A,DT0000000100-6A,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
51,DT0000000100-7U,P0000000100-7,DT0000000100-7,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
52,DT0000000100-13mU,P0000000100-13m,DT0000000100-13m,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
53,DT0000000100-13ag6U,P0000000100-13ag6,DT0000000100-13ag6,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
54,DT0000000100-13arU,P0000000100-13ar,DT0000000100-13ar,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
55,DT0000000100-13ax15U,P0000000100-13ax15,DT0000000100-13ax15,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
56,DT0000000100-13bjU,P0000000100-13bj,DT0000000100-13bj,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
57,DT0000000100-16U,P0000000100-16,DT0000000100-16,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
58,DT0000000100-20U,P0000000100-20,DT0000000100-20,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
59,DT0000000100-28U,P0000000100-28,DT0000000100-28,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
60,DT0000000100-30iU,P0000000100-30i,DT0000000100-30i,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
61,DT0000000100-39hU,P0000000100-39h,DT0000000100-39h,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
62,DT0000000100-39XU,P0000000100-39X,DT0000000100-39X,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
63,DT0000000100-42U,P0000000100-42,DT0000000100-42,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
64,DT0000000100-43U,P0000000100-43,DT0000000100-43,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
65,DT0000000100-50U,P0000000100-50,DT0000000100-50,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
66,DT0000000100-55-4U,P0000000100-55-4,DT0000000100-55-4,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
67,DT0000000100-58U,P0000000100-58,DT0000000100-58,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
68,DT0000000100-66U,P0000000100-66,DT0000000100-66,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
69,DT0000000100-71-3U,P0000000100-71-3,DT0000000100-71-3,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
70,DT0000000100-72MU,P0000000100-72M,DT0000000100-72M,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
71,DT0000000100-72Q8cU,P0000000100-72Q8c,DT0000000100-72Q8c,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
72,DT0000000100-72Q12U,P0000000100-72Q12,DT0000000100-72Q12,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
73,DT0000000100-72YU,P0000000100-72Y,DT0000000100-72Y,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
74,DT0000000100-74U,P0000000100-74,DT0000000100-74,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
75,DT0000000100-79U,P0000000100-79,DT0000000100-79,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
76,DT0000000100-85U,P0000000100-85,DT0000000100-85,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
77,DT0000000102U,P0000000102,DT0000000102,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
78,DT0000000106U,P0000000106,DT0000000106,AN,AN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
79,DT0000000106-1U,P0000000106-1,DT0000000106-1,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
80,DT0000000106-2U,P0000000106-2,DT0000000106-2,BN,BN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
81,DT0000000108-4U,P0000000108-4,DT0000000108-4,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
82,DT0000000108-4bU,P0000000108-4b,DT0000000108-4b,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
83,DT0000000108-5U,P0000000108-5,DT0000000108-5,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
84,DT0000000108-7U,P0000000108-7,DT0000000108-7,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
85,DT0000000108-7AU,P0000000108-7A,DT0000000108-7A,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
86,DT0000000108-8U,P0000000108-8,DT0000000108-8,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
87,DT0000000108-10U,P0000000108-10,DT0000000108-10,CN,CN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
88,DT0000000108-11U,P0000000108-11,DT0000000108-11,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
89,DT0000000108-12bU,P0000000108-12b,DT0000000108-12b,AN,AN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
90,DT0000000108-12fU,P0000000108-12f,DT0000000108-12f,AN,AN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
91,DT0000000108-12hU,P0000000108-12h,DT0000000108-12h,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
92,DT0000000108-18U,P0000000108-18,DT0000000108-18,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
93,DT0000000108-19U,P0000000108-19,DT0000000108-19,BAN,ABC,Pole-mounted,2,12,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
94,DT0000000108-20U,P0000000108-20,DT0000000108-20,BN,BN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
95,DT0000000108-20CU,P0000000108-20C,DT0000000108-20C,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
96,DT0000000108-20OU,P0000000108-20O,DT0000000108-20O,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
97,DT0000000108-21bU,P0000000108-21b,DT0000000108-21b,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
98,DT0000000108-24U,P0000000108-24,DT0000000108-24,BN,BN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
99,DT0000000108-24AU,P0000000108-24A,DT0000000108-24A,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
100,DT0000000108-24-1U,P0000000108-24-1,DT0000000108-24-1,BN,BN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
101,DT0000000108-33U,P0000000108-33,DT0000000108-33,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
102,DT0000000108-45HU,P0000000108-45H,DT0000000108-45H,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
103,DT0000000108-45U,P0000000108-45,DT0000000108-45,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
104,DT0000000108-58AVU,P0000000108-58AV,DT0000000108-58AV,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
105,DT0000000108-58AO4U,P0000000108-58AO4,DT0000000108-58AO4,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
106,DT0000000108-58AN9U,P0000000108-58AN9,DT0000000108-58AN9,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
107,DT0000000108-58AAU,P0000000108-58AA,DT0000000108-58AA,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
108,DT0000000108-58R11U,P0000000108-58R11,DT0000000108-58R11,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
109,DT0000000108-58MU,P0000000108-58M,DT0000000108-58M,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
110,DT0000000108-59pU,P0000000108-59p,DT0000000108-59p,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
111,DT0000000108-59jU,P0000000108-59j,DT0000000108-59j,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
112,DT0000000108-59fU,P0000000108-59f,DT0000000108-59f,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
113,DT0000000108-59U,P0000000108-59,DT0000000108-59,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
114,DT0000000108-60U,P0000000108-60,DT0000000108-60,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
115,DT0000000110U,P0000000110,DT0000000110,BN,BN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
116,DT0000000111U,P0000000111,DT0000000111,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
117,DT000000111AU,P000000111A,DT000000111A,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
118,DT0000000112U,P0000000112,DT0000000112,BN,BN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
119,DT0000000115U,P0000000115,DT0000000115,CN,CN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
120,DT000000115AU,P000000115A,DT000000115A,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
121,DT000000115BU,P000000115B,DT000000115B,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
122,DT000000115CU,P000000115C,DT000000115C,BN,BN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
123,DT000000115-4U,P0000000115-4,DT000000115-4,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
124,DT000000116U,P0000000116,DT000000116,AN,AN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
125,DT000000117BU,P000000117B,DT000000117B,BN,BN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
126,DT0000000117U,P0000000117,DT0000000117,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
127,DT0000000119U,P0000000119,DT0000000119,AN,AN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
128,DT0000000121U,P0000000121,DT0000000121,AN,AN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
129,DT000000121AU,P000000121A,DT000000121A,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
130,DT0000000122U,P0000000122,DT0000000122,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
131,DT0000000122-4U,P0000000122-4,DT0000000122-4,BN,BN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
132,DT0000000125U,P0000000125,DT0000000125,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
133,DT000000125AU,P000000125A,DT000000125A,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
134,DT0000000126-2U,P0000000126-2,DT0000000126-2,BN,BN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
135,DT0000000126-6U,P0000000126-6,DT0000000126-6,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
136,DT0000000126-8AU,P0000000126-8A,DT0000000126-8A,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
137,DT0000000126-8BU,P0000000126-8B,DT0000000126-8B,BN,BN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
138,DT0000000126-8B1U,P0000000126-8B1,DT0000000126-8B1,BN,BN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
139,DT0000000126-8bU,P0000000126-8b,DT0000000126-8b,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
140,DT0000000126-10U,P0000000126-10,DT0000000126-10,AN,AN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
141,DT0000000126-12U,P0000000126-12,DT0000000126-12,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
142,DT0000000128-4U,P0000000128-4,DT0000000128-4,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
143,DT0000000128-4AU,P0000000128-4A,DT0000000128-4A,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
144,DT0000000129U,P0000000129,DT0000000129,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
145,DT0000000130-16U,P0000000130-16,DT0000000130-16,AN,AN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
146,DT0000000130-20U,P0000000130-20,DT0000000130-20,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
147,DT0000000130-25U,P0000000130-25,DT0000000130-25,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
148,DT0000000130-31U,P0000000130-31,DT0000000130-31,BN,BN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
149,DT0000000130-31-4U,P0000000130-31-4,DT0000000130-31-4,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
150,DT0000000130-31-9U,P0000000130-31-9,DT0000000130-31-9,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
151,DT0000000130-49U,P0000000130-49,DT0000000130-49,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
152,DT0000000130-53-8U,P0000000130-53-8,DT0000000130-53-8,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
153,DT0000000130-53-20FU,P0000000130-53-20F,DT0000000130-53-20F,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
154,DT0000000130-53-24U,P0000000130-53-24,DT0000000130-53-24,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
155,DT0000000130-53-38U,P0000000130-53-38,DT0000000130-53-38,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
156,DT0000000130-53-44U,P0000000130-53-44,DT0000000130-53-44,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
157,DT0000000130-56-4U,P0000000130-56-4,DT0000000130-56-4,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
158,DT0000000130-56-12U,P0000000130-56-12,DT0000000130-56-12,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
159,DT0000000130-62U,P0000000130-62,DT0000000130-62,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
160,DT0000000130-63U,P0000000130-63,DT0000000130-63,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
161,DT0000000130-70U,P0000000130-70,DT0000000130-70,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
162,DT0000000130-88A-18U,P0000000130-88A-18,DT0000000130-88A-18,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
163,DT0000000130-98U,P0000000130-98,DT0000000130-98,BN,BN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
164,DT0000000130-117U,P0000000130-117,DT0000000130-117,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
165,DT0000000132U,P0000000132,DT0000000132,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
166,DT0000000132-3BU,P0000000132-3B,DT0000000132-3B,CN,CN,Pole-mounted,1,1,37.5,7.62,0.24,7.62,0.24,2.4,1.182,0.153,0.694
167,DT0000000132-3DU,P0000000132-3D,DT0000000132-3D,CN,CN,Pad-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
168,DT0000000132-3D1U,P0000000132-3D1,DT0000000132-3D1,CN,CN,Pad-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
