ID=959, Pole='1', BusID='P00000000', DT='None'
ID=1005, Pole='47', BusID='P0000000092', DT='DT0000000092U'
ID=1006, Pole='48', BusID='P000000092A', DT='None'
ID=1007, Pole='49', BusID='P000000092B', DT='None'
ID=1008, Pole='50', BusID='P0000000092-2', DT='DT0000000092-2U'
ID=1009, Pole='51', BusID='P0000000092-5', DT='DT0000000092-5U'
ID=1010, Pole='52', BusID='P0000000092-7', DT='DT0000000092-7U'
ID=1011, Pole='53', BusID='P0000000092-8', DT='DT0000000092-8U'
ID=1012, Pole='54', BusID='P0000000092-9', DT='DT0000000092-9U'
ID=1013, Pole='55', BusID='P0000000093', DT='DT0000000093U'
ID=1014, Pole='56', BusID='P0000000094', DT='DT0000000094U'
ID=1015, Pole='57', BusID='P000000094A', DT='DT000000094AU'
ID=1016, Pole='58', BusID='P000000094B', DT='DT000000094BU'
ID=1017, Pole='59', BusID='P000000094C', DT='DT000000094CU'
ID=1018, Pole='60', BusID='P0000000095', DT='None'
ID=1019, Pole='61', BusID='P0000000095-7', DT='DT0000000095-7U'
ID=1020, Pole='62', BusID='P0000000099', DT='DT0000000099U'
ID=1021, Pole='63', BusID='P0000000100', DT='DT0000000100U'
ID=1022, Pole='64', BusID='P000000100A', DT='DT000000100AU'
ID=1023, Pole='65', BusID='P000000100B', DT='None'
ID=1024, Pole='66', BusID='P0000000100-1', DT='DT0000000100-1U'
ID=1025, Pole='67', BusID='P0000000100-2', DT='DT0000000100-2U'
ID=1026, Pole='68', BusID='P0000000100-6', DT='DT0000000100-6U'
ID=1027, Pole='69', BusID='P0000000100-6A', DT='DT0000000100-6AU'
ID=1028, Pole='70', BusID='P0000000100-7', DT='DT0000000100-7U'
ID=1029, Pole='71', BusID='P0000000100-13', DT='None'
ID=1030, Pole='72', BusID='P0000000100-13m', DT='DT0000000100-13mU'
ID=1031, Pole='73', BusID='P0000000100-13ag', DT='None'
ID=1032, Pole='74', BusID='P0000000100-13ag6', DT='DT0000000100-13ag6U'
ID=1033, Pole='75', BusID='P0000000100-13ar', DT='DT0000000100-13arU'
ID=1034, Pole='76', BusID='P0000000100-13ax', DT='None'
ID=1035, Pole='77', BusID='P0000000100-13ax15', DT='DT0000000100-13ax15U'
ID=1036, Pole='78', BusID='P0000000100-13bj', DT='DT0000000100-13bjU'
ID=1037, Pole='79', BusID='P0000000100-16', DT='DT0000000100-16U'
ID=1038, Pole='80', BusID='P0000000100-20', DT='DT0000000100-20U'
ID=1039, Pole='81', BusID='P0000000100-28', DT='DT0000000100-28U'
ID=1040, Pole='82', BusID='P0000000100-30', DT='None'
ID=1041, Pole='83', BusID='P0000000100-30i', DT='DT0000000100-30iU'
ID=1042, Pole='84', BusID='P0000000100-39', DT='None'
ID=1043, Pole='85', BusID='P0000000100-39h', DT='DT0000000100-39hU'
ID=1044, Pole='86', BusID='P0000000100-39X', DT='DT0000000100-39XU'
ID=1045, Pole='87', BusID='P0000000100-42', DT='DT0000000100-42U'
ID=1046, Pole='88', BusID='P0000000100-43', DT='DT0000000100-43U'
ID=1047, Pole='89', BusID='P0000000100-50', DT='DT0000000100-50U'
ID=1048, Pole='90', BusID='P0000000100-55', DT='None'
ID=1049, Pole='91', BusID='P0000000100-55-4', DT='DT0000000100-55-4U'
ID=1050, Pole='92', BusID='P0000000100-58', DT='DT0000000100-58U'
ID=1051, Pole='93', BusID='P0000000100-66', DT='DT0000000100-66U'
ID=1052, Pole='94', BusID='P0000000100-71', DT='None'
ID=1053, Pole='95', BusID='P0000000100-71-3', DT='DT0000000100-71-3U'
ID=1054, Pole='96', BusID='P0000000100-72', DT='None'
ID=1055, Pole='97', BusID='P0000000100-72M', DT='DT0000000100-72MU'
ID=1056, Pole='98', BusID='P0000000100-72Q', DT='None'
ID=1057, Pole='99', BusID='P0000000100-72Q8', DT='None'
ID=1058, Pole='100', BusID='P0000000100-72Q8c', DT='DT0000000100-72Q8cU'
ID=1059, Pole='101', BusID='P0000000100-72Q12', DT='DT0000000100-72Q12U'
ID=1060, Pole='102', BusID='P0000000100-72Y', DT='DT0000000100-72YU'
ID=1061, Pole='103', BusID='P0000000100-74', DT='DT0000000100-74U'
ID=1062, Pole='104', BusID='P0000000100-79', DT='DT0000000100-79U'
ID=1063, Pole='105', BusID='P0000000100-85', DT='DT0000000100-85U'
ID=1064, Pole='106', BusID='P0000000102', DT='DT0000000102U'
ID=1065, Pole='107', BusID='P0000000106', DT='DT0000000106U'
ID=1066, Pole='108', BusID='P000000106A', DT='None'
ID=1067, Pole='109', BusID='P0000000106-1', DT='DT0000000106-1U'
ID=1068, Pole='110', BusID='P0000000106-2', DT='DT0000000106-2U'
ID=1069, Pole='111', BusID='P0000000108', DT='None'
ID=1070, Pole='112', BusID='P0000000108-4', DT='DT0000000108-4U'
ID=1071, Pole='113', BusID='P0000000108-4A', DT='None'
ID=1072, Pole='114', BusID='P0000000108-4b', DT='DT0000000108-4bU'
ID=1073, Pole='115', BusID='P0000000108-5', DT='DT0000000108-5U'
ID=1074, Pole='116', BusID='P0000000108-7', DT='DT0000000108-7U'
ID=1075, Pole='117', BusID='P0000000108-7A', DT='DT0000000108-7AU'
ID=1076, Pole='118', BusID='P0000000108-8', DT='DT0000000108-8U'
ID=1077, Pole='119', BusID='P0000000108-10', DT='DT0000000108-10U'
ID=1078, Pole='120', BusID='P0000000108-11', DT='DT0000000108-11U'
ID=1079, Pole='121', BusID='P0000000108-12', DT='None'
ID=1080, Pole='122', BusID='P0000000108-12b', DT='DT0000000108-12bU'
ID=1081, Pole='123', BusID='P0000000108-12f', DT='DT0000000108-12fU'
ID=1082, Pole='124', BusID='P0000000108-12h', DT='DT0000000108-12hU'
ID=1083, Pole='125', BusID='P0000000108-18', DT='DT0000000108-18U'
ID=1084, Pole='126', BusID='P0000000108-19', DT='DT0000000108-19U'
ID=1085, Pole='127', BusID='P0000000108-20', DT='DT0000000108-20U'
ID=1086, Pole='128', BusID='P0000000108-20C', DT='DT0000000108-20CU'
ID=1087, Pole='129', BusID='P0000000108-20O', DT='DT0000000108-20OU'
ID=1088, Pole='130', BusID='P0000000108-21', DT='None'
ID=1089, Pole='131', BusID='P0000000108-21b', DT='DT0000000108-21bU'
ID=1090, Pole='132', BusID='P0000000108-24', DT='DT0000000108-24U'
ID=1091, Pole='133', BusID='P0000000108-24A', DT='DT0000000108-24AU'
ID=1092, Pole='134', BusID='P0000000108-24-1', DT='DT0000000108-24-1U'
ID=1093, Pole='135', BusID='P0000000108-30', DT='None'
ID=1094, Pole='136', BusID='P0000000108-33', DT='DT0000000108-33U'
ID=1095, Pole='137', BusID='P0000000108-45', DT='DT0000000108-45U'
ID=1096, Pole='138', BusID='P0000000108-45H', DT='DT0000000108-45HU'
ID=1097, Pole='139', BusID='P0000000108-45A', DT='None'
ID=1098, Pole='140', BusID='P0000000108-58', DT='None'
ID=1099, Pole='141', BusID='P0000000108-58M', DT='DT0000000108-58MU'
ID=1100, Pole='142', BusID='P0000000108-58R', DT='None'
ID=1101, Pole='143', BusID='P0000000108-58R11', DT='DT0000000108-58R11U'
ID=1102, Pole='144', BusID='P0000000108-58AA', DT='DT0000000108-58AAU'
ID=1103, Pole='145', BusID='P0000000108-58AN', DT='None'
ID=1104, Pole='146', BusID='P0000000108-58AN9', DT='DT0000000108-58AN9U'
ID=1105, Pole='147', BusID='P0000000108-58AO', DT='None'
ID=1106, Pole='148', BusID='P0000000108-58AO4', DT='DT0000000108-58AO4U'
ID=1107, Pole='149', BusID='P0000000108-58AV', DT='DT0000000108-58AVU'
ID=1108, Pole='150', BusID='P0000000108-59', DT='DT0000000108-59U'
ID=1109, Pole='151', BusID='P0000000108-59A', DT='None'
ID=1110, Pole='152', BusID='P0000000108-59f', DT='DT0000000108-59fU'
ID=1111, Pole='153', BusID='P0000000108-59j', DT='DT0000000108-59jU'
ID=1112, Pole='154', BusID='P0000000108-59p', DT='DT0000000108-59pU'
ID=1113, Pole='155', BusID='P0000000108-60', DT='DT0000000108-60U'
ID=1114, Pole='156', BusID='P0000000108-63', DT='None'
ID=1115, Pole='157', BusID='P0000000110', DT='DT0000000110U'
ID=1116, Pole='158', BusID='P0000000111', DT='DT0000000111U'
ID=1117, Pole='159', BusID='P000000111A', DT='DT000000111AU'
ID=1118, Pole='160', BusID='P0000000112', DT='DT0000000112U'
ID=1119, Pole='161', BusID='P0000000113', DT='None'
ID=1120, Pole='162', BusID='P0000000115', DT='DT0000000115U'
ID=1121, Pole='163', BusID='P000000115A', DT='DT000000115AU'
ID=1122, Pole='164', BusID='P000000115B', DT='DT000000115BU'
ID=1123, Pole='165', BusID='P000000115C', DT='DT000000115CU'
ID=1124, Pole='166', BusID='P0000000115-4', DT='DT000000115-4U'
ID=1125, Pole='167', BusID='P0000000116', DT='DT000000116U'
ID=1126, Pole='168', BusID='P0000000117', DT='DT0000000117U'
ID=1127, Pole='169', BusID='P000000117B', DT='DT000000117BU'
ID=1128, Pole='170', BusID='P0000000119', DT='DT0000000119U'
ID=1129, Pole='171', BusID='P0000000119-3', DT='None'
ID=1130, Pole='172', BusID='P0000000121', DT='DT0000000121U'
ID=1131, Pole='173', BusID='P000000121A', DT='DT000000121AU'
ID=1132, Pole='174', BusID='P0000000122', DT='DT0000000122U'
ID=1133, Pole='175', BusID='P000000122A', DT='None'
ID=1134, Pole='176', BusID='P0000000122-3', DT='None'
ID=1135, Pole='177', BusID='P0000000122-3b', DT='DT0000000122-3bU'
ID=1136, Pole='178', BusID='P0000000122-4', DT='DT0000000122-4U'
ID=1137, Pole='179', BusID='P0000000125', DT='DT0000000125U'
ID=1138, Pole='180', BusID='P000000125A', DT='DT000000125AU'
ID=1139, Pole='181', BusID='P0000000126', DT='None'
ID=1140, Pole='182', BusID='P0000000126-2', DT='DT0000000126-2U'
ID=1141, Pole='183', BusID='P0000000126-6', DT='DT0000000126-6U'
ID=1142, Pole='184', BusID='P0000000126-8', DT='None'
ID=1143, Pole='185', BusID='P0000000126-8A', DT='DT0000000126-8AU'
ID=1144, Pole='186', BusID='P0000000126-8B', DT='DT0000000126-8bU'
ID=1145, Pole='187', BusID='P0000000126-8B1', DT='DT0000000126-8B1U'
ID=1146, Pole='188', BusID='P0000000126-8a', DT='None'
ID=1147, Pole='189', BusID='P0000000126-8b', DT='None'
ID=1148, Pole='190', BusID='P0000000126-10', DT='DT0000000126-10U'
ID=1149, Pole='191', BusID='P0000000126-12', DT='DT0000000126-12U'
ID=1150, Pole='192', BusID='P0000000128', DT='None'
ID=1151, Pole='193', BusID='P0000000128-4', DT='DT0000000128-4U'
ID=1152, Pole='194', BusID='P0000000128-4A', DT='DT0000000128-4AU'
ID=1153, Pole='195', BusID='P0000000129', DT='DT0000000129U'
ID=1154, Pole='196', BusID='P0000000130', DT='None'
ID=1155, Pole='197', BusID='P0000000130-16', DT='DT0000000130-16U'
ID=1156, Pole='198', BusID='P0000000130-20', DT='DT0000000130-20U'
ID=1157, Pole='199', BusID='P0000000130-25', DT='DT0000000130-25U'
ID=1158, Pole='200', BusID='P0000000130-31', DT='DT0000000130-31U'
ID=1159, Pole='201', BusID='P0000000130-31A', DT='None'
ID=1160, Pole='202', BusID='P0000000130-31-4', DT='DT0000000130-31-4U'
ID=1161, Pole='203', BusID='P0000000130-31-9', DT='DT0000000130-31-9U'
ID=1162, Pole='204', BusID='P0000000130-49', DT='DT0000000130-49U'
ID=1163, Pole='205', BusID='P0000000130-53', DT='None'
ID=1164, Pole='206', BusID='P0000000130-53-8', DT='DT0000000130-53-8U'
ID=1165, Pole='207', BusID='P0000000130-53-20', DT='None'
ID=1166, Pole='208', BusID='P0000000130-53-20F', DT='DT0000000130-53-20FU'
ID=1167, Pole='209', BusID='P0000000130-53-24', DT='DT0000000130-53-24U'
ID=1168, Pole='210', BusID='P0000000130-53-38', DT='DT0000000130-53-38U'
ID=1169, Pole='211', BusID='P0000000130-53-44', DT='DT0000000130-53-44U'
ID=1170, Pole='212', BusID='P0000000130-56', DT='None'
ID=1171, Pole='213', BusID='P0000000130-56-4', DT='DT0000000130-56-4U'
ID=1172, Pole='214', BusID='P0000000130-56-12', DT='DT0000000130-56-12U'
ID=1173, Pole='215', BusID='P0000000130-62', DT='DT0000000130-62U'
ID=1174, Pole='216', BusID='P0000000130-63', DT='DT0000000130-63U'
ID=1175, Pole='217', BusID='P0000000130-70', DT='DT0000000130-70U'
ID=1176, Pole='218', BusID='P0000000130-88', DT='DT0000000130-88U'
ID=1177, Pole='219', BusID='P0000000130-88A', DT='None'
ID=1178, Pole='220', BusID='P0000000130-88A-18', DT='DT0000000130-88A-18U'
ID=1179, Pole='221', BusID='P0000000130-98', DT='DT0000000130-98U'
ID=1180, Pole='222', BusID='P0000000130-98A', DT='None'
ID=1181, Pole='223', BusID='P0000000130-117', DT='DT0000000130-117U'
ID=1182, Pole='224', BusID='P0000000132', DT='DT0000000132U'
ID=1183, Pole='225', BusID='P0000000132-3', DT='None'
ID=1184, Pole='226', BusID='P0000000132-3B', DT='DT0000000132-3BU'
ID=1185, Pole='227', BusID='P0000000132-3D', DT='DT0000000132-3DU'
ID=1186, Pole='228', BusID='P0000000132-3D1', DT='DT0000000132-3D1U'
ID=1187, Pole='229', BusID='P0000000132-3E', DT='DT0000000132-3EU'
ID=1188, Pole='230', BusID='P0000000132-3G', DT='DT0000000132-3GU'
ID=1189, Pole='231', BusID='P0000000132-3H', DT='DT0000000132-3HU'
ID=1190, Pole='232', BusID='P0000000132-3H1', DT='DT0000000132-3H1U'
ID=1191, Pole='233', BusID='P0000000132-3I', DT='DT0000000132-3IU'
ID=1192, Pole='234', BusID='P0000000132-5', DT='DT0000000132-5U'
ID=1193, Pole='235', BusID='P0000000132-9', DT='DT0000000132-9U'
ID=1194, Pole='236', BusID='P0000000132-14', DT='DT0000000132-14U'
ID=1195, Pole='237', BusID='P0000000134', DT='None'
ID=1196, Pole='238', BusID='P0000000134-2', DT='DT0000000134-2U'
ID=1197, Pole='239', BusID='P0000000136', DT='None'
ID=1198, Pole='240', BusID='P0000000137', DT='DT0000000137U'
